name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bradyrhizobium canariense	255045	S	5	169	174	0.00180
Bradyrhizobium prioriisuperbiae	2854389	S	2	33	35	0.00036
Rhodopseudomonas palustris	1076	S	63	1256	1319	0.01363
Rhodopseudomonas sp. P2A-2r	2991972	S	2	50	52	0.00054
Rhodopseudomonas boonkerdii	475937	S	1	27	28	0.00029
Tardiphaga alba	340268	S	2	43	45	0.00047
Nitrobacter hamburgensis	912	S	1	16	17	0.00018
Microvirga thermotolerans	2651334	S	15	292	307	0.00317
Microvirga sp. RSM25	3273802	S	4	138	142	0.00147
Microvirga sp. M2	3073270	S	1	11	12	0.00012
Methylobacterium radiodurans	2202828	S	4	27	31	0.00032
Methylobacterium radiotolerans	31998	S	3	211	214	0.00221
Enhydrobacter sp.	1894999	S	243	128	371	0.00383
Pseudorhodoplanes sinuspersici	1235591	S	126	80	206	0.00213
Terrihabitans soli	708113	S	7	5	12	0.00012
Devosia sp. A16	1736675	S	119	153	272	0.00281
Devosia sp. MC521	2759954	S	6	6	12	0.00012
Devosia beringensis	2657486	S	4	16	20	0.00021
Devosia rhizoryzae	2774137	S	1	2	3	0.00003
Beijerinckia indica	533	S	193	75	268	0.00277
Methylocapsa sp. D3K7	3041435	S	4	1	5	0.00005
Rhizobium ruizarguesonis	2081791	S	3	130	133	0.00137
Rhizobium gallicum	56730	S	1	36	37	0.00038
Candidatus Liberibacter asiaticus	34021	S	1	47	48	0.00050
Mesorhizobium sp. NBSH29	2654249	S	1	188	189	0.00195
Hyphomicrobium denitrificans	53399	S	4	110	114	0.00118
Rhodomicrobium lacus	2498452	S	12	6	18	0.00019
Methyloligella sp. GL2	2742204	S	3	1	4	0.00004
Xanthobacter dioxanivorans	2528964	S	3	21	24	0.00025
Ancylobacter polymorphus	223390	S	8	9	17	0.00018
Pseudolabrys taiwanensis	331696	S	7	6	13	0.00013
Pseudolabrys sp. FHR47	2562284	S	1	1	2	0.00002
Azorhizobium caulinodans	7	S	1	0	1	0.00001
Phreatobacter cathodiphilus	1868589	S	66	80	146	0.00151
Phreatobacter stygius	1940610	S	29	25	54	0.00056
Martelella endophytica	1486262	S	26	30	56	0.00058
Aurantimonas sp. HBX-1	2906072	S	3	3	6	0.00006
Salinarimonas sp.	2766526	S	60	67	127	0.00131
Chenggangzhangella methanolivorans	1437009	S	39	32	71	0.00073
Kaistia sp. 32K	2795690	S	14	15	29	0.00030
Methyloraptor flagellatus	3162530	S	8	8	16	0.00017
Afifella sp. YEN Y35	3388337	S	8	5	13	0.00013
Terrirubrum flagellatum	2895980	S	4	2	6	0.00006
Methylocystis heyeri	391905	S	1	2	3	0.00003
Anderseniella sp. Alg231-50	1922226	S	2	0	2	0.00002
Brucella melitensis	29459	S	1	1857	1858	0.01921
Brucella intermedia	94625	S	1	1	2	0.00002
uncultured Pleomorphomonas sp.	442121	S	1	1	2	0.00002
Sphingomonas sediminicola	386874	S	508	764	1272	0.01315
Sphingomonas rhizophila	2071607	S	485	1117	1602	0.01656
Sphingomonas sabuli	2764186	S	141	234	375	0.00388
Sphingomonas flavalba	2559804	S	134	268	402	0.00416
Sphingomonas sp. M1-B02	3114300	S	75	190	265	0.00274
Sphingomonas sp. MMS24-J13	3238686	S	23	21	44	0.00045
Sphingomonas kaistensis	298708	S	96	302	398	0.00411
Sphingomonas piscis	2714943	S	65	77	142	0.00147
Sphingomonas profundi	2681549	S	61	127	188	0.00194
Sphingomonas xanthus	2594473	S	40	79	119	0.00123
Sphingomonas nostoxanthinifaciens	2872652	S	10	20	30	0.00031
Sphingomonas sanxanigenens	397260	S	10	26	36	0.00037
Sphingomonas daechungensis	1176646	S	10	14	24	0.00025
Sphingomonas changnyeongensis	2698679	S	7	14	21	0.00022
Sphingomonas endolithica	2972485	S	7	20	27	0.00028
Sphingomonas morindae	1541170	S	5	11	16	0.00017
Sphingobium sp. SYK-6	627192	S	2	23	25	0.00026
Sphingobium chlorophenolicum	46429	S	1	111	112	0.00116
Novosphingobium sp. Gsoil 351	2675225	S	28	27	55	0.00057
Parasphingopyxis algicola	2026624	S	5	1	6	0.00006
Novosphingopyxis sp.	2709690	S	1	0	1	0.00001
Tsuneonella sp. CC-YZS046	3042152	S	121	282	403	0.00417
Erythrobacter sp. 3-20A1M	2653850	S	25	266	291	0.00301
Erythrobacter sp. Alg231-14	1922225	S	15	11	26	0.00027
Qipengyuania soli	2782568	S	4	19	23	0.00024
Croceibacterium sp. TMG7-5b_MA50	3121290	S	2	3	5	0.00005
Altererythrobacter sp. B11	2060312	S	1	7	8	0.00008
Sphingosinicella microcystinivorans	335406	S	79	39	118	0.00122
Sphingosinicella sp. BN140058	1892855	S	4	1	5	0.00005
Sandaracinobacteroides saxicola	2759707	S	16	5	21	0.00022
Glacieibacterium sp.	2860237	S	2	0	2	0.00002
Zymomonas mobilis	542	S	27	2	29	0.00030
Niveispirillum cyanobacteriorum	1612173	S	79	29	108	0.00112
Caenispirillum salinarum	859058	S	175	91	266	0.00275
Hypericibacter adhaerens	2602016	S	7	116	123	0.00127
Ferrovibrio terrae	2594003	S	61	25	86	0.00089
Pararhodospirillum photometricum	1084	S	21	5	26	0.00027
Rhodospirillum centenum	34018	S	1	0	1	0.00001
Algihabitans albus	2164067	S	1	0	1	0.00001
Stella humosa	94	S	10	4	14	0.00014
Varunaivibrio sulfuroxidans	1773489	S	4	0	4	0.00004
Terasakiella sp. SH-1	2560057	S	2	1	3	0.00003
Caulobacter mirabilis	69666	S	93	123	216	0.00223
Caulobacter sp. NIBR1757	3016000	S	13	12	25	0.00026
Brevundimonas sp. Bb-A	2560058	S	21	66	87	0.00090
Brevundimonas staleyi	74326	S	1	0	1	0.00001
Terricaulis silvestris	2686094	S	28	6	34	0.00035
Asticcacaulis sp. MM231	3157666	S	2	10	12	0.00012
Phenylobacterium montanum	2823693	S	5	5	10	0.00010
Phenylobacterium zucineum	284016	S	1	2	3	0.00003
Roseomonas marmotae	2768161	S	70	59	129	0.00133
