.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
sample5278_S71_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5278_S71_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.5	1
sample5279_S72_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5279_S72_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5280_S73_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5280_S73_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5281_S74_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5281_S74_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.5	1
sample5282_S75_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5282_S75_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5428_S71_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5428_S71_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5429_S72_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5429_S72_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5430_S73_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5430_S73_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5431_S74_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5431_S74_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5432_S75_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	0.5
sample5432_S75_L001_R2_001	1	0.25	0.5	1	0.25	0.25	1	0.5	0.5	0.25	1
sample5926_S101_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5926_S101_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.5	1
sample5927_S102_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5927_S102_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.5	1
sample5928_S103_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5928_S103_L001_R2_001	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5929_S104_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5929_S104_L001_R2_001	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5930_S105_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample5930_S105_L001_R2_001	1	0.25	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6076_S81_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6076_S81_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6077_S82_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6077_S82_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6078_S83_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6078_S83_L001_R2_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6079_S84_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6079_S84_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6080_S85_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6080_S85_L001_R2_001	1	0.5	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6285_S140_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6285_S140_L001_R2_001	1	0.5	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample6286_S141_L001_R1_001	1	1	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1
sample6286_S141_L001_R2_001	1	0.25	1	1	0.25	0.25	0.5	0.5	0.25	0.25	1
sample6287_S142_L001_R1_001	1	0.25	1	1	0.25	0.25	0.25	0.5	0.25	0.25	1
sample6287_S142_L001_R2_001	1	0.25	0.5	0.25	0.25	0.25	0.25	0.5	0.25	0.25	1
sample6288_S143_L001_R1_001	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
