Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
sample5278_S71_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.01523315185195633)	(160, 3.0693860663676458)	(165, 3.5431182826031757)	(170, 3.5431182826031757)	(175, 3.5431182826031757)	(180, 3.5431182826031757)	(185, 3.5431182826031757)	(190, 3.5431182826031757)	(195, 3.5431182826031757)	(200, 3.5431182826031757)	(205, 3.5431182826031757)	(210, 3.5431182826031757)	(215, 3.5431182826031757)	(220, 3.5431182826031757)	(225, 3.5431182826031757)	(230, 3.5431182826031757)	(235, 3.5431182826031757)	(240, 3.543118282603176)
sample5279_S72_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0055948403139327064)	(160, 1.4692672313311057)	(165, 1.6417748076773642)	(170, 1.6419302199083066)	(175, 1.6419302199083066)	(180, 1.6419302199083066)	(185, 1.6419302199083066)	(190, 1.6419302199083066)	(195, 1.6419302199083066)	(200, 1.6419302199083066)	(205, 1.6419302199083066)	(210, 1.6419302199083066)	(215, 1.6419302199083066)	(220, 1.6419302199083066)	(225, 1.6419302199083066)	(230, 1.6419302199083066)	(235, 1.6419302199083066)	(240, 1.6419302199083068)
sample5280_S73_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.000126575869576224)	(155, 0.11619664827097362)	(160, 1.5627056857880615)	(165, 1.567642144701534)	(170, 1.567642144701534)	(175, 1.567642144701534)	(180, 1.567642144701534)	(185, 1.567642144701534)	(190, 1.567642144701534)	(195, 1.567642144701534)	(200, 1.567642144701534)	(205, 1.567642144701534)	(210, 1.567642144701534)	(215, 1.567642144701534)	(220, 1.567642144701534)	(225, 1.567642144701534)	(230, 1.567642144701534)	(235, 1.567642144701534)	(240, 1.567642144701534)
sample5281_S74_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0002736951583326491)	(155, 0.21840873634945396)	(160, 1.899170703670252)	(165, 1.9014971125160796)	(170, 1.9014971125160796)	(175, 1.9014971125160796)	(180, 1.9014971125160796)	(185, 1.9014971125160796)	(190, 1.9014971125160796)	(195, 1.9014971125160796)	(200, 1.9014971125160796)	(205, 1.9014971125160796)	(210, 1.9014971125160796)	(215, 1.9014971125160796)	(220, 1.9014971125160796)	(225, 1.9014971125160796)	(230, 1.9014971125160796)	(235, 1.9014971125160796)	(240, 1.9014971125160796)
sample5282_S75_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.00030265656802584684)	(140, 0.0007566414200646172)	(145, 0.0007566414200646172)	(150, 0.0007566414200646172)	(155, 0.11349621300969259)	(160, 1.019649977679078)	(165, 1.0229791999273625)	(170, 1.0229791999273625)	(175, 1.0229791999273625)	(180, 1.0229791999273625)	(185, 1.0229791999273625)	(190, 1.0229791999273625)	(195, 1.0229791999273625)	(200, 1.0229791999273625)	(205, 1.0229791999273625)	(210, 1.0229791999273625)	(215, 1.0229791999273625)	(220, 1.0229791999273625)	(225, 1.0229791999273625)	(230, 1.0229791999273625)	(235, 1.0229791999273625)	(240, 1.0229791999273625)
sample5430_S73_L001_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0010041784983068434)	(25, 0.0018967816079129263)	(30, 0.0027893847175190097)	(35, 0.0072524002655494245)	(40, 0.33316411066047047)	(45, 0.336176646155391)	(50, 0.3386313047068078)	(55, 0.3396354832051146)	(60, 0.3397470585938154)	(65, 0.3397470585938154)	(70, 0.3397470585938154)	(75, 0.3397470585938154)	(80, 0.3397470585938154)	(85, 0.3397470585938154)	(90, 0.3397470585938154)	(95, 0.3397470585938154)	(100, 0.3397470585938154)	(105, 0.3397470585938154)	(110, 0.3397470585938154)	(115, 0.3397470585938154)	(120, 0.3397470585938154)	(125, 0.3397470585938154)	(130, 0.3397470585938154)	(135, 0.3397470585938154)	(140, 0.3397470585938154)	(145, 0.3397470585938154)	(150, 0.3397470585938154)	(155, 0.3397470585938154)	(160, 0.3397470585938154)	(165, 0.3397470585938154)	(170, 0.3397470585938154)	(175, 0.3397470585938154)	(180, 0.3397470585938154)	(185, 0.3397470585938154)	(190, 0.3397470585938154)	(195, 0.3397470585938154)	(200, 0.3397470585938154)	(205, 0.3397470585938154)	(210, 0.3397470585938154)	(215, 0.3397470585938154)	(220, 0.3397470585938154)	(225, 0.3397470585938154)	(230, 0.33985863398251615)	(235, 0.34030493553731916)	(240, 0.34030493553731916)
sample5430_S73_L001_R1_001 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0021199323853144476)	(45, 0.010599661926572237)	(50, 0.010599661926572237)	(55, 0.010599661926572237)	(60, 0.010599661926572237)	(65, 0.010599661926572237)	(70, 0.010599661926572237)	(75, 0.010599661926572237)	(80, 0.010599661926572237)	(85, 0.010599661926572237)	(90, 0.010934388092674519)	(95, 0.012496443534485164)	(100, 0.02677809328818249)	(105, 0.2818394318581207)	(110, 0.346887883470664)	(115, 0.34778048658027017)	(120, 0.3500119943542853)	(125, 0.3509045974638914)	(130, 0.3509045974638914)	(135, 0.3509045974638914)	(140, 0.3509045974638914)	(145, 0.351127748241293)	(150, 0.3514624744073952)	(155, 0.3514624744073952)	(160, 0.3514624744073952)	(165, 0.3514624744073952)	(170, 0.3514624744073952)	(175, 0.3514624744073952)	(180, 0.3514624744073952)	(185, 0.3514624744073952)	(190, 0.3514624744073952)	(195, 0.3514624744073952)	(200, 0.3514624744073952)	(205, 0.35157404979609597)	(210, 0.35202035135089904)	(215, 0.35202035135089904)	(220, 0.35202035135089904)	(225, 0.35202035135089904)	(230, 0.3563717915102287)	(235, 0.35927275161644845)	(240, 0.35927275161644845)
sample5430_S73_L001_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0013389046644091246)	(30, 0.0022315077740152076)	(35, 0.007029249488147904)	(40, 0.22772536833825194)	(45, 0.22861797144785806)	(50, 0.2317420823314793)	(55, 0.23341571316199072)	(60, 0.23430831627159682)	(65, 0.23430831627159682)	(70, 0.23430831627159682)	(75, 0.23430831627159682)	(80, 0.23430831627159682)	(85, 0.23430831627159682)	(90, 0.23430831627159682)	(95, 0.23430831627159682)	(100, 0.23430831627159682)	(105, 0.23430831627159682)	(110, 0.23430831627159682)	(115, 0.23430831627159682)	(120, 0.23430831627159682)	(125, 0.23430831627159682)	(130, 0.23430831627159682)	(135, 0.23430831627159682)	(140, 0.23430831627159682)	(145, 0.23430831627159682)	(150, 0.23430831627159682)	(155, 0.23430831627159682)	(160, 0.23430831627159682)	(165, 0.23430831627159682)	(170, 0.23430831627159682)	(175, 0.23430831627159682)	(180, 0.23430831627159682)	(185, 0.23430831627159682)	(190, 0.23430831627159682)	(195, 0.23430831627159682)	(200, 0.23430831627159682)	(205, 0.23430831627159682)	(210, 0.23430831627159682)	(215, 0.23430831627159682)	(220, 0.23430831627159682)	(225, 0.23430831627159682)	(230, 0.23441989166029759)	(235, 0.2348661932151006)	(240, 0.2348661932151006)
sample5430_S73_L001_R2_001 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0005578769435038019)	(60, 0.0022315077740152076)	(65, 0.003905138604526613)	(70, 0.004686166325431936)	(75, 0.005020892491534218)	(80, 0.005020892491534218)	(85, 0.005020892491534218)	(90, 0.005020892491534218)	(95, 0.005467194046337259)	(100, 0.008145003375155507)	(105, 0.02075302229834143)	(110, 0.1757312372036976)	(115, 0.1847688436884592)	(120, 0.1862193237415691)	(125, 0.18700035146247443)	(130, 0.1882276807381828)	(135, 0.19023603773479647)	(140, 0.1915749423992056)	(145, 0.19313699784101623)	(150, 0.19414117633932307)	(155, 0.19570323178113372)	(160, 0.19637268411333828)	(165, 0.19737686261164514)	(170, 0.19971994577436109)	(175, 0.19971994577436109)	(180, 0.19971994577436109)	(185, 0.19983152116306185)	(190, 0.2002778227178649)	(195, 0.2002778227178649)	(200, 0.20083569966136872)	(205, 0.20150515199357324)	(210, 0.20195145354837632)	(215, 0.20195145354837632)	(220, 0.20239775510317934)	(225, 0.20262090588058088)	(230, 0.20306720743538392)	(235, 0.20351350899018694)	(240, 0.2036250843788877)
sample5432_S75_L001_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.7378640776699029)	(45, 0.9708737864077669)	(50, 0.9708737864077669)	(55, 0.9708737864077669)	(60, 0.9708737864077669)	(65, 0.9708737864077669)	(70, 0.9708737864077669)	(75, 0.9708737864077669)	(80, 0.9708737864077669)	(85, 0.9708737864077669)	(90, 0.9708737864077669)	(95, 0.9708737864077669)	(100, 0.9708737864077669)	(105, 0.9708737864077669)	(110, 0.9708737864077669)	(115, 0.9708737864077669)	(120, 0.9708737864077669)	(125, 0.9708737864077669)	(130, 0.9708737864077669)	(135, 0.9708737864077669)	(140, 0.9708737864077669)	(145, 0.9708737864077669)	(150, 0.9708737864077669)	(155, 0.9708737864077669)	(160, 0.9708737864077669)	(165, 0.9708737864077669)	(170, 0.9708737864077669)	(175, 0.9708737864077669)	(180, 0.9708737864077669)	(185, 0.9708737864077669)	(190, 0.9708737864077669)	(195, 0.9708737864077669)	(200, 0.9708737864077669)	(205, 0.9708737864077669)	(210, 0.9708737864077669)	(215, 0.9708737864077669)	(220, 0.9708737864077669)	(225, 0.9708737864077669)	(230, 0.9708737864077669)	(235, 0.9708737864077669)	(240, 0.970873786407767)
