Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
sample5278_S71_L001_R1_001	2.4137963459241916	67.33523277572475
sample5278_S71_L001_R2_001	0.8114944474221182	42.73463285283083
sample5279_S72_L001_R1_001	2.4143290076929054	67.83433056181522
sample5279_S72_L001_R2_001	1.0350454580775508	47.95011267386744
sample5280_S73_L001_R1_001	2.5353146676117664	67.80036453850437
sample5280_S73_L001_R2_001	1.013239835957673	48.23616525745532
sample5281_S74_L001_R1_001	2.156717847661275	65.8017899663355
sample5281_S74_L001_R2_001	0.8402441360812328	44.15729260749377
sample5282_S75_L001_R1_001	2.4000665844449656	67.44398961887971
sample5282_S75_L001_R2_001	1.0600546295105286	47.6487367871492
sample5428_S71_L001_R1_001	16.384942882434768	70.82915314251991
sample5428_S71_L001_R2_001	28.6574210681617	59.425873624752356
sample5429_S72_L001_R1_001	24.723639455782312	62.86870216836734
sample5429_S72_L001_R2_001	50.2398224914966	37.52856611394557
sample5430_S73_L001_R1_001	13.9101037093238	71.96891509670797
sample5430_S73_L001_R2_001	26.18060708168992	61.90593078978639
sample5431_S74_L001_R1_001	13.659638554216869	71.5454675846242
sample5431_S74_L001_R2_001	32.77036718301778	53.29675846242111
sample5432_S75_L001_R1_001	9.902912621359224	90.09708737864078
sample5432_S75_L001_R2_001	7.572815533980583	92.42718446601941
sample5926_S101_L001_R1_001	2.362900675461998	68.64656227954234
sample5926_S101_L001_R2_001	0.6341071819530826	46.499030999894586
sample5927_S102_L001_R1_001	2.025879956237975	67.15584562568378
sample5927_S102_L001_R2_001	0.6866110838646395	45.800165993888406
sample5928_S103_L001_R1_001	2.407572043068689	66.10989879396895
sample5928_S103_L001_R2_001	1.069533123198362	49.6951246890631
sample5929_S104_L001_R1_001	2.7643394343878125	65.84443568739573
sample5929_S104_L001_R2_001	2.660372770795429	51.453437188204816
sample5930_S105_L001_R1_001	2.0944730750929486	65.86742799996775
sample5930_S105_L001_R2_001	1.6283177276136558	58.29200035485874
sample6076_S81_L001_R1_001	15.465448221551384	73.74163276020475
sample6076_S81_L001_R2_001	30.65444940280877	55.94402152513453
sample6077_S82_L001_R1_001	11.868635662331938	76.50870619351994
sample6077_S82_L001_R2_001	39.787524796120785	48.071412827859824
sample6078_S83_L001_R1_001	13.491714730385427	74.73221642405933
sample6078_S83_L001_R2_001	36.466172296988006	51.21761420855077
sample6079_S84_L001_R1_001	11.239134140105676	77.51661837395602
sample6079_S84_L001_R2_001	33.49582410090336	54.314811658428496
sample6080_S85_L001_R1_001	16.227091454944663	72.3287180176547
sample6080_S85_L001_R2_001	33.21503786351212	52.895102388313845
sample6285_S140_L001_R1_001	22.646545529206445	66.71542962734831
sample6285_S140_L001_R2_001	3.4159737193306645	78.61872497690176
sample6286_S141_L001_R1_001	23.822506345774183	61.40829181160102
sample6286_S141_L001_R2_001	6.815831531446836	68.75058757168375
sample6287_S142_L001_R1_001	27.071950750288572	58.4070796460177
sample6287_S142_L001_R2_001	26.52558676414005	45.09426702577914
sample6288_S143_L001_R1_001	27.401153556800136	57.82830393713951
sample6288_S143_L001_R2_001	4.664381844019059	71.15272088940901
sample6289_S144_L001_R1_001	60.552324399072674	29.478992963761343
sample6289_S144_L001_R2_001	59.21421889616464	25.761581323463616
sample6290_S145_L001_R1_001	16.892469181008178	73.42742696093117
sample6290_S145_L001_R2_001	11.018275024133683	72.90369827901867
sample6291_S146_L001_R1_001	18.470122216318053	66.71658373991593
sample6291_S146_L001_R2_001	18.281725520506257	56.318535336457174
sample6292_S147_L001_R1_001	24.74373160191236	64.38756550241132
sample6292_S147_L001_R2_001	4.60969957619157	76.85964216371949
sample6293_S148_L001_R1_001	32.62972079262077	54.48770542751299
sample6293_S148_L001_R2_001	5.432485517515725	72.09790905248502
sample6294_S149_L001_R1_001	20.008351634755172	67.62349593244456
sample6294_S149_L001_R2_001	3.2988957282934828	72.72263293018652
sample6615_S140_L001_R1_001	24.822695035460992	67.81232951445716
sample6615_S140_L001_R2_001	47.46317512274959	38.40698308783415
sample6616_S141_L001_R1_001	42.77428709521508	44.57870146608668
sample6616_S141_L001_R2_001	42.67762203963267	43.85371354921863
sample6617_S142_L001_R1_001	19.93911719939117	71.34703196347033
sample6617_S142_L001_R2_001	34.627092846270926	51.141552511415526
sample6618_S143_L001_R1_001	13.760531018636712	76.10416134797039
sample6618_S143_L001_R2_001	22.08322695940771	63.90094460045954
sample6619_S144_L001_R1_001	21.083743842364534	69.65517241379311
sample6619_S144_L001_R2_001	48.669950738916256	36.600985221674875
sample6620_S145_L001_R1_001	23.155718832185507	69.12536711658703
sample6620_S145_L001_R2_001	45.79159034393835	43.50549011983095
sample6621_S146_L001_R1_001	37.102610629215135	54.523237641728116
sample6621_S146_L001_R2_001	71.6879411795555	16.497624316925567
sample6622_S147_L001_R1_001	9.526373760861585	83.88202178435931
sample6622_S147_L001_R2_001	35.17317341818627	52.5590502998409
sample6623_S148_L001_R1_001	12.35664413390322	79.65584487758547
sample6623_S148_L001_R2_001	30.077702668566292	56.93918174745117
sample6624_S149_L001_R1_001	30.785054221697116	61.82644837334909
sample6624_S149_L001_R2_001	59.58057301995865	29.754420017722268
