Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
sample5278_S71_L001_R1_001	(0.0, 875.0)	(1.0, 437.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.3333333333333333)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.3333333333333333)	(26.0, 0.3333333333333333)	(27.0, 0.3333333333333333)	(28.0, 0.3333333333333333)	(29.0, 1.0)	(30.0, 1.0)	(31.0, 4.0)	(32.0, 4.0)	(33.0, 16.333333333333343)	(34.0, 26.99999999999997)	(35.0, 10.666666666666668)	(36.0, 12.666666666666671)	(37.0, 15.666666666666677)	(38.0, 22.999999999999986)	(39.0, 20.33333333333333)	(40.0, 13.000000000000005)	(41.0, 17.000000000000007)	(42.0, 21.99999999999999)	(43.0, 18.000000000000004)	(44.0, 38.33333333333333)	(45.0, 83.33333333333323)	(46.0, 205.00000000000145)	(47.0, 481.3333333333234)	(48.0, 765.000000000017)	(49.0, 725.3333333333459)	(50.0, 675.3333333333402)	(51.0, 1514.6666666666015)	(52.0, 3131.666666666973)	(53.0, 4786.166666666784)	(54.0, 6631.166666665106)	(55.0, 7283.333333331179)	(56.0, 7741.499999997429)	(57.0, 6373.833333332006)	(58.0, 4646.333333333577)	(59.0, 2725.5000000001223)	(60.0, 1328.1666666666442)	(61.0, 936.5000000000363)	(62.0, 734.1666666666803)	(63.0, 592.6666666666641)	(64.0, 294.66666666666737)	(65.0, 341.999999999998)	(66.0, 334.9999999999984)	(67.0, 105.83333333333292)	(68.0, 37.666666666666664)	(69.0, 12.166666666666671)	(70.0, 6.999999999999997)	(71.0, 3.3333333333333335)	(72.0, 0.3333333333333333)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5278_S71_L001_R2_001	(0.0, 863.0)	(1.0, 431.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.6666666666666666)	(26.0, 0.3333333333333333)	(27.0, 0.0)	(28.0, 0.3333333333333333)	(29.0, 1.3333333333333333)	(30.0, 2.6666666666666665)	(31.0, 4.0)	(32.0, 6.333333333333331)	(33.0, 13.000000000000005)	(34.0, 20.66666666666666)	(35.0, 9.333333333333332)	(36.0, 10.666666666666668)	(37.0, 11.000000000000002)	(38.0, 14.666666666666675)	(39.0, 18.666666666666668)	(40.0, 20.33333333333333)	(41.0, 29.333333333333297)	(42.0, 47.33333333333339)	(43.0, 107.33333333333289)	(44.0, 240.00000000000244)	(45.0, 424.9999999999933)	(46.0, 610.6666666666662)	(47.0, 479.66666666665685)	(48.0, 435.66666666665935)	(49.0, 442.99999999999227)	(50.0, 653.0000000000043)	(51.0, 1047.3333333333744)	(52.0, 2036.999999999816)	(53.0, 3691.0000000005607)	(54.0, 4813.333333333426)	(55.0, 6302.666666665405)	(56.0, 7298.166666664499)	(57.0, 7165.16666666462)	(58.0, 5822.666666665841)	(59.0, 4536.166666667011)	(60.0, 2768.500000000141)	(61.0, 1267.8333333333246)	(62.0, 719.3333333333452)	(63.0, 569.4999999999948)	(64.0, 419.33333333332695)	(65.0, 295.6666666666673)	(66.0, 229.83333333333547)	(67.0, 107.49999999999956)	(68.0, 32.333333333333286)	(69.0, 14.833333333333343)	(70.0, 9.166666666666666)	(71.0, 3.666666666666667)	(72.0, 1.0)	(73.0, 1.0)	(74.0, 1.0)	(75.0, 1.0)	(76.0, 0.3333333333333333)	(77.0, 0.3333333333333333)	(78.0, 0.3333333333333333)	(79.0, 0.3333333333333333)	(80.0, 0.0)	(81.0, 0.3333333333333333)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.3333333333333333)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.3333333333333333)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.3333333333333333)	(95.0, 0.3333333333333333)	(96.0, 0.3333333333333333)	(97.0, 0.3333333333333333)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5279_S72_L001_R1_001	(0.0, 1346.0)	(1.0, 673.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.3333333333333333)	(25.0, 0.3333333333333333)	(26.0, 0.3333333333333333)	(27.0, 1.0)	(28.0, 1.6666666666666665)	(29.0, 1.6666666666666665)	(30.0, 3.3333333333333335)	(31.0, 6.999999999999997)	(32.0, 30.999999999999957)	(33.0, 44.000000000000036)	(34.0, 34.666666666666636)	(35.0, 15.000000000000009)	(36.0, 25.33333333333331)	(37.0, 37.66666666666666)	(38.0, 35.16666666666664)	(39.0, 37.49999999999999)	(40.0, 29.99999999999996)	(41.0, 41.666666666666686)	(42.0, 61.66666666666683)	(43.0, 209.00000000000156)	(44.0, 356.66666666666384)	(45.0, 316.4999999999995)	(46.0, 1206.8333333333383)	(47.0, 1201.6666666666727)	(48.0, 1004.666666666711)	(49.0, 1087.000000000032)	(50.0, 1304.333333333316)	(51.0, 2288.8333333332566)	(52.0, 4038.5000000007185)	(53.0, 5996.666666665684)	(54.0, 8719.999999997981)	(55.0, 8622.833333331137)	(56.0, 8349.166666663972)	(57.0, 6995.666666664774)	(58.0, 4590.333333333628)	(59.0, 2637.3333333334153)	(60.0, 1312.9999999999807)	(61.0, 848.6666666666932)	(62.0, 614.6666666666666)	(63.0, 487.66666666665645)	(64.0, 373.9999999999962)	(65.0, 298.0000000000005)	(66.0, 292.6666666666675)	(67.0, 124.33333333333265)	(68.0, 38.666666666666664)	(69.0, 12.000000000000004)	(70.0, 5.999999999999998)	(71.0, 3.0)	(72.0, 1.0)	(73.0, 0.3333333333333333)	(74.0, 0.3333333333333333)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5279_S72_L001_R2_001	(0.0, 1332.0)	(1.0, 666.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.3333333333333333)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.3333333333333333)	(22.0, 0.3333333333333333)	(23.0, 0.6666666666666666)	(24.0, 0.3333333333333333)	(25.0, 0.3333333333333333)	(26.0, 0.6666666666666666)	(27.0, 1.0)	(28.0, 0.6666666666666666)	(29.0, 2.6666666666666665)	(30.0, 3.0)	(31.0, 5.833333333333332)	(32.0, 11.16666666666667)	(33.0, 18.000000000000004)	(34.0, 56.66666666666679)	(35.0, 60.66666666666682)	(36.0, 28.666666666666632)	(37.0, 21.99999999999999)	(38.0, 31.66666666666662)	(39.0, 60.333333333333485)	(40.0, 71.66666666666673)	(41.0, 94.99999999999973)	(42.0, 235.33333333333564)	(43.0, 479.1666666666569)	(44.0, 766.5000000000172)	(45.0, 1476.3333333332769)	(46.0, 927.0000000000355)	(47.0, 609.9999999999994)	(48.0, 744.0000000000147)	(49.0, 842.6666666666925)	(50.0, 1191.666666666675)	(51.0, 1821.166666666532)	(52.0, 2734.0000000001255)	(53.0, 4376.166666667156)	(54.0, 5725.333333332597)	(55.0, 7498.166666664318)	(56.0, 8783.999999998097)	(57.0, 7962.833333330562)	(58.0, 6544.9999999985175)	(59.0, 4549.666666666998)	(60.0, 2348.166666666617)	(61.0, 1109.3333333333603)	(62.0, 734.6666666666803)	(63.0, 543.3333333333252)	(64.0, 393.49999999999505)	(65.0, 230.66666666666885)	(66.0, 224.33333333333533)	(67.0, 117.9999999999994)	(68.0, 42.33333333333336)	(69.0, 20.33333333333333)	(70.0, 7.666666666666663)	(71.0, 3.3333333333333335)	(72.0, 1.9999999999999998)	(73.0, 1.3333333333333333)	(74.0, 0.6666666666666666)	(75.0, 0.3333333333333333)	(76.0, 0.0)	(77.0, 1.0)	(78.0, 1.0)	(79.0, 0.3333333333333333)	(80.0, 0.0)	(81.0, 0.3333333333333333)	(82.0, 0.3333333333333333)	(83.0, 0.3333333333333333)	(84.0, 0.3333333333333333)	(85.0, 0.6666666666666666)	(86.0, 0.3333333333333333)	(87.0, 0.0)	(88.0, 0.3333333333333333)	(89.0, 0.3333333333333333)	(90.0, 0.3333333333333333)	(91.0, 0.3333333333333333)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.3333333333333333)	(99.0, 0.0)	(100.0, 0.5)
sample5280_S73_L001_R1_001	(0.0, 1214.0)	(1.0, 607.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.3333333333333333)	(27.0, 0.0)	(28.0, 0.3333333333333333)	(29.0, 2.6666666666666665)	(30.0, 3.666666666666667)	(31.0, 16.666666666666675)	(32.0, 199.66666666666796)	(33.0, 136.99999999999952)	(34.0, 47.66666666666673)	(35.0, 19.666666666666664)	(36.0, 20.66666666666666)	(37.0, 31.999999999999954)	(38.0, 42.33333333333336)	(39.0, 42.66666666666669)	(40.0, 32.333333333333286)	(41.0, 29.333333333333297)	(42.0, 33.33333333333329)	(43.0, 40.66666666666668)	(44.0, 130.33333333333266)	(45.0, 292.33333333333417)	(46.0, 626.666666666668)	(47.0, 911.333333333367)	(48.0, 1299.9999999999836)	(49.0, 1613.8333333332457)	(50.0, 1597.8333333332494)	(51.0, 2796.333333333487)	(52.0, 5659.8333333326555)	(53.0, 7920.999999997266)	(54.0, 9603.999999999589)	(55.0, 10104.666666667164)	(56.0, 9884.666666666766)	(57.0, 9256.166666665622)	(58.0, 6104.833333332252)	(59.0, 3417.333333333769)	(60.0, 2014.833333333155)	(61.0, 1099.0000000000296)	(62.0, 778.6666666666853)	(63.0, 716.3333333333449)	(64.0, 612.6666666666663)	(65.0, 481.9999999999901)	(66.0, 402.99999999999454)	(67.0, 220.33333333333522)	(68.0, 56.833333333333464)	(69.0, 36.16666666666665)	(70.0, 19.333333333333332)	(71.0, 4.5)	(72.0, 0.8333333333333333)	(73.0, 0.8333333333333333)	(74.0, 0.5)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5280_S73_L001_R2_001	(0.0, 1207.0)	(1.0, 603.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.3333333333333333)	(18.0, 0.3333333333333333)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.6666666666666666)	(22.0, 0.6666666666666666)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 1.0)	(26.0, 1.6666666666666665)	(27.0, 1.6666666666666665)	(28.0, 2.6666666666666665)	(29.0, 4.999999999999999)	(30.0, 4.999999999999999)	(31.0, 6.333333333333331)	(32.0, 16.333333333333343)	(33.0, 39.333333333333336)	(34.0, 197.00000000000122)	(35.0, 145.3333333333331)	(36.0, 29.333333333333297)	(37.0, 22.666666666666654)	(38.0, 25.33333333333331)	(39.0, 47.00000000000006)	(40.0, 70.66666666666674)	(41.0, 108.33333333333287)	(42.0, 220.33333333333522)	(43.0, 416.99999999999375)	(44.0, 792.3333333333535)	(45.0, 1085.0000000000325)	(46.0, 946.333333333371)	(47.0, 863.6666666666949)	(48.0, 1083.000000000033)	(49.0, 1570.166666666589)	(50.0, 2839.6666666668402)	(51.0, 3735.1666666672477)	(52.0, 4864.666666666712)	(53.0, 7037.666666664738)	(54.0, 8694.499999997935)	(55.0, 9712.83333333312)	(56.0, 9963.16666666691)	(57.0, 7925.499999997262)	(58.0, 6150.166666665543)	(59.0, 4031.6666666673823)	(60.0, 1984.3333333331618)	(61.0, 950.1666666667045)	(62.0, 671.666666666673)	(63.0, 741.3333333333477)	(64.0, 459.33333333332473)	(65.0, 399.83333333332814)	(66.0, 368.1666666666632)	(67.0, 130.33333333333266)	(68.0, 42.00000000000002)	(69.0, 20.33333333333333)	(70.0, 5.666666666666665)	(71.0, 2.6666666666666665)	(72.0, 1.3333333333333333)	(73.0, 0.6666666666666666)	(74.0, 0.6666666666666666)	(75.0, 0.6666666666666666)	(76.0, 0.0)	(77.0, 0.6666666666666666)	(78.0, 0.6666666666666666)	(79.0, 0.6666666666666666)	(80.0, 0.3333333333333333)	(81.0, 0.3333333333333333)	(82.0, 1.0)	(83.0, 0.3333333333333333)	(84.0, 0.3333333333333333)	(85.0, 0.3333333333333333)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.3333333333333333)	(100.0, 0.5)
sample5281_S74_L001_R1_001	(0.0, 456.0)	(1.0, 228.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.3333333333333333)	(24.0, 0.3333333333333333)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.3333333333333333)	(29.0, 1.9999999999999998)	(30.0, 1.9999999999999998)	(31.0, 3.3333333333333335)	(32.0, 10.333333333333334)	(33.0, 16.666666666666675)	(34.0, 18.666666666666668)	(35.0, 12.333333333333337)	(36.0, 12.666666666666671)	(37.0, 16.333333333333343)	(38.0, 25.666666666666643)	(39.0, 20.66666666666666)	(40.0, 15.333333333333343)	(41.0, 16.333333333333343)	(42.0, 23.66666666666665)	(43.0, 48.3333333333334)	(44.0, 144.6666666666664)	(45.0, 274.0000000000019)	(46.0, 629.333333333335)	(47.0, 932.3333333333694)	(48.0, 1325.9999999999777)	(49.0, 2110.999999999842)	(50.0, 1913.999999999844)	(51.0, 2501.333333333353)	(52.0, 4179.000000000669)	(53.0, 6652.833333331752)	(54.0, 9163.999999998787)	(55.0, 9511.666666666088)	(56.0, 9652.166666666342)	(57.0, 9077.49999999863)	(58.0, 5940.166666665734)	(59.0, 3329.3333333337296)	(60.0, 1810.9999999998677)	(61.0, 1030.8333333333783)	(62.0, 729.6666666666798)	(63.0, 598.3333333333314)	(64.0, 463.83333333332445)	(65.0, 289.83333333333434)	(66.0, 217.83333333333513)	(67.0, 141.33333333333297)	(68.0, 35.99999999999998)	(69.0, 34.99999999999997)	(70.0, 15.000000000000009)	(71.0, 4.0)	(72.0, 1.3333333333333333)	(73.0, 0.0)	(74.0, 0.6666666666666666)	(75.0, 0.3333333333333333)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5281_S74_L001_R2_001	(0.0, 444.0)	(1.0, 222.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.3333333333333333)	(24.0, 0.0)	(25.0, 1.3333333333333333)	(26.0, 1.6666666666666665)	(27.0, 1.3333333333333333)	(28.0, 1.0)	(29.0, 1.9999999999999998)	(30.0, 3.666666666666667)	(31.0, 4.999999999999999)	(32.0, 8.33333333333333)	(33.0, 15.000000000000009)	(34.0, 17.33333333333334)	(35.0, 13.000000000000005)	(36.0, 11.66666666666667)	(37.0, 13.000000000000005)	(38.0, 23.333333333333318)	(39.0, 27.999999999999968)	(40.0, 45.00000000000004)	(41.0, 83.66666666666656)	(42.0, 201.00000000000134)	(43.0, 419.33333333332695)	(44.0, 703.6666666666767)	(45.0, 1077.6666666667008)	(46.0, 1044.333333333375)	(47.0, 909.0000000000334)	(48.0, 1204.1666666666722)	(49.0, 1755.166666666547)	(50.0, 2158.6666666665305)	(51.0, 2645.3333333334185)	(52.0, 4451.666666667088)	(53.0, 6413.166666665304)	(54.0, 8296.666666663876)	(55.0, 9150.166666665431)	(56.0, 9190.33333333217)	(57.0, 8033.833333330497)	(58.0, 6355.333333332023)	(59.0, 3914.8333333339956)	(60.0, 1860.3333333331898)	(61.0, 902.6666666666994)	(62.0, 612.6666666666664)	(63.0, 578.9999999999959)	(64.0, 275.16666666666845)	(65.0, 257.50000000000284)	(66.0, 208.00000000000153)	(67.0, 69.0000000000001)	(68.0, 41.666666666666686)	(69.0, 19.666666666666664)	(70.0, 8.33333333333333)	(71.0, 4.666666666666666)	(72.0, 2.6666666666666665)	(73.0, 1.0)	(74.0, 0.3333333333333333)	(75.0, 0.0)	(76.0, 0.3333333333333333)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.3333333333333333)	(80.0, 0.3333333333333333)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.6666666666666666)	(86.0, 0.3333333333333333)	(87.0, 0.0)	(88.0, 0.3333333333333333)	(89.0, 0.3333333333333333)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5282_S75_L001_R1_001	(0.0, 1415.0)	(1.0, 707.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.3333333333333333)	(23.0, 0.6666666666666666)	(24.0, 0.3333333333333333)	(25.0, 0.0)	(26.0, 0.6666666666666666)	(27.0, 0.6666666666666666)	(28.0, 1.0)	(29.0, 1.3333333333333333)	(30.0, 3.3333333333333335)	(31.0, 7.33333333333333)	(32.0, 10.666666666666668)	(33.0, 29.66666666666663)	(34.0, 75.33333333333334)	(35.0, 27.666666666666636)	(36.0, 13.000000000000005)	(37.0, 24.666666666666647)	(38.0, 31.33333333333329)	(39.0, 21.99999999999999)	(40.0, 19.0)	(41.0, 21.333333333333325)	(42.0, 43.333333333333364)	(43.0, 51.66666666666676)	(44.0, 146.66666666666646)	(45.0, 344.8333333333312)	(46.0, 669.8333333333396)	(47.0, 1041.3333333333758)	(48.0, 1190.333333333342)	(49.0, 1518.6666666666006)	(50.0, 1896.999999999848)	(51.0, 2588.3333333333926)	(52.0, 3955.0000000006808)	(53.0, 6001.499999999012)	(54.0, 7743.833333330761)	(55.0, 8071.166666663797)	(56.0, 8205.83333333038)	(57.0, 8293.499999997208)	(58.0, 5674.666666665976)	(59.0, 2750.5000000001332)	(60.0, 1800.8333333332032)	(61.0, 1022.1666666667129)	(62.0, 599.4999999999983)	(63.0, 474.8333333333239)	(64.0, 366.99999999999665)	(65.0, 231.33333333333553)	(66.0, 170.66666666666714)	(67.0, 101.33333333333297)	(68.0, 33.66666666666663)	(69.0, 21.333333333333325)	(70.0, 7.33333333333333)	(71.0, 3.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5282_S75_L001_R2_001	(0.0, 1401.0)	(1.0, 700.5)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.6666666666666666)	(23.0, 0.3333333333333333)	(24.0, 0.3333333333333333)	(25.0, 0.3333333333333333)	(26.0, 0.3333333333333333)	(27.0, 0.3333333333333333)	(28.0, 2.6666666666666665)	(29.0, 1.6666666666666665)	(30.0, 4.333333333333333)	(31.0, 6.999999999999997)	(32.0, 9.333333333333332)	(33.0, 28.999999999999964)	(34.0, 70.33333333333341)	(35.0, 37.99999999999999)	(36.0, 19.333333333333332)	(37.0, 20.66666666666666)	(38.0, 20.999999999999993)	(39.0, 27.333333333333304)	(40.0, 41.000000000000014)	(41.0, 68.66666666666677)	(42.0, 163.66666666666694)	(43.0, 336.9999999999983)	(44.0, 606.9999999999991)	(45.0, 943.3333333333707)	(46.0, 988.6666666667091)	(47.0, 823.6666666666904)	(48.0, 942.8333333333707)	(49.0, 1226.1666666666672)	(50.0, 1544.999999999928)	(51.0, 2196.3333333332143)	(52.0, 3242.6666666670235)	(53.0, 5106.166666666493)	(54.0, 6521.666666665205)	(55.0, 7658.999999997504)	(56.0, 7854.999999997328)	(57.0, 7530.3333333309565)	(58.0, 6672.166666665069)	(59.0, 4790.333333333446)	(60.0, 2523.0000000000296)	(61.0, 1292.666666666652)	(62.0, 598.6666666666648)	(63.0, 484.99999999998994)	(64.0, 316.83333333333275)	(65.0, 240.50000000000244)	(66.0, 197.00000000000122)	(67.0, 85.66666666666653)	(68.0, 28.999999999999964)	(69.0, 20.33333333333333)	(70.0, 8.33333333333333)	(71.0, 1.9999999999999998)	(72.0, 1.3333333333333333)	(73.0, 0.6666666666666666)	(74.0, 0.0)	(75.0, 0.3333333333333333)	(76.0, 0.6666666666666666)	(77.0, 0.6666666666666666)	(78.0, 0.3333333333333333)	(79.0, 0.3333333333333333)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.3333333333333333)	(84.0, 0.3333333333333333)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.3333333333333333)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.3333333333333333)	(95.0, 0.3333333333333333)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.5)
