Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35
sample5278_S71_L001_R1_001	(2.0, 875.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 2.0)	(15.0, 9.0)	(16.0, 31.0)	(17.0, 56.0)	(18.0, 65.0)	(19.0, 56.0)	(20.0, 48.0)	(21.0, 80.0)	(22.0, 174.0)	(23.0, 207.0)	(24.0, 308.0)	(25.0, 383.0)	(26.0, 521.0)	(27.0, 691.0)	(28.0, 958.0)	(29.0, 1319.0)	(30.0, 1830.0)	(31.0, 2524.0)	(32.0, 3270.0)	(33.0, 4076.0)	(34.0, 5444.0)	(35.0, 7876.0)	(36.0, 13831.0)	(37.0, 61713.0)
sample5278_S71_L001_R2_001	(2.0, 863.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 3.0)	(13.0, 6.0)	(14.0, 67.0)	(15.0, 159.0)	(16.0, 256.0)	(17.0, 531.0)	(18.0, 751.0)	(19.0, 824.0)	(20.0, 839.0)	(21.0, 906.0)	(22.0, 999.0)	(23.0, 1195.0)	(24.0, 1264.0)	(25.0, 1482.0)	(26.0, 1690.0)	(27.0, 2028.0)	(28.0, 2362.0)	(29.0, 2842.0)	(30.0, 3455.0)	(31.0, 4315.0)	(32.0, 5382.0)	(33.0, 7011.0)	(34.0, 9323.0)	(35.0, 13972.0)	(36.0, 23678.0)	(37.0, 20143.0)
sample5279_S72_L001_R1_001	(2.0, 1346.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 9.0)	(16.0, 35.0)	(17.0, 48.0)	(18.0, 64.0)	(19.0, 58.0)	(20.0, 57.0)	(21.0, 111.0)	(22.0, 189.0)	(23.0, 250.0)	(24.0, 379.0)	(25.0, 420.0)	(26.0, 548.0)	(27.0, 849.0)	(28.0, 1203.0)	(29.0, 1567.0)	(30.0, 2377.0)	(31.0, 3038.0)	(32.0, 3982.0)	(33.0, 5105.0)	(34.0, 6594.0)	(35.0, 9725.0)	(36.0, 17072.0)	(37.0, 73661.0)
sample5279_S72_L001_R2_001	(2.0, 1332.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 6.0)	(13.0, 24.0)	(14.0, 142.0)	(15.0, 258.0)	(16.0, 416.0)	(17.0, 790.0)	(18.0, 1144.0)	(19.0, 1096.0)	(20.0, 1196.0)	(21.0, 1310.0)	(22.0, 1354.0)	(23.0, 1623.0)	(24.0, 1751.0)	(25.0, 1970.0)	(26.0, 2246.0)	(27.0, 2674.0)	(28.0, 3041.0)	(29.0, 3637.0)	(30.0, 4392.0)	(31.0, 5418.0)	(32.0, 6651.0)	(33.0, 8626.0)	(34.0, 11761.0)	(35.0, 17109.0)	(36.0, 28177.0)	(37.0, 20545.0)
sample5280_S73_L001_R1_001	(2.0, 1214.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 9.0)	(16.0, 25.0)	(17.0, 66.0)	(18.0, 97.0)	(19.0, 82.0)	(20.0, 87.0)	(21.0, 107.0)	(22.0, 168.0)	(23.0, 246.0)	(24.0, 343.0)	(25.0, 425.0)	(26.0, 603.0)	(27.0, 810.0)	(28.0, 1137.0)	(29.0, 1690.0)	(30.0, 2348.0)	(31.0, 3200.0)	(32.0, 4362.0)	(33.0, 5577.0)	(34.0, 7428.0)	(35.0, 10854.0)	(36.0, 19982.0)	(37.0, 97148.0)
sample5280_S73_L001_R2_001	(2.0, 1207.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 2.0)	(13.0, 14.0)	(14.0, 117.0)	(15.0, 330.0)	(16.0, 514.0)	(17.0, 778.0)	(18.0, 896.0)	(19.0, 895.0)	(20.0, 912.0)	(21.0, 970.0)	(22.0, 1020.0)	(23.0, 1224.0)	(24.0, 1349.0)	(25.0, 1592.0)	(26.0, 1826.0)	(27.0, 2111.0)	(28.0, 2625.0)	(29.0, 3100.0)	(30.0, 3858.0)	(31.0, 4934.0)	(32.0, 6458.0)	(33.0, 8379.0)	(34.0, 11956.0)	(35.0, 17900.0)	(36.0, 33313.0)	(37.0, 49728.0)
sample5281_S74_L001_R1_001	(2.0, 456.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 3.0)	(15.0, 11.0)	(16.0, 36.0)	(17.0, 68.0)	(18.0, 66.0)	(19.0, 94.0)	(20.0, 92.0)	(21.0, 121.0)	(22.0, 169.0)	(23.0, 244.0)	(24.0, 318.0)	(25.0, 414.0)	(26.0, 495.0)	(27.0, 735.0)	(28.0, 1061.0)	(29.0, 1561.0)	(30.0, 2195.0)	(31.0, 3114.0)	(32.0, 4058.0)	(33.0, 5176.0)	(34.0, 7014.0)	(35.0, 9999.0)	(36.0, 18610.0)	(37.0, 90038.0)
sample5281_S74_L001_R2_001	(2.0, 444.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 1.0)	(11.0, 1.0)	(12.0, 8.0)	(13.0, 18.0)	(14.0, 145.0)	(15.0, 331.0)	(16.0, 543.0)	(17.0, 755.0)	(18.0, 959.0)	(19.0, 956.0)	(20.0, 968.0)	(21.0, 993.0)	(22.0, 1006.0)	(23.0, 1203.0)	(24.0, 1300.0)	(25.0, 1464.0)	(26.0, 1670.0)	(27.0, 2025.0)	(28.0, 2417.0)	(29.0, 2906.0)	(30.0, 3604.0)	(31.0, 4455.0)	(32.0, 5672.0)	(33.0, 7517.0)	(34.0, 10299.0)	(35.0, 16010.0)	(36.0, 28849.0)	(37.0, 49629.0)
sample5282_S75_L001_R1_001	(2.0, 1415.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 2.0)	(16.0, 32.0)	(17.0, 68.0)	(18.0, 76.0)	(19.0, 60.0)	(20.0, 60.0)	(21.0, 92.0)	(22.0, 138.0)	(23.0, 219.0)	(24.0, 287.0)	(25.0, 394.0)	(26.0, 518.0)	(27.0, 659.0)	(28.0, 975.0)	(29.0, 1421.0)	(30.0, 1924.0)	(31.0, 2735.0)	(32.0, 3702.0)	(33.0, 4801.0)	(34.0, 6343.0)	(35.0, 9430.0)	(36.0, 16944.0)	(37.0, 79868.0)
sample5282_S75_L001_R2_001	(2.0, 1401.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 4.0)	(13.0, 13.0)	(14.0, 69.0)	(15.0, 149.0)	(16.0, 275.0)	(17.0, 541.0)	(18.0, 787.0)	(19.0, 778.0)	(20.0, 827.0)	(21.0, 873.0)	(22.0, 1015.0)	(23.0, 1069.0)	(24.0, 1132.0)	(25.0, 1328.0)	(26.0, 1582.0)	(27.0, 1850.0)	(28.0, 2210.0)	(29.0, 2720.0)	(30.0, 3267.0)	(31.0, 4224.0)	(32.0, 5344.0)	(33.0, 6977.0)	(34.0, 9675.0)	(35.0, 14756.0)	(36.0, 27567.0)	(37.0, 41730.0)
