Sample	Unique Reads	Duplicate Reads
sample5278_S71_L001_R1_001	10184.0	96163.0
sample5278_S71_L001_R2_001	22743.0	83604.0
sample5279_S72_L001_R1_001	11726.0	116964.0
sample5279_S72_L001_R2_001	26189.0	102501.0
sample5280_S73_L001_R1_001	12802.0	145206.0
sample5280_S73_L001_R2_001	27123.0	130885.0
sample5281_S74_L001_R1_001	12500.0	133648.0
sample5281_S74_L001_R2_001	28010.0	118138.0
sample5282_S75_L001_R1_001	11224.0	120939.0
sample5282_S75_L001_R2_001	24075.0	108088.0
sample5428_S71_L001_R1_001	4782.0	113833.0
sample5428_S71_L001_R2_001	5754.0	112861.0
sample5429_S72_L001_R1_001	5099.0	145429.0
sample5429_S72_L001_R2_001	7427.0	143101.0
sample5430_S73_L001_R1_001	6582.0	172669.0
sample5430_S73_L001_R2_001	7830.0	171421.0
sample5431_S74_L001_R1_001	5939.0	133501.0
sample5431_S74_L001_R2_001	8369.0	131071.0
sample5432_S75_L001_R1_001	232.0	283.0
sample5432_S75_L001_R2_001	327.0	188.0
sample5926_S101_L001_R1_001	10563.0	112760.0
sample5926_S101_L001_R2_001	21874.0	101449.0
sample5927_S102_L001_R1_001	10091.0	95937.0
sample5927_S102_L001_R2_001	18670.0	87358.0
sample5928_S103_L001_R1_001	10363.0	100994.0
sample5928_S103_L001_R2_001	17846.0	93511.0
sample5929_S104_L001_R1_001	10863.0	108406.0
sample5929_S104_L001_R2_001	17747.0	101522.0
sample5930_S105_L001_R1_001	11266.0	112727.0
sample5930_S105_L001_R2_001	17129.0	106864.0
sample6076_S81_L001_R1_001	4335.0	117569.0
sample6076_S81_L001_R2_001	8107.0	113797.0
sample6077_S82_L001_R1_001	4451.0	108974.0
sample6077_S82_L001_R2_001	6411.0	107014.0
sample6078_S83_L001_R1_001	4080.0	105150.0
sample6078_S83_L001_R2_001	6222.0	103008.0
sample6079_S84_L001_R1_001	4417.0	112923.0
sample6079_S84_L001_R2_001	7021.0	110319.0
sample6080_S85_L001_R1_001	4165.0	107420.0
sample6080_S85_L001_R2_001	7807.0	103778.0
sample6285_S140_L001_R1_001	1917.0	37047.0
sample6285_S140_L001_R2_001	5453.0	33511.0
sample6286_S141_L001_R1_001	1068.0	9569.0
sample6286_S141_L001_R2_001	2066.0	8571.0
sample6287_S142_L001_R1_001	1286.0	11709.0
sample6287_S142_L001_R2_001	2469.0	10526.0
sample6288_S143_L001_R1_001	1811.0	22115.0
sample6288_S143_L001_R2_001	4213.0	19713.0
sample6289_S144_L001_R1_001	1441.0	23146.0
sample6289_S144_L001_R2_001	2730.0	21857.0
sample6290_S145_L001_R1_001	3017.0	87106.0
sample6290_S145_L001_R2_001	8678.0	81445.0
sample6291_S146_L001_R1_001	2950.0	38452.0
sample6291_S146_L001_R2_001	5765.0	35637.0
sample6292_S147_L001_R1_001	1965.0	45934.0
sample6292_S147_L001_R2_001	5762.0	42137.0
sample6293_S148_L001_R1_001	3314.0	77128.0
sample6293_S148_L001_R2_001	8836.0	71606.0
sample6294_S149_L001_R1_001	3207.0	61451.0
sample6294_S149_L001_R2_001	8614.0	56044.0
sample6615_S140_L001_R1_001	185.0	1648.0
sample6615_S140_L001_R2_001	296.0	1537.0
sample6616_S141_L001_R1_001	524.0	5683.0
sample6616_S141_L001_R2_001	626.0	5581.0
sample6617_S142_L001_R1_001	228.0	2400.0
sample6617_S142_L001_R2_001	372.0	2256.0
sample6618_S143_L001_R1_001	369.0	3548.0
sample6618_S143_L001_R2_001	512.0	3405.0
sample6619_S144_L001_R1_001	199.0	1831.0
sample6619_S144_L001_R2_001	297.0	1733.0
sample6620_S145_L001_R1_001	2609.0	95112.0
sample6620_S145_L001_R2_001	4862.0	92859.0
sample6621_S146_L001_R1_001	2527.0	92814.0
sample6621_S146_L001_R2_001	5854.0	89487.0
sample6622_S147_L001_R1_001	1403.0	39452.0
sample6622_S147_L001_R2_001	2800.0	38055.0
sample6623_S148_L001_R1_001	2913.0	96054.0
sample6623_S148_L001_R2_001	5953.0	93014.0
sample6624_S149_L001_R1_001	2236.0	92560.0
sample6624_S149_L001_R2_001	5284.0	89512.0
