Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
sample5278_S71_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.014980297652001174)	(160, 2.9834673961420304)	(165, 3.4422118735141822)	(170, 3.4422118735141822)	(175, 3.4422118735141822)	(180, 3.4422118735141822)	(185, 3.4422118735141822)	(190, 3.4422118735141822)	(195, 3.4422118735141822)	(200, 3.4422118735141822)	(205, 3.4422118735141822)	(210, 3.4422118735141822)	(215, 3.4422118735141822)	(220, 3.4422118735141822)	(225, 3.4422118735141822)	(230, 3.4422118735141822)	(235, 3.4422118735141822)	(240, 3.4422118735141822)
sample5279_S72_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.00582633869235111)	(160, 1.4354641953280047)	(165, 1.6058846020792745)	(170, 1.6058846020792745)	(175, 1.6058846020792745)	(180, 1.6058846020792745)	(185, 1.6058846020792745)	(190, 1.6058846020792745)	(195, 1.6058846020792745)	(200, 1.6058846020792745)	(205, 1.6058846020792745)	(210, 1.6058846020792745)	(215, 1.6058846020792745)	(220, 1.6058846020792745)	(225, 1.6058846020792745)	(230, 1.6058846020792745)	(235, 1.6058846020792745)	(240, 1.6058846020792745)
sample5280_S73_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.00014192852479491327)	(155, 0.11155582048880183)	(160, 1.5135257884129554)	(165, 1.517215930057623)	(170, 1.517215930057623)	(175, 1.517215930057623)	(180, 1.517215930057623)	(185, 1.517215930057623)	(190, 1.517215930057623)	(195, 1.517215930057623)	(200, 1.517215930057623)	(205, 1.517215930057623)	(210, 1.517215930057623)	(215, 1.517215930057623)	(220, 1.517215930057623)	(225, 1.517215930057623)	(230, 1.517215930057623)	(235, 1.517215930057623)	(240, 1.517215930057623)
sample5281_S74_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.00030829942039708964)	(155, 0.21010605500061658)	(160, 1.8211246762856086)	(165, 1.8228203230977926)	(170, 1.8228203230977926)	(175, 1.8228203230977926)	(180, 1.8228203230977926)	(185, 1.8228203230977926)	(190, 1.8228203230977926)	(195, 1.8228203230977926)	(200, 1.8228203230977926)	(205, 1.8228203230977926)	(210, 1.8228203230977926)	(215, 1.8228203230977926)	(220, 1.8228203230977926)	(225, 1.8228203230977926)	(230, 1.8228203230977926)	(235, 1.8228203230977926)	(240, 1.8228203230977926)
sample5282_S75_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.00034002040122407346)	(140, 0.0008500510030601836)	(145, 0.0008500510030601836)	(150, 0.0008500510030601836)	(155, 0.10744644678680719)	(160, 0.9687181230873853)	(165, 0.9707582454947297)	(170, 0.9707582454947297)	(175, 0.9707582454947297)	(180, 0.9707582454947297)	(185, 0.9707582454947297)	(190, 0.9707582454947297)	(195, 0.9707582454947297)	(200, 0.9707582454947297)	(205, 0.9707582454947297)	(210, 0.9707582454947297)	(215, 0.9707582454947297)	(220, 0.9707582454947297)	(225, 0.9707582454947297)	(230, 0.9707582454947297)	(235, 0.9707582454947297)	(240, 0.9707582454947297)
sample5432_S75_L001_R1_001 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.07194244604316546)	(45, 0.3597122302158273)	(50, 0.3597122302158273)	(55, 0.3597122302158273)	(60, 0.3597122302158273)	(65, 0.3597122302158273)	(70, 0.3597122302158273)	(75, 0.3597122302158273)	(80, 0.3597122302158273)	(85, 0.3597122302158273)	(90, 0.3597122302158273)	(95, 0.3597122302158273)	(100, 0.3597122302158273)	(105, 0.3597122302158273)	(110, 0.3597122302158273)	(115, 0.3597122302158273)	(120, 0.3597122302158273)	(125, 0.3597122302158273)	(130, 0.3597122302158273)	(135, 0.3597122302158273)	(140, 0.3597122302158273)	(145, 0.3597122302158273)	(150, 0.3597122302158273)	(155, 0.3597122302158273)	(160, 0.3597122302158273)	(165, 0.3597122302158273)	(170, 0.3597122302158273)	(175, 0.3597122302158273)	(180, 0.3597122302158273)	(185, 0.3597122302158273)	(190, 0.3597122302158273)	(195, 0.3597122302158273)	(200, 0.3597122302158273)	(205, 0.3597122302158273)	(210, 0.3597122302158273)	(215, 0.3597122302158273)	(220, 0.3597122302158273)	(225, 0.3597122302158273)	(230, 0.3597122302158273)	(235, 0.3597122302158273)	(240, 0.3597122302158273)
sample5926_S101_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0008947264821144177)	(155, 0.002505234149920369)	(160, 1.1373763040638476)	(165, 2.3618989674856397)	(170, 2.3620779127820626)	(175, 2.3620779127820626)	(180, 2.3620779127820626)	(185, 2.3620779127820626)	(190, 2.3620779127820626)	(195, 2.3620779127820626)	(200, 2.3620779127820626)	(205, 2.3620779127820626)	(210, 2.3620779127820626)	(215, 2.3620779127820626)	(220, 2.3620779127820626)	(225, 2.3620779127820626)	(230, 2.3620779127820626)	(235, 2.3620779127820626)	(240, 2.3620779127820626)
sample5927_S102_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0006234154856406633)	(155, 0.00374049291384398)	(160, 1.3133286230829975)	(165, 2.724325672249699)	(170, 2.724325672249699)	(175, 2.724325672249699)	(180, 2.724325672249699)	(185, 2.724325672249699)	(190, 2.724325672249699)	(195, 2.724325672249699)	(200, 2.724325672249699)	(205, 2.724325672249699)	(210, 2.724325672249699)	(215, 2.724325672249699)	(220, 2.724325672249699)	(225, 2.724325672249699)	(230, 2.724325672249699)	(235, 2.724325672249699)	(240, 2.724325672249699)
sample5928_S103_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.000985289625885529)	(155, 0.0013794054762397406)	(160, 1.3283674736188702)	(165, 2.8898544727222566)	(170, 2.8898544727222566)	(175, 2.8898544727222566)	(180, 2.8898544727222566)	(185, 2.8898544727222566)	(190, 2.8898544727222566)	(195, 2.8898544727222566)	(200, 2.8898544727222566)	(205, 2.8898544727222566)	(210, 2.8898544727222566)	(215, 2.8898544727222566)	(220, 2.8898544727222566)	(225, 2.8898544727222566)	(230, 2.8898544727222566)	(235, 2.8898544727222566)	(240, 2.8898544727222566)
sample5929_S104_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0032266636298067795)	(160, 1.1350263827202671)	(165, 2.4655506206582394)	(170, 2.4655506206582394)	(175, 2.4655506206582394)	(180, 2.4655506206582394)	(185, 2.4655506206582394)	(190, 2.4655506206582394)	(195, 2.4655506206582394)	(200, 2.4655506206582394)	(205, 2.4655506206582394)	(210, 2.4655506206582394)	(215, 2.4655506206582394)	(220, 2.4655506206582394)	(225, 2.4655506206582394)	(230, 2.4655506206582394)	(235, 2.4655506206582394)	(240, 2.4655506206582394)
