Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
sample5278_S71_L001_R1_001	2.4967162753335286	68.91805342972829
sample5278_S71_L001_R2_001	0.6806265672322273	48.275637476796824
sample5279_S72_L001_R1_001	2.478014675090581	69.27789814831674
sample5279_S72_L001_R2_001	0.955883691713854	54.942373868870966
sample5280_S73_L001_R1_001	2.5873570070112692	69.37821113287349
sample5280_S73_L001_R2_001	1.0992364245366033	52.95495188623009
sample5281_S74_L001_R1_001	2.225151066715995	67.2462695770132
sample5281_S74_L001_R2_001	0.9117955358243927	49.38648415340979
sample5282_S75_L001_R1_001	2.4532471948316896	68.92723563413804
sample5282_S75_L001_R2_001	0.8942536552193132	53.049982998979935
sample5428_S71_L001_R1_001	16.781851370864477	71.7235930362446
sample5428_S71_L001_R2_001	30.144487935121195	61.914578660103714
sample5429_S72_L001_R1_001	25.303039007295915	63.47590049979893
sample5429_S72_L001_R2_001	53.08281151260987	38.967082208307
sample5430_S73_L001_R1_001	17.123685815780977	70.36348631095483
sample5430_S73_L001_R2_001	32.966378413290755	58.78933582116329
sample5431_S74_L001_R1_001	13.96005882808267	72.54508862915087
sample5431_S74_L001_R2_001	34.699280130041025	56.0778698041644
sample5432_S75_L001_R1_001	11.510791366906476	88.48920863309354
sample5432_S75_L001_R2_001	13.309352517985612	86.69064748201438
sample5926_S101_L001_R1_001	2.3871302542812662	70.11792495034268
sample5926_S101_L001_R2_001	0.6817815793711862	51.06293506075193
sample5927_S102_L001_R1_001	2.0707784381364034	68.68376210465068
sample5927_S102_L001_R2_001	0.7397863762935871	49.45866755330202
sample5928_S103_L001_R1_001	2.4760328298503347	67.41844265121732
sample5928_S103_L001_R2_001	1.1409653867754426	53.91603361808204
sample5929_S104_L001_R1_001	2.06411570436169	67.47143453668906
sample5929_S104_L001_R2_001	1.27263409634438	56.74467600501082
sample5930_S105_L001_R1_001	2.1508357405403475	67.61315363495711
sample5930_S105_L001_R2_001	1.7474981442893298	64.04750619315489
sample6076_S81_L001_R1_001	15.845503181029496	75.06506651243492
sample6076_S81_L001_R2_001	32.859492481203006	60.06000578368999
sample6077_S82_L001_R1_001	12.067544515362352	77.68481781764514
sample6077_S82_L001_R2_001	42.287198359304625	50.876890345581046
sample6078_S83_L001_R1_001	13.753901692312295	75.86784606639608
sample6078_S83_L001_R2_001	38.73071591691016	54.18191609242399
sample6079_S84_L001_R1_001	11.441939204524315	78.64996093313985
sample6079_S84_L001_R2_001	35.579677791420174	57.71291438776648
sample6080_S85_L001_R1_001	16.60139402532248	73.5194677718399
sample6080_S85_L001_R2_001	35.68347891611061	56.93195451075264
sample6285_S140_L001_R1_001	23.289835566738837	68.0496225642226
sample6285_S140_L001_R2_001	3.7597284803089708	85.9822107788636
sample6286_S141_L001_R1_001	26.431718061674008	60.317644331092055
sample6286_S141_L001_R2_001	4.05750057964294	77.69533967076282
sample6287_S142_L001_R1_001	12.592682630363438	72.90628418621611
sample6287_S142_L001_R2_001	2.479640209067704	68.71277500911631
sample6288_S143_L001_R1_001	29.363695251382733	57.24749613832279
sample6288_S143_L001_R2_001	4.399820618864917	77.50261597488664
sample6289_S144_L001_R1_001	20.93114241001565	65.89723526343244
sample6289_S144_L001_R2_001	6.559728742827334	74.9869587897757
sample6290_S145_L001_R1_001	19.4072751119731	71.75208249033753
sample6290_S145_L001_R2_001	5.193319287279019	83.5130949224909
sample6291_S146_L001_R1_001	10.424671723077951	75.00417655117111
sample6291_S146_L001_R2_001	4.610912492899863	73.40038090146682
sample6292_S147_L001_R1_001	25.179247278967537	65.67150144573215
sample6292_S147_L001_R2_001	5.000117539199323	83.14958038505841
sample6293_S148_L001_R1_001	33.10759547025599	56.04012701267317
sample6293_S148_L001_R2_001	5.915081349931155	78.09733891589626
sample6294_S149_L001_R1_001	20.5230543010188	68.98960193257011
sample6294_S149_L001_R2_001	3.5885586247943144	78.8572628925533
sample6615_S140_L001_R1_001	34.46877534468775	60.09732360097323
sample6615_S140_L001_R2_001	68.61313868613139	26.196269261962698
sample6616_S141_L001_R1_001	7.307692307692308	92.6923076923077
sample6616_S141_L001_R2_001	14.23076923076923	85.76923076923077
sample6617_S142_L001_R1_001	21.052631578947366	72.52888318356868
sample6617_S142_L001_R2_001	38.04022250748823	55.755241762943946
sample6618_S143_L001_R1_001	19.333910034602077	74.26470588235293
sample6618_S143_L001_R2_001	36.67820069204152	55.622837370242216
sample6619_S144_L001_R1_001	26.180836707152494	67.81376518218623
sample6619_S144_L001_R2_001	64.64237516869096	30.026990553306348
sample6620_S145_L001_R1_001	23.467701691156083	70.29110063764902
sample6620_S145_L001_R2_001	48.39367895758248	45.634599390074854
sample6621_S146_L001_R1_001	37.60098510829286	55.49405022210969
sample6621_S146_L001_R2_001	76.73372154579143	16.745690151218724
sample6622_S147_L001_R1_001	9.731552605518829	85.1698204105666
sample6622_S147_L001_R2_001	37.49431255520167	56.0661617107834
sample6623_S148_L001_R1_001	12.428141859025382	80.72433006102413
sample6623_S148_L001_R2_001	32.023304147873	60.13863093658795
sample6624_S149_L001_R1_001	31.646264542353876	62.54263421015746
sample6624_S149_L001_R2_001	64.5283371489978	30.21071812362753
