Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
sample5278_S71_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0006659518783173223)	(26.0, 0.0006659518783173223)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.003995711269903934)	(32.0, 0.003995711269903934)	(33.0, 0.024640219497740937)	(34.0, 0.042620920212308615)	(35.0, 0.011321181931394477)	(36.0, 0.017314748836250376)	(37.0, 0.021976411984471644)	(38.0, 0.027304027011010232)	(39.0, 0.021310460106154318)	(40.0, 0.00865737441812519)	(41.0, 0.016315821018774393)	(42.0, 0.027969978889327552)	(43.0, 0.0223093879236303)	(44.0, 0.0486144871171645)	(45.0, 0.11987133809711834)	(46.0, 0.33397486697613793)	(47.0, 0.8101304599730117)	(48.0, 1.2699702319511386)	(49.0, 1.162419003602879)	(50.0, 1.070850620334237)	(51.0, 2.495987639933316)	(52.0, 5.3376043047135235)	(53.0, 8.282110534694699)	(54.0, 11.684458681014998)	(55.0, 12.982731867793593)	(56.0, 14.049919752796258)	(57.0, 12.087359567396803)	(58.0, 9.606022868788347)	(59.0, 6.341859737216316)	(60.0, 3.540866137013057)	(61.0, 2.53727665638898)	(62.0, 1.9812068379940828)	(63.0, 1.5256957532250037)	(64.0, 0.7428693202629696)	(65.0, 0.689260194058426)	(66.0, 0.6506349851160228)	(67.0, 0.2394097002550766)	(68.0, 0.10255658926086773)	(69.0, 0.03762628112492871)	(70.0, 0.011987133809711798)	(71.0, 0.005660590965697241)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5278_S71_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.000581855420565135)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.000581855420565135)	(30.0, 0.004072987943955944)	(31.0, 0.004072987943955944)	(32.0, 0.0052366987850862145)	(33.0, 0.014546385514128369)	(34.0, 0.02385607224317054)	(35.0, 0.011055252990737561)	(36.0, 0.011637108411302695)	(37.0, 0.008145975887911888)	(38.0, 0.01105525299073756)	(39.0, 0.01571009635525864)	(40.0, 0.01861937345808432)	(41.0, 0.027638132476843928)	(42.0, 0.03752967462645119)	(43.0, 0.10473397570172456)	(44.0, 0.2725992645347658)	(45.0, 0.5321067821068161)	(46.0, 0.8218707815482382)	(47.0, 0.7031722757529584)	(48.0, 0.7185914443979351)	(49.0, 0.7808499743984035)	(50.0, 1.0505399618303488)	(51.0, 1.5203882139367333)	(52.0, 2.864474235442034)	(53.0, 5.397581808872881)	(54.0, 7.129183540475345)	(55.0, 9.622143089884869)	(56.0, 11.661546338964268)	(57.0, 12.340862542473808)	(58.0, 11.42385839966401)	(59.0, 10.51383652190077)	(60.0, 8.18641483964129)	(61.0, 5.451694362985165)	(62.0, 3.6261229809618634)	(63.0, 2.239852441465482)	(64.0, 1.216950612111984)	(65.0, 0.7011357817809833)	(66.0, 0.46722990271380543)	(67.0, 0.25979844528233254)	(68.0, 0.11637108411302699)	(69.0, 0.04945771074803646)	(70.0, 0.020074012009497155)	(71.0, 0.00785504817762932)	(72.0, 0.004363915654238512)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5279_S72_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0005605569694048739)	(28.0, 0.0005605569694048739)	(29.0, 0.0005605569694048739)	(30.0, 0.0005605569694048739)	(31.0, 0.003923898785834117)	(32.0, 0.041481215735960635)	(33.0, 0.059979595726321465)	(34.0, 0.04092065876655576)	(35.0, 0.013453367265716968)	(36.0, 0.030270076347863197)	(37.0, 0.0521317981546532)	(38.0, 0.043443165128877685)	(39.0, 0.040079823312448457)	(40.0, 0.029709519378458324)	(41.0, 0.047086785430009354)	(42.0, 0.06754711481328732)	(43.0, 0.285603775911784)	(44.0, 0.4963731964080171)	(45.0, 0.39547294191514226)	(46.0, 1.689238427301662)	(47.0, 1.6544838951985559)	(48.0, 1.3660773344397152)	(49.0, 1.4986490577039815)	(50.0, 1.792941466641549)	(51.0, 3.23553482740468)	(52.0, 5.781584582442572)	(53.0, 8.767111001491777)	(54.0, 12.977174120203582)	(55.0, 13.122638653764149)	(56.0, 12.943540702039522)	(57.0, 11.194602957497812)	(58.0, 7.872742356807014)	(59.0, 5.051739408277011)	(60.0, 2.954135228763565)	(61.0, 1.989977241387317)	(62.0, 1.392143233517029)	(63.0, 1.0227361906791939)	(64.0, 0.7158312499300162)	(65.0, 0.5140307409442696)	(66.0, 0.4705875758153939)	(67.0, 0.20432301534807573)	(68.0, 0.08296243147192138)	(69.0, 0.04007982331244847)	(70.0, 0.01177169635750235)	(71.0, 0.0036436203011316797)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5279_S72_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.00047984414662122053)	(29.0, 0.0014395324398636616)	(30.0, 0.00047984414662122053)	(31.0, 0.0031189869530379335)	(32.0, 0.010076727079045628)	(33.0, 0.013675558178704786)	(34.0, 0.05518207686144035)	(35.0, 0.057581297594546485)	(36.0, 0.02159298659795494)	(37.0, 0.013435636105394173)	(38.0, 0.016794545131742725)	(39.0, 0.043665817342531006)	(40.0, 0.04462550563577345)	(41.0, 0.056381687227993416)	(42.0, 0.19937524292111658)	(43.0, 0.45561201721684835)	(44.0, 0.7663111021540764)	(45.0, 1.6396274490047391)	(46.0, 1.0714919794052036)	(47.0, 0.9141030993134281)	(48.0, 1.3447632209059945)	(49.0, 1.4421715826701078)	(50.0, 1.6880917078134625)	(51.0, 2.3879443956604107)	(52.0, 3.495424686062266)	(53.0, 5.584666100451744)	(54.0, 7.409273467978019)	(55.0, 9.922697107978342)	(56.0, 12.141016597807534)	(57.0, 12.351428256101524)	(58.0, 11.719233592927903)	(59.0, 9.634790620006523)	(60.0, 6.447905720222832)	(61.0, 3.9292037946079077)	(62.0, 2.265344216198749)	(63.0, 1.1686604190959955)	(64.0, 0.6381927150062177)	(65.0, 0.3519656815466671)	(66.0, 0.3258141755558103)	(67.0, 0.20969189207347325)	(68.0, 0.09764828383741844)	(69.0, 0.03958714209625068)	(70.0, 0.013915480252015396)	(71.0, 0.004798441466212206)	(72.0, 0.0007197662199318308)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5280_S73_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0008747949699290092)	(31.0, 0.010060142154183601)	(32.0, 0.2226353198469334)	(33.0, 0.15308911973757586)	(34.0, 0.04986331328595352)	(35.0, 0.01487151448879316)	(36.0, 0.017714598141062445)	(37.0, 0.03214871514489106)	(38.0, 0.043083652269003646)	(39.0, 0.03914707490432311)	(40.0, 0.024275560415530004)	(41.0, 0.02821213778021054)	(42.0, 0.04133406232914565)	(43.0, 0.04308365226900367)	(44.0, 0.1327501366867267)	(45.0, 0.31623838162934)	(46.0, 0.708365226900004)	(47.0, 1.0167304538000148)	(48.0, 1.4569710224168002)	(49.0, 1.8138873701477547)	(50.0, 1.7718972115911735)	(51.0, 3.1346090759980836)	(52.0, 6.4496446145441)	(53.0, 9.13110989611663)	(54.0, 11.236960087477769)	(55.0, 12.171241115363571)	(56.0, 12.239693821760673)	(57.0, 11.947293603061492)	(58.0, 8.595735374520945)	(59.0, 5.5212684527074956)	(60.0, 3.6614543466379925)	(61.0, 2.273154729360457)	(62.0, 1.6043739748498038)	(63.0, 1.2623291416075921)	(64.0, 0.9942044833243321)	(65.0, 0.7604155276107879)	(66.0, 0.567085839256473)	(67.0, 0.29371241115366703)	(68.0, 0.09819573537453125)	(69.0, 0.067577911427016)	(70.0, 0.03367960634226684)	(71.0, 0.013778020776381895)	(72.0, 0.004592673592127299)	(73.0, 0.0006560962274467569)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5280_S73_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0008057563231728147)	(26.0, 0.0012086344847592222)	(27.0, 0.00040287816158640735)	(28.0, 0.0008057563231728147)	(29.0, 0.003223025292691259)	(30.0, 0.003223025292691259)	(31.0, 0.003223025292691259)	(32.0, 0.012287783928385424)	(33.0, 0.021553981644872797)	(34.0, 0.1816980508754696)	(35.0, 0.1363742576969983)	(36.0, 0.017726639109801937)	(37.0, 0.015309370140283489)	(38.0, 0.012690662089971837)	(39.0, 0.03041730119977373)	(40.0, 0.04753962306719608)	(41.0, 0.07533821621665839)	(42.0, 0.1792807819059511)	(43.0, 0.3724608603866335)	(44.0, 0.7509648931970645)	(45.0, 1.0926055742223744)	(46.0, 0.9932961073913122)	(47.0, 0.9570370728485301)	(48.0, 1.2058143376281563)	(49.0, 1.7283473132056457)	(50.0, 3.036089825715188)	(51.0, 3.906105215661382)	(52.0, 5.108293649835512)	(53.0, 7.674224660977329)	(54.0, 9.731723432197589)	(55.0, 11.042487530920619)	(56.0, 11.807150281612797)	(57.0, 10.306630568782236)	(58.0, 9.170312714028025)	(59.0, 7.159547809551453)	(60.0, 4.620609635234778)	(61.0, 2.9929818624254243)	(62.0, 2.0317145688802203)	(63.0, 1.420749836834472)	(64.0, 0.7513677713586496)	(65.0, 0.5654394997865163)	(66.0, 0.463511324905158)	(67.0, 0.19499303020782127)	(68.0, 0.10494976109325904)	(69.0, 0.05076264835988735)	(70.0, 0.013496418413144648)	(71.0, 0.002820147131104852)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.00040287816158640735)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5281_S74_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.000952530635766695)	(30.0, 0.0014287959536500425)	(31.0, 0.0014287959536500425)	(32.0, 0.008096510404016904)	(33.0, 0.016669286125917167)	(34.0, 0.019050612715333908)	(35.0, 0.010001571675550294)	(36.0, 0.010001571675550294)	(37.0, 0.015240490172267123)	(38.0, 0.02381326589416739)	(39.0, 0.019050612715333908)	(40.0, 0.011192234970258662)	(41.0, 0.01095410231131699)	(42.0, 0.019288745374275582)	(43.0, 0.04619773583468465)	(44.0, 0.16907418784858752)	(45.0, 0.32767053870374613)	(46.0, 0.7608338453186344)	(47.0, 1.1275581400888535)	(48.0, 1.5895354984357097)	(49.0, 2.5875494720600396)	(50.0, 2.320602761386485)	(51.0, 3.035000738211423)	(52.0, 5.172479484872822)	(53.0, 8.346311563245575)	(54.0, 11.632065991319978)	(55.0, 12.338605590401027)	(56.0, 12.851543337762262)	(57.0, 12.436001847908482)	(58.0, 8.713988388651432)	(59.0, 5.5965937504478775)	(60.0, 3.583896517072212)	(61.0, 2.2984564241049714)	(62.0, 1.5814389880316768)	(63.0, 1.1823286516454308)	(64.0, 0.8729943276801759)	(65.0, 0.5174622678802545)	(66.0, 0.3393390389918876)	(67.0, 0.22051084217998987)	(68.0, 0.07644058352027736)	(69.0, 0.05953316473541846)	(70.0, 0.029528449708767536)	(71.0, 0.012859163582850384)	(72.0, 0.00571518381460017)	(73.0, 0.0007143979768250212)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5281_S74_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.001311188811188964)	(26.0, 0.001311188811188964)	(27.0, 0.00043706293706298797)	(28.0, 0.0)	(29.0, 0.0008741258741259759)	(30.0, 0.001311188811188964)	(31.0, 0.003059440559440915)	(32.0, 0.008741258741259757)	(33.0, 0.013986013986015618)	(34.0, 0.015297202797204585)	(35.0, 0.010489510489511706)	(36.0, 0.006993006993007806)	(37.0, 0.009178321678322745)	(38.0, 0.013548951048952628)	(39.0, 0.016171328671330563)	(40.0, 0.027316433566436746)	(41.0, 0.06315559440560185)	(42.0, 0.18028846153848196)	(43.0, 0.4027534965035435)	(44.0, 0.704763986014057)	(45.0, 1.1210664335665987)	(46.0, 1.1333041958043613)	(47.0, 1.0817307692309197)	(48.0, 1.500218531468725)	(49.0, 2.161276223776374)	(50.0, 2.5799825174826414)	(51.0, 3.109047202797529)	(52.0, 5.169798951050302)	(53.0, 7.463942307692372)	(54.0, 9.846809440557948)	(55.0, 11.218312937061793)	(56.0, 11.703671328671035)	(57.0, 11.074082167831092)	(58.0, 9.959790209789386)	(59.0, 7.302229020979417)	(60.0, 4.52709790209865)	(61.0, 2.8695367132870055)	(62.0, 1.893356643356846)	(63.0, 1.2902097902099634)	(64.0, 0.5614073426574042)	(65.0, 0.3843968531468987)	(66.0, 0.2943618881119243)	(67.0, 0.11975524475525856)	(68.0, 0.08435314685315677)	(69.0, 0.04523601398601924)	(70.0, 0.01595279720279906)	(71.0, 0.005900349650350338)	(72.0, 0.001311188811188964)	(73.0, 0.0)	(74.0, 0.00043706293706298797)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.00043706293706298797)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5282_S75_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0005253784037954104)	(28.0, 0.0005253784037954104)	(29.0, 0.0005253784037954104)	(30.0, 0.0021015136151816415)	(31.0, 0.006304540845544925)	(32.0, 0.011032946479703614)	(33.0, 0.03835262347706493)	(34.0, 0.09982189672112823)	(35.0, 0.03625110986188329)	(36.0, 0.014710595306271489)	(37.0, 0.02679429859356594)	(38.0, 0.03625110986188329)	(39.0, 0.022065892959407248)	(40.0, 0.018125554930941663)	(41.0, 0.021015136151816424)	(42.0, 0.05280052958143869)	(43.0, 0.05989313803267676)	(44.0, 0.1870347117511652)	(45.0, 0.46101954933047384)	(46.0, 0.9033881653262009)	(47.0, 1.40906487897934)	(48.0, 1.59583690152863)	(49.0, 2.0153515569591764)	(50.0, 2.5499240828208882)	(51.0, 3.5113665617664624)	(52.0, 5.477069859567858)	(53.0, 8.376370580911564)	(54.0, 11.092839617733448)	(55.0, 11.891940169905713)	(56.0, 12.347705935197979)	(57.0, 12.754874198139152)	(58.0, 9.26767504294997)	(59.0, 5.238810753446343)	(60.0, 3.7488376002821115)	(61.0, 2.417528725064522)	(62.0, 1.5012687888454157)	(63.0, 1.0331566310636795)	(64.0, 0.7310640488813044)	(65.0, 0.4428939943995318)	(66.0, 0.2855431624628064)	(67.0, 0.1623419267727813)	(68.0, 0.0696126385028919)	(69.0, 0.05174977277384789)	(70.0, 0.021803203757509534)	(71.0, 0.00604185164364722)	(72.0, 0.0007880676056931156)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample5282_S75_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0009620495503622045)	(23.0, 0.00048102477518110223)	(24.0, 0.00048102477518110223)	(25.0, 0.00048102477518110223)	(26.0, 0.0)	(27.0, 0.00048102477518110223)	(28.0, 0.0014430743255433069)	(29.0, 0.0009620495503622045)	(30.0, 0.004329222976629921)	(31.0, 0.005772297302173227)	(32.0, 0.007696396402897635)	(33.0, 0.026937387410141726)	(34.0, 0.07696396402897651)	(35.0, 0.04233018021593695)	(36.0, 0.01443074325543307)	(37.0, 0.01491176803061417)	(38.0, 0.01707637951892913)	(39.0, 0.02429175114664567)	(40.0, 0.030064048448818884)	(41.0, 0.05940655973486616)	(42.0, 0.16715610937543224)	(43.0, 0.3658193415252322)	(44.0, 0.6755992967418454)	(45.0, 1.1114077430559615)	(46.0, 1.1758650629302352)	(47.0, 1.0313171179882965)	(48.0, 1.315843272507941)	(49.0, 1.710524100544009)	(50.0, 2.053494765248072)	(51.0, 2.8640215114280823)	(52.0, 4.192130915703543)	(53.0, 6.615293220678481)	(54.0, 8.591824021896112)	(55.0, 10.38436284660717)	(56.0, 11.24347309508015)	(57.0, 11.505150572778719)	(58.0, 11.009214029567566)	(59.0, 8.882122473718109)	(60.0, 5.865616108558811)	(61.0, 3.8111592937599172)	(62.0, 2.1961186110893003)	(63.0, 1.2689433569277637)	(64.0, 0.6306234802624201)	(65.0, 0.4086305465163473)	(66.0, 0.31050149237940317)	(67.0, 0.14406692016673983)	(68.0, 0.06878654285089765)	(69.0, 0.04088710589039367)	(70.0, 0.018278941456881886)	(71.0, 0.007215371627716535)	(72.0, 0.0014430743255433069)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0007215371627716534)	(79.0, 0.0007215371627716534)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.00048102477518110223)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.00048102477518110223)	(95.0, 0.00048102477518110223)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0007215371627716534)
