Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13
sample5278_S71_L001_R1_001	(28.0, 4.0)	(29.0, 29.0)	(30.0, 128.0)	(31.0, 450.0)	(32.0, 1043.0)	(33.0, 2324.0)	(34.0, 4312.0)	(35.0, 7706.0)	(36.0, 14131.0)	(37.0, 61994.0)				
sample5278_S71_L001_R2_001	(26.0, 2.0)	(27.0, 15.0)	(28.0, 74.0)	(29.0, 314.0)	(30.0, 744.0)	(31.0, 1665.0)	(32.0, 3197.0)	(33.0, 5424.0)	(34.0, 9092.0)	(35.0, 16002.0)	(36.0, 30253.0)	(37.0, 25339.0)		
sample5279_S72_L001_R1_001	(27.0, 2.0)	(28.0, 4.0)	(29.0, 35.0)	(30.0, 141.0)	(31.0, 475.0)	(32.0, 1262.0)	(33.0, 2767.0)	(34.0, 5168.0)	(35.0, 9030.0)	(36.0, 17265.0)	(37.0, 73697.0)			
sample5279_S72_L001_R2_001	(26.0, 6.0)	(27.0, 27.0)	(28.0, 149.0)	(29.0, 440.0)	(30.0, 1090.0)	(31.0, 2188.0)	(32.0, 4135.0)	(33.0, 7158.0)	(34.0, 11760.0)	(35.0, 19758.0)	(36.0, 36626.0)	(37.0, 26509.0)		
sample5280_S73_L001_R1_001	(27.0, 3.0)	(28.0, 9.0)	(29.0, 48.0)	(30.0, 194.0)	(31.0, 674.0)	(32.0, 1681.0)	(33.0, 3353.0)	(34.0, 6339.0)	(35.0, 10776.0)	(36.0, 20317.0)	(37.0, 97522.0)			
sample5280_S73_L001_R2_001	(26.0, 2.0)	(27.0, 33.0)	(28.0, 110.0)	(29.0, 359.0)	(30.0, 845.0)	(31.0, 1821.0)	(32.0, 3541.0)	(33.0, 6445.0)	(34.0, 11275.0)	(35.0, 19772.0)	(36.0, 39484.0)	(37.0, 57229.0)		
sample5281_S74_L001_R1_001	(26.0, 1.0)	(27.0, 4.0)	(28.0, 9.0)	(29.0, 60.0)	(30.0, 167.0)	(31.0, 561.0)	(32.0, 1351.0)	(33.0, 3057.0)	(34.0, 5851.0)	(35.0, 9743.0)	(36.0, 18634.0)	(37.0, 90306.0)		
sample5281_S74_L001_R2_001	(27.0, 25.0)	(28.0, 93.0)	(29.0, 355.0)	(30.0, 844.0)	(31.0, 1751.0)	(32.0, 3402.0)	(33.0, 5926.0)	(34.0, 10142.0)	(35.0, 17790.0)	(36.0, 34862.0)	(37.0, 54554.0)			
sample5282_S75_L001_R1_001	(28.0, 6.0)	(29.0, 54.0)	(30.0, 150.0)	(31.0, 543.0)	(32.0, 1346.0)	(33.0, 2900.0)	(34.0, 5390.0)	(35.0, 9287.0)	(36.0, 17310.0)	(37.0, 80654.0)				
sample5282_S75_L001_R2_001	(26.0, 7.0)	(27.0, 33.0)	(28.0, 123.0)	(29.0, 312.0)	(30.0, 805.0)	(31.0, 1739.0)	(32.0, 3289.0)	(33.0, 5553.0)	(34.0, 9474.0)	(35.0, 16553.0)	(36.0, 32642.0)	(37.0, 47110.0)		
