Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
sample5278_S71_L001_R1_001	91.41455259929874	56.0	240.5259821321957	251	27.27272727272727	0.092121
sample5278_S71_L001_R2_001	85.42786118257509	55.0	220.2101692339423	242	18.181818181818183	0.092121
sample5279_S72_L001_R1_001	91.80671121388126	56.0	240.9487282195073	251	27.27272727272727	0.109846
sample5279_S72_L001_R2_001	87.43604682919724	54.0	217.77495766800794	237	27.27272727272727	0.109846
sample5280_S73_L001_R1_001	92.57926708109795	56.0	241.4285673734707	251	27.27272727272727	0.14091599999999999
sample5280_S73_L001_R2_001	88.36824775043289	54.0	227.84833517840414	251	27.27272727272727	0.14091599999999999
sample5281_S74_L001_R1_001	92.22854236034036	56.0	241.8694274879763	251	27.27272727272727	0.129744
sample5281_S74_L001_R2_001	87.02521889258848	54.0	228.4097761746208	251	18.181818181818183	0.129744
sample5282_S75_L001_R1_001	92.2245834750085	56.0	241.54976198571913	251	27.27272727272727	0.11764
sample5282_S75_L001_R2_001	87.11747704862292	54.0	227.6631927915675	251	18.181818181818183	0.11764
sample5428_S71_L001_R1_001	96.55808124381318	52.0	237.78383115526776	251	36.36363636363637	0.11011299999999999
sample5428_S71_L001_R2_001	98.13827613451636	51.0	228.2636836704113	251	36.36363636363637	0.11011299999999999
sample5429_S72_L001_R1_001	97.11394841155857	53.0	238.4502211753892	251	36.36363636363637	0.139256
sample5429_S72_L001_R2_001	98.4352559315218	51.0	226.3933834089734	247	36.36363636363637	0.139256
sample5430_S73_L001_R1_001	96.80361692202806	51.0	240.59283074383723	251	36.36363636363637	0.139345
sample5430_S73_L001_R2_001	98.14704510387887	51.0	233.92191323692992	251	36.36363636363637	0.139345
sample5431_S74_L001_R1_001	96.3580772505612	52.0	239.76784580849912	251	36.36363636363637	0.12919
sample5431_S74_L001_R2_001	97.83187553216193	51.0	230.95692391051938	251	36.36363636363637	0.12919
sample5432_S75_L001_R1_001	44.60431654676259	53.0	228.30935251798562	251	27.27272727272727	0.000278
sample5432_S75_L001_R2_001	58.63309352517986	52.0	209.75179856115108	237	36.36363636363637	0.000278
sample5926_S101_L001_R1_001	92.29103663010218	56.0	241.40362006334664	251	36.36363636363637	0.11176599999999999
sample5926_S101_L001_R2_001	87.69214251203407	55.0	217.60742980870748	232	18.181818181818183	0.11176599999999999
sample5927_S102_L001_R1_001	91.30543202693156	56.0	241.15878392419268	251	27.27272727272727	0.096244
sample5927_S102_L001_R2_001	87.61377332612942	55.0	217.28714517268608	232	18.181818181818183	0.096244
sample5928_S103_L001_R1_001	91.47823002571606	56.0	241.09125752514953	251	27.27272727272727	0.101493
sample5928_S103_L001_R2_001	88.9903737203551	55.0	219.08452799700473	232	27.27272727272727	0.101493
sample5929_S104_L001_R1_001	91.46547469916106	55.0	241.31526401700643	251	27.27272727272727	0.105372
sample5929_S104_L001_R2_001	90.0305584026117	54.0	216.4533747105493	232	27.27272727272727	0.105372
sample5930_S105_L001_R1_001	91.7534900775374	55.0	241.64132466440702	251	27.27272727272727	0.111817
sample5930_S105_L001_R2_001	91.85454805619896	54.0	215.68420723145854	232	27.27272727272727	0.111817
sample6076_S81_L001_R1_001	96.94368131868131	52.0	237.67681824754195	251	36.36363636363637	0.11065599999999999
sample6076_S81_L001_R2_001	98.12301185656449	51.0	226.7943175245807	247	36.36363636363637	0.11065599999999999
sample6077_S82_L001_R1_001	96.5959404289575	54.0	236.58978782128688	251	36.36363636363637	0.104346
sample6077_S82_L001_R2_001	98.37655492304448	53.0	225.15262683763632	242	36.36363636363637	0.104346
sample6078_S83_L001_R1_001	96.73005774006003	53.0	237.64816458410203	251	36.36363636363637	0.10027699999999999
sample6078_S83_L001_R2_001	98.456276115161	52.0	227.28233792395065	247	36.36363636363637	0.10027699999999999
sample6079_S84_L001_R1_001	96.73605685158314	53.0	236.35550842727983	251	36.36363636363637	0.10750799999999999
sample6079_S84_L001_R2_001	98.26896603043494	52.0	223.5160918257246	242	36.36363636363637	0.10750799999999999
sample6080_S85_L001_R1_001	96.73702892156376	53.0	237.2642104323858	251	36.36363636363637	0.10085899999999999
sample6080_S85_L001_R2_001	98.18161988518625	51.0	220.42825132115132	237	36.36363636363637	0.10085899999999999
sample6285_S140_L001_R1_001	96.2168646497747	55.0	241.401954473638	251	36.36363636363637	0.034178
sample6285_S140_L001_R2_001	93.01890104745743	54.0	224.321815202762	247	36.36363636363637	0.034178
sample6286_S141_L001_R1_001	91.07349872478554	55.0	234.13378159054022	251	36.36363636363637	0.008626
sample6286_S141_L001_R2_001	86.38998376999768	55.0	220.3147461163923	242	36.36363636363637	0.008626
sample6287_S142_L001_R1_001	88.76868846481099	56.0	232.24577610307523	251	36.36363636363637	0.008227
sample6287_S142_L001_R2_001	81.42700863012033	55.0	216.233013249058	237	36.36363636363637	0.008227
sample6288_S143_L001_R1_001	93.44262295081967	55.0	234.54651452488912	251	36.36363636363637	0.020069
sample6288_S143_L001_R2_001	88.15087946584285	54.0	220.14071453485474	242	36.36363636363637	0.020069
sample6289_S144_L001_R1_001	90.34950443401148	55.0	239.40062597809077	251	36.36363636363637	0.0076679999999999995
sample6289_S144_L001_R2_001	85.641627543036	54.0	219.63901930099112	237	36.36363636363637	0.0076679999999999995
sample6290_S145_L001_R1_001	97.30566911774966	55.0	242.9874143632533	251	36.36363636363637	0.071669
sample6290_S145_L001_R2_001	95.02992925811718	54.0	227.20501192984415	247	36.36363636363637	0.071669
sample6291_S146_L001_R1_001	93.26405827124194	54.0	239.9730695980487	251	36.36363636363637	0.029928999999999997
sample6291_S146_L001_R2_001	89.46506732600488	53.0	223.65698820541948	247	36.36363636363637	0.029928999999999997
sample6292_S147_L001_R1_001	96.82879240226616	55.0	242.2906744399257	251	36.36363636363637	0.042539
sample6292_S147_L001_R2_001	93.92087261101577	54.0	226.22179646912247	247	36.36363636363637	0.042539
sample6293_S148_L001_R1_001	96.7923679995504	53.0	242.51541293168853	251	36.36363636363637	0.071174
sample6293_S148_L001_R2_001	94.86469778289825	53.0	226.29302835305026	247	36.36363636363637	0.071174
sample6294_S149_L001_R1_001	96.17862269369463	54.0	241.97491509995447	251	36.36363636363637	0.057125999999999996
sample6294_S149_L001_R2_001	93.02419213668033	54.0	226.91793579105837	247	36.36363636363637	0.057125999999999996
sample6615_S140_L001_R1_001	92.7007299270073	48.0	240.5896188158962	251	36.36363636363637	0.001233
sample6615_S140_L001_R2_001	92.61962692619628	47.0	223.06082725060827	242	36.36363636363637	0.001233
sample6616_S141_L001_R1_001	65.38461538461539	45.0	147.79615384615386	107	45.45454545454545	0.00026
sample6616_S141_L001_R2_001	70.0	43.0	138.68846153846152	107	45.45454545454545	0.00026
sample6617_S142_L001_R1_001	93.83825417201541	52.0	239.5421480530595	251	36.36363636363637	0.002337
sample6617_S142_L001_R2_001	93.6670945656825	51.0	224.4150620453573	242	36.36363636363637	0.002337
sample6618_S143_L001_R1_001	93.16608996539793	48.0	236.2750865051903	251	36.36363636363637	0.002312
sample6618_S143_L001_R2_001	92.43079584775087	47.0	219.18209342560553	232	36.36363636363637	0.002312
sample6619_S144_L001_R1_001	92.44264507422402	51.0	238.03711201079622	251	36.36363636363637	0.001482
sample6619_S144_L001_R2_001	92.44264507422402	50.0	220.88191632928476	237	36.36363636363637	0.001482
