Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
sample12835_S50_L001_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.20028612303290413)	(30, 0.8583690987124463)	(35, 0.8583690987124463)	(40, 0.8583690987124463)	(45, 0.8583690987124463)	(50, 0.8583690987124463)	(55, 0.8583690987124463)	(60, 0.8583690987124463)	(65, 0.8583690987124463)	(70, 0.8583690987124463)	(75, 0.8583690987124463)	(80, 0.8583690987124463)	(85, 0.8583690987124463)	(90, 0.8583690987124463)	(95, 0.8583690987124463)	(100, 0.8583690987124463)	(105, 0.8583690987124463)	(110, 0.8583690987124463)	(115, 0.8583690987124463)	(120, 0.8583690987124463)	(125, 0.8583690987124463)	(130, 0.915593705293276)	(135, 1.0014306151645207)	(140, 1.0014306151645207)	(145, 1.0014306151645207)	(150, 1.0014306151645207)	(155, 1.0014306151645207)	(160, 1.0014306151645207)	(165, 1.0014306151645207)	(170, 1.0014306151645207)	(175, 1.0014306151645207)	(180, 1.0014306151645207)	(185, 1.0014306151645207)	(190, 1.0014306151645207)	(195, 1.0014306151645207)	(200, 1.0014306151645207)	(205, 1.0014306151645207)	(210, 1.0014306151645207)	(215, 1.0014306151645207)	(220, 1.0014306151645207)	(225, 1.0014306151645207)	(230, 1.0014306151645207)	(235, 1.0014306151645207)
sample12835_S50_L001_R1_001 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.5722460658082976)	(45, 0.5722460658082976)	(50, 1.5164520743919885)	(55, 1.5736766809728182)	(60, 1.5736766809728182)	(65, 1.5736766809728182)	(70, 1.5736766809728182)	(75, 1.5736766809728182)	(80, 1.602288984263233)	(85, 1.7167381974248925)	(90, 2.203147353361946)	(95, 2.3175965665236054)	(100, 2.432045779685265)	(105, 2.432045779685265)	(110, 2.432045779685265)	(115, 2.432045779685265)	(120, 2.432045779685265)	(125, 2.432045779685265)	(130, 2.432045779685265)	(135, 2.432045779685265)	(140, 2.6323319027181684)	(145, 2.7181688125894135)	(150, 2.7181688125894135)	(155, 2.7181688125894135)	(160, 2.7181688125894135)	(165, 2.8612303290414878)	(170, 2.9470672389127324)	(175, 3.004291845493562)	(180, 3.004291845493562)	(185, 3.004291845493562)	(190, 3.004291845493562)	(195, 3.0901287553648067)	(200, 3.1473533619456364)	(205, 3.1473533619456364)	(210, 3.1473533619456364)	(215, 3.1473533619456364)	(220, 3.1473533619456364)	(225, 3.1473533619456364)	(230, 3.1473533619456364)	(235, 3.1473533619456364)
sample12835_S50_L001_R1_001 - polyg	(1, 0.1430615164520744)	(2, 0.1430615164520744)	(3, 0.1430615164520744)	(4, 0.1430615164520744)	(5, 0.1430615164520744)	(6, 0.1430615164520744)	(7, 0.1430615164520744)	(8, 0.1430615164520744)	(9, 0.1430615164520744)	(10, 0.1430615164520744)	(15, 0.1430615164520744)	(20, 0.1430615164520744)	(25, 0.1430615164520744)	(30, 0.1430615164520744)	(35, 0.1430615164520744)	(40, 0.1430615164520744)	(45, 0.1430615164520744)	(50, 0.1430615164520744)	(55, 0.1430615164520744)	(60, 0.1430615164520744)	(65, 0.1430615164520744)	(70, 0.1430615164520744)	(75, 0.1430615164520744)	(80, 0.1430615164520744)	(85, 0.1430615164520744)	(90, 0.1430615164520744)	(95, 0.1430615164520744)	(100, 0.1430615164520744)	(105, 0.1430615164520744)	(110, 0.1430615164520744)	(115, 0.1430615164520744)	(120, 0.1430615164520744)	(125, 0.1430615164520744)	(130, 0.1430615164520744)	(135, 0.1430615164520744)	(140, 0.1430615164520744)	(145, 0.1430615164520744)	(150, 0.1430615164520744)	(155, 0.1430615164520744)	(160, 0.1430615164520744)	(165, 0.1430615164520744)	(170, 0.1430615164520744)	(175, 0.1430615164520744)	(180, 0.1430615164520744)	(185, 0.1430615164520744)	(190, 0.1430615164520744)	(195, 0.1430615164520744)	(200, 0.1430615164520744)	(205, 0.1430615164520744)	(210, 0.1430615164520744)	(215, 0.1430615164520744)	(220, 0.1430615164520744)	(225, 0.1430615164520744)	(230, 0.1430615164520744)	(235, 0.1430615164520744)
sample12835_S50_L001_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.5150214592274678)	(35, 1.0014306151645207)	(40, 1.0014306151645207)	(45, 1.0014306151645207)	(50, 1.0014306151645207)	(55, 1.0014306151645207)	(60, 1.0014306151645207)	(65, 1.0014306151645207)	(70, 1.0014306151645207)	(75, 1.0014306151645207)	(80, 1.0014306151645207)	(85, 1.0014306151645207)	(90, 1.0014306151645207)	(95, 1.0014306151645207)	(100, 1.0014306151645207)	(105, 1.0014306151645207)	(110, 1.0014306151645207)	(115, 1.0014306151645207)	(120, 1.0014306151645207)	(125, 1.0014306151645207)	(130, 1.0014306151645207)	(135, 1.0014306151645207)	(140, 1.0014306151645207)	(145, 1.0014306151645207)	(150, 1.0014306151645207)	(155, 1.0014306151645207)	(160, 1.0014306151645207)	(165, 1.0014306151645207)	(170, 1.0014306151645207)	(175, 1.0014306151645207)	(180, 1.0014306151645207)	(185, 1.0014306151645207)	(190, 1.0014306151645207)	(195, 1.0014306151645207)	(200, 1.0014306151645207)	(205, 1.0014306151645207)	(210, 1.0014306151645207)	(215, 1.0014306151645207)	(220, 1.0014306151645207)	(225, 1.0014306151645207)	(230, 1.0014306151645207)	(235, 1.0014306151645207)
sample12836_S51_L001_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0015113730824454015)	(30, 0.06549283357263407)	(35, 0.15113730824454016)	(40, 0.15113730824454016)	(45, 0.15567142749187637)	(50, 0.1597017557117308)	(55, 0.16725862112395778)	(60, 0.1728003224262576)	(65, 0.17481548653618478)	(70, 0.1788458147560392)	(75, 0.1788458147560392)	(80, 0.1808609788659664)	(85, 0.18489130708582083)	(90, 0.1864026801682662)	(95, 0.1934557545530114)	(100, 0.2670092445653543)	(105, 0.5385526083780448)	(110, 0.5410715635154538)	(115, 0.5466132648177536)	(120, 0.5466132648177536)	(125, 0.5576966674223531)	(130, 0.5642459507796167)	(135, 0.5667649059170257)	(140, 0.5687800700269529)	(145, 0.5778483085216253)	(150, 0.5793596816040706)	(155, 0.5813748457139979)	(160, 0.5934658303735612)	(165, 0.6020302778407517)	(170, 0.6090833522254969)	(175, 0.6166402176377239)	(180, 0.6287312022972871)	(185, 0.659462454973677)	(190, 0.6599662460011587)	(195, 0.6624852011385677)	(200, 0.6650041562759768)	(205, 0.6650041562759768)	(210, 0.6650041562759768)	(215, 0.6650041562759768)	(220, 0.6650041562759768)	(225, 0.6650041562759768)	(230, 0.6650041562759768)	(235, 0.6650041562759768)
sample12836_S51_L001_R1_001 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.010075820549636011)	(45, 0.010579611577117811)	(50, 0.04131086425350765)	(55, 0.04282223733595305)	(60, 0.04282223733595305)	(65, 0.04282223733595305)	(70, 0.04282223733595305)	(75, 0.043829819390916645)	(80, 0.045341192473362046)	(85, 0.045341192473362046)	(90, 0.05289805788558906)	(95, 0.06952316179248849)	(100, 0.12443638378800474)	(105, 0.12594775687045015)	(110, 0.12796292098037734)	(115, 0.12947429406282274)	(120, 0.13350462228267715)	(125, 0.13451220433764077)	(130, 0.13602357742008614)	(135, 0.13854253255749516)	(140, 0.13904632358497696)	(145, 0.14206906974986774)	(150, 0.151641099272022)	(155, 0.15617521851935817)	(160, 0.15718280057432177)	(165, 0.16322829290410337)	(170, 0.34912718204488774)	(175, 0.3657522859517872)	(180, 0.3677674500617144)	(185, 0.3677674500617144)	(190, 0.3758281065014232)	(195, 0.3843925539686138)	(200, 0.38741530013350467)	(205, 0.38791909116098644)	(210, 0.3964835386281771)	(215, 0.39799491171062246)	(220, 0.39799491171062246)	(225, 0.40655935917781305)	(230, 0.40907831431522207)	(235, 0.4131086425350764)
sample12836_S51_L001_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.024685760346608226)	(35, 0.05995113227033426)	(40, 0.060454923297816064)	(45, 0.06851557973752487)	(50, 0.07355349001234288)	(55, 0.07808760925967909)	(60, 0.08060656439708809)	(65, 0.0816141464520517)	(70, 0.0861482656993879)	(75, 0.0881634298093151)	(80, 0.0881634298093151)	(85, 0.0881634298093151)	(90, 0.0881634298093151)	(95, 0.0881634298093151)	(100, 0.14358044283231317)	(105, 0.3526537192372604)	(110, 0.3556764654021512)	(115, 0.358699211567042)	(120, 0.3602105846494874)	(125, 0.36424091286934174)	(130, 0.3677674500617144)	(135, 0.3677674500617144)	(140, 0.3702864051991234)	(145, 0.38136980780372304)	(150, 0.3828811808861684)	(155, 0.3828811808861684)	(160, 0.3995062847930678)	(165, 0.40353661301292226)	(170, 0.40555177712284946)	(175, 0.4131086425350764)	(180, 0.4277185823320487)	(185, 0.47608252097030157)	(190, 0.4780976850802287)	(195, 0.48212801330008315)	(200, 0.4836393863825285)	(205, 0.4836393863825285)	(210, 0.4836393863825285)	(215, 0.48414317741001034)	(220, 0.4861583415199375)	(225, 0.4861583415199375)	(230, 0.4861583415199375)	(235, 0.4861583415199375)
sample12836_S51_L001_R2_001 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.02518955137409003)	(105, 0.06952316179248846)	(110, 0.07053074384745207)	(115, 0.07053074384745207)	(120, 0.07254590795737928)	(125, 0.07556865412227008)	(130, 0.07556865412227008)	(135, 0.07859140028716088)	(140, 0.0831255195344971)	(145, 0.0831255195344971)	(150, 0.0841331015894607)	(155, 0.0856444746719061)	(160, 0.0856444746719061)	(165, 0.0861482656993879)	(170, 0.11184160810095971)	(175, 0.22166805209199225)	(180, 0.22771354442177386)	(185, 0.23124008161414644)	(190, 0.23426282777903723)	(195, 0.23426282777903723)	(200, 0.23678178291644625)	(205, 0.23778936497140984)	(210, 0.23980452908133704)	(215, 0.24181969319126426)	(220, 0.24181969319126426)	(225, 0.24181969319126426)	(230, 0.24433864832867327)	(235, 0.24433864832867327)
sample12837_S52_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.14482627199390202)	(165, 0.2032649431493362)	(170, 0.2032649431493362)	(175, 0.2032649431493362)	(180, 0.2032649431493362)	(185, 0.2032649431493362)	(190, 0.2032649431493362)	(195, 0.2032649431493362)	(200, 0.2032649431493362)	(205, 0.2032649431493362)	(210, 0.2032649431493362)	(215, 0.2032649431493362)	(220, 0.2032649431493362)	(225, 0.2032649431493362)	(230, 0.2032649431493362)	(235, 0.2032649431493362)
sample12838_S53_L001_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.005229213874847481)	(30, 0.02440299808262158)	(35, 0.026146069374237406)	(40, 0.026146069374237406)	(45, 0.026146069374237406)	(50, 0.026146069374237406)	(55, 0.026146069374237406)	(60, 0.026146069374237406)	(65, 0.026146069374237406)	(70, 0.026146069374237406)	(75, 0.026146069374237406)	(80, 0.026146069374237406)	(85, 0.026146069374237406)	(90, 0.026146069374237406)	(95, 0.1621056301202719)	(100, 0.3486142583231654)	(105, 0.3486142583231654)	(110, 0.3486142583231654)	(115, 0.3486142583231654)	(120, 0.3486142583231654)	(125, 0.3486142583231654)	(130, 0.3486142583231654)	(135, 0.3538434721980129)	(140, 0.36604497123932367)	(145, 0.36604497123932367)	(150, 0.36604497123932367)	(155, 0.36604497123932367)	(160, 0.3747603276974028)	(165, 0.3747603276974028)	(170, 0.3747603276974028)	(175, 0.3747603276974028)	(180, 0.37650339898901863)	(185, 0.38347568415548194)	(190, 0.38347568415548194)	(195, 0.38347568415548194)	(200, 0.38347568415548194)	(205, 0.38347568415548194)	(210, 0.38347568415548194)	(215, 0.38347568415548194)	(220, 0.38347568415548194)	(225, 0.38347568415548194)	(230, 0.38521875544709777)	(235, 0.3921910406135611)
