Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
sample12835_S50_L001_R1_001	(1, 5.293276108726753)	(2, 5.293276108726753)	(3, 5.293276108726753)	(4, 5.293276108726753)	(5, 5.293276108726753)	(6, 5.293276108726753)	(7, 5.293276108726753)	(8, 5.293276108726753)	(9, 5.293276108726753)	(10, 5.293276108726753)	(15, 5.293276108726753)	(20, 5.293276108726753)	(25, 5.293276108726753)	(30, 5.293276108726753)	(35, 1.1054675829100686)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
sample12835_S50_L001_R2_001	(1, 5.293276108726753)	(2, 5.293276108726753)	(3, 5.293276108726753)	(4, 5.293276108726753)	(5, 5.293276108726753)	(6, 5.293276108726753)	(7, 5.293276108726753)	(8, 5.293276108726753)	(9, 5.293276108726753)	(10, 5.293276108726753)	(15, 5.293276108726753)	(20, 5.293276108726753)	(25, 5.293276108726753)	(30, 5.293276108726753)	(35, 1.1067903081064911)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
sample12836_S51_L001_R1_001	(1, 6.846520063477669)	(2, 6.846520063477669)	(3, 6.846520063477669)	(4, 6.846520063477669)	(5, 6.846520063477669)	(6, 6.846520063477669)	(7, 6.846520063477669)	(8, 6.846520063477669)	(9, 6.846520063477669)	(10, 6.846520063477669)	(15, 6.846520063477669)	(20, 6.846520063477669)	(25, 6.846520063477669)	(30, 6.846520063477669)	(35, 1.448742344532037)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
sample12836_S51_L001_R2_001	(1, 6.866671704576942)	(2, 6.866671704576942)	(3, 6.866671704576942)	(4, 6.866671704576942)	(5, 6.866671704576942)	(6, 6.866671704576942)	(7, 6.866671704576942)	(8, 6.866671704576942)	(9, 6.866671704576942)	(10, 6.866671704576942)	(15, 6.866671704576942)	(20, 6.866671704576942)	(25, 6.866671704576942)	(30, 6.866671704576942)	(35, 1.4542585573627171)	(40, 0.0016229199575876919)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0016423417603713883)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0011044781064827342)	(90, 0.0022097738296485356)	(95, 0.01326985917361952)	(100, 0.08270437523495561)	(105, 0.09544797383602599)	(110, 0.0786970024873874)	(115, 0.07271392365743977)	(120, 0.08054772452678212)	(125, 0.047064528320723366)	(130, 0.04574957824607555)	(135, 0.035814566500487074)	(140, 0.043184729879514605)	(145, 0.03702386224219414)	(150, 0.04286108649221962)	(155, 0.026175916702416185)	(160, 0.03019056876086124)	(165, 0.03477746124532909)	(170, 0.04085088683561603)	(175, 0.04937126442800398)	(180, 0.028796168593989178)	(185, 0.02799660929954039)	(190, 0.03036437246963563)	(195, 0.03743157041034359)	(200, 0.034358625967312456)	(205, 0.028122143844765763)	(210, 0.027346527381687205)	(215, 0.02344336084021005)	(220, 0.023451057642699686)	(225, 0.04535750314765431)	(230, 0.025819575933025585)	(235, 0.01652164335279216)	(240, 0.024719513264809777)	(245, 0.046512052093498346)	(250, 0.0666111573688593)
sample12837_S52_L001_R1_001	(1, 0.021173431578055856)	(2, 0.021173431578055856)	(3, 0.021173431578055856)	(4, 0.021173431578055856)	(5, 0.021173431578055856)	(6, 0.021173431578055856)	(7, 0.021173431578055856)	(8, 0.021173431578055856)	(9, 0.021173431578055856)	(10, 0.021173431578055856)	(15, 0.021173431578055856)	(20, 0.021173431578055856)	(25, 0.021173431578055856)	(30, 0.021173431578055856)	(35, 0.004235403739861502)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
sample12837_S52_L001_R2_001	(1, 0.021173431578055856)	(2, 0.021173431578055856)	(3, 0.021173431578055856)	(4, 0.021173431578055856)	(5, 0.021173431578055856)	(6, 0.021173431578055856)	(7, 0.021173431578055856)	(8, 0.021173431578055856)	(9, 0.021173431578055856)	(10, 0.021173431578055856)	(15, 0.021173431578055856)	(20, 0.021173431578055856)	(25, 0.021173431578055856)	(30, 0.021173431578055856)	(35, 0.004235403739861502)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.004676512851907592)	(100, 0.04602423090527105)	(105, 0.045598857897764807)	(110, 0.041763439943747205)	(115, 0.03238811185831053)	(120, 0.034946557337924684)	(125, 0.013637913399249914)	(130, 0.01747387442677168)	(135, 0.011081843677808182)	(140, 0.013213418012872425)	(145, 0.011082646706535778)	(150, 0.01321398124467178)	(155, 0.007246376811594203)	(160, 0.007672994044904066)	(165, 0.00895205534927936)	(170, 0.013215107852331827)	(175, 0.016200338501809748)	(180, 0.007248261483164847)	(185, 0.005543473625858172)	(190, 0.006822736770286982)	(195, 0.009807684107287535)	(200, 0.0093812630591446)	(205, 0.005969894674001108)	(210, 0.008101999914715791)	(215, 0.003411368385143491)	(220, 0.002984947337000554)	(225, 0.014072194622715932)	(230, 0.010235327231941045)	(235, 0.0025592356416217024)	(240, 0.004692032076437468)	(245, 0.01194641180988139)	(250, 0.0042927666881305004)
sample12838_S53_L001_R1_001	(1, 0.20916855499389925)	(2, 0.20916855499389925)	(3, 0.20916855499389925)	(4, 0.20916855499389925)	(5, 0.20916855499389925)	(6, 0.20916855499389925)	(7, 0.20916855499389925)	(8, 0.20916855499389925)	(9, 0.20916855499389925)	(10, 0.20916855499389925)	(15, 0.20916855499389925)	(20, 0.20916855499389925)	(25, 0.20916855499389925)	(30, 0.20916855499389925)	(35, 0.041904562359226856)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
sample12838_S53_L001_R2_001	(1, 0.18302248561966183)	(2, 0.18302248561966183)	(3, 0.18302248561966183)	(4, 0.18302248561966183)	(5, 0.18302248561966183)	(6, 0.18302248561966183)	(7, 0.18302248561966183)	(8, 0.18302248561966183)	(9, 0.18302248561966183)	(10, 0.18302248561966183)	(15, 0.18302248561966183)	(20, 0.18302248561966183)	(25, 0.18302248561966183)	(30, 0.18302248561966183)	(35, 0.036658811207122284)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.003502258957027283)	(95, 0.012826150688947522)	(100, 0.0924468922108576)	(105, 0.0924468922108576)	(110, 0.0944138473642801)	(115, 0.07867975373237082)	(120, 0.09641683556010311)	(125, 0.04920097614736676)	(130, 0.049203881202149226)	(135, 0.03550996251726179)	(140, 0.049472621851067614)	(145, 0.0237520288191283)	(150, 0.03167689566422491)	(155, 0.005942359116569278)	(160, 0.01190641557359157)	(165, 0.01985466386054084)	(170, 0.03379990456497535)	(175, 0.047813527243749376)	(180, 0.015993922309522384)	(185, 0.003998800359892032)	(190, 0.007997600719784064)	(195, 0.02599220233929821)	(200, 0.02199340197940618)	(205, 0.01599520143956813)	(210, 0.013995801259622114)	(215, 0.0)	(220, 0.00599880023995201)	(225, 0.03999360102383619)	(230, 0.020009604610212905)	(235, 0.0)	(240, 0.010015624374023476)	(245, 0.014031711668370517)	(250, 0.0)
sample12839_S54_L001_R1_001	(1, 2.697932425617751)	(2, 2.697932425617751)	(3, 2.697932425617751)	(4, 2.697932425617751)	(5, 2.697932425617751)	(6, 2.697932425617751)	(7, 2.697932425617751)	(8, 2.697932425617751)	(9, 2.697932425617751)	(10, 2.697932425617751)	(15, 2.697932425617751)	(20, 2.697932425617751)	(25, 2.697932425617751)	(30, 2.697932425617751)	(35, 0.5514895371611174)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 0.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 0.0)	(240, 0.0)	(245, 0.0)	(250, 0.0)
sample12839_S54_L001_R2_001	(1, 2.737154703871799)	(2, 2.737154703871799)	(3, 2.737154703871799)	(4, 2.737154703871799)	(5, 2.737154703871799)	(6, 2.737154703871799)	(7, 2.737154703871799)	(8, 2.737154703871799)	(9, 2.737154703871799)	(10, 2.737154703871799)	(15, 2.737154703871799)	(20, 2.737154703871799)	(25, 2.737154703871799)	(30, 2.737154703871799)	(35, 0.5596865297143708)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.008770083491194836)	(100, 0.07368291784354661)	(105, 0.06450978705626483)	(110, 0.05223729251040137)	(115, 0.0461013615268771)	(120, 0.057828716264018844)	(125, 0.02215207398792712)	(130, 0.023386774163768963)	(135, 0.016026431283593864)	(140, 0.02224996600699638)	(145, 0.01669056921022699)	(150, 0.02164047139129682)	(155, 0.011758153351073705)	(160, 0.016110343460129996)	(165, 0.016122331289104404)	(170, 0.024839474893500753)	(175, 0.028625301032377704)	(180, 0.013767381318915129)	(185, 0.010013392913021167)	(190, 0.010639962447191363)	(195, 0.01627695871286819)	(200, 0.018156888034610782)	(205, 0.013148832258468473)	(210, 0.013149655604257984)	(215, 0.00814133355043556)	(220, 0.008141792446921777)	(225, 0.02630524100611284)	(230, 0.013168621057252148)	(235, 0.006921460302279048)	(240, 0.012585344366485228)	(245, 0.023304737790206972)	(250, 0.006361120829490156)
