Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
sample12835_S50_L001_R1_001	(1, 31.493562231759658)	(2, 31.38769670958512)	(3, 31.628040057224606)	(4, 31.603719599427755)	(5, 31.569384835479255)	(6, 34.44062947067239)	(7, 34.437768240343345)	(8, 34.889842632331906)	(9, 34.34334763948498)	(10, 35.00572246065808)	(15, 34.71244635193133)	(20, 34.680400572246064)	(25, 34.01402002861231)	(30, 34.4271816881259)	(35, 35.40538101474268)	(40, 35.21993957703927)	(45, 35.242900302114805)	(50, 35.14712990936555)	(55, 35.06042296072508)	(60, 34.389984962818396)	(65, 34.080786686838124)	(70, 34.42239031770045)	(75, 34.237688992802454)	(80, 34.013030303030305)	(85, 33.876363636363635)	(90, 34.027878787878784)	(95, 34.50711031937745)	(100, 33.94831934250135)	(105, 33.62992366412214)	(110, 33.93435114503817)	(115, 33.8781679389313)	(120, 33.8054961832061)	(125, 33.6842748091603)	(130, 33.88885496183205)	(135, 33.28793893129772)	(140, 33.674503816793894)	(145, 33.40824427480916)	(150, 33.31786259541985)	(155, 33.653740458015264)	(160, 33.45007633587786)	(165, 33.40213740458015)	(170, 32.816708919859)	(175, 33.305504587155966)	(180, 33.26574923547401)	(185, 33.328746177370036)	(190, 32.82538226299694)	(195, 32.331498470948006)	(200, 32.43577185514047)	(205, 32.78039816232772)	(210, 32.002450229709034)	(215, 32.55130168453293)	(220, 32.32649310872894)	(225, 31.526493108728943)	(230, 31.130781010719755)	(235, 31.11836497900206)	(240, 31.026073619631905)	(245, 30.31322007038408)	(250, 23.53942652329749)
sample12835_S50_L001_R2_001	(1, 27.17882689556509)	(2, 27.829756795422032)	(3, 27.59799713876967)	(4, 28.011444921316166)	(5, 28.83118741058655)	(6, 31.167381974248926)	(7, 29.605150214592275)	(8, 29.175965665236053)	(9, 30.07868383404864)	(10, 29.822889842632332)	(15, 29.375107296137333)	(20, 30.20114449213162)	(25, 30.10758226037196)	(30, 29.89728183118741)	(35, 31.74365627144029)	(40, 31.02783661119516)	(45, 31.484417549167933)	(50, 31.1213313161876)	(55, 30.891074130105903)	(60, 31.339565855223952)	(65, 31.4630303030303)	(70, 31.20242424242424)	(75, 31.103636363636365)	(80, 31.290303030303033)	(85, 31.009696969696968)	(90, 30.529090909090904)	(95, 30.926689349688292)	(100, 30.866631854721838)	(105, 30.748012232415903)	(110, 30.551070336391433)	(115, 31.104587155963305)	(120, 30.740978593272168)	(125, 30.732415902140673)	(130, 30.10118296640769)	(135, 30.841041347626337)	(140, 31.451148545176114)	(145, 30.547626339969373)	(150, 30.23093415007657)	(155, 29.81960183767228)	(160, 30.04104134762634)	(165, 29.702603369065848)	(170, 29.410448707710522)	(175, 29.887423312883435)	(180, 29.875460122699387)	(185, 29.28128834355828)	(190, 29.13711656441718)	(195, 28.873006134969323)	(200, 28.24970408903716)	(205, 28.32043010752688)	(210, 26.949615975422425)	(215, 27.57235023041475)	(220, 27.955760368663597)	(225, 25.739170506912444)	(230, 24.210752688172043)	(235, 23.345605577218485)	(240, 26.002153846153846)	(245, 23.852489926158363)	(250, 15.994350282485875)
sample12836_S51_L001_R1_001	(1, 31.342225244968386)	(2, 31.32905110959974)	(3, 31.433361041839845)	(4, 31.441497266933677)	(5, 31.574271392226503)	(6, 34.48215320285146)	(7, 34.60661477619084)	(8, 34.82125494344946)	(9, 34.62928537242752)	(10, 34.8595581752689)	(15, 34.745535152018945)	(20, 34.49095947001184)	(25, 34.17528905010202)	(30, 34.242328522129014)	(35, 36.06215610167304)	(40, 36.23735672990292)	(45, 36.454848970090026)	(50, 36.39984500825979)	(55, 36.51108569513049)	(60, 36.326613519547415)	(65, 36.13396216123949)	(70, 36.40649417461342)	(75, 36.24914046106623)	(80, 36.15165204810615)	(85, 35.9510041474713)	(90, 36.131735715663964)	(95, 36.3531565150273)	(100, 36.06907076926403)	(105, 35.92741772694927)	(110, 36.04426598563956)	(115, 36.006370466996856)	(120, 35.97398586061861)	(125, 35.894172736142046)	(130, 36.030519385306135)	(135, 35.522647495382)	(140, 35.9876049784677)	(145, 35.7136852436714)	(150, 35.657134726288085)	(155, 36.118687737868285)	(160, 35.89271854870286)	(165, 35.70784359537951)	(170, 34.96174820910346)	(175, 35.56519884422509)	(180, 35.62969958647831)	(185, 35.44734812524468)	(190, 35.22893291025839)	(195, 34.97542421240102)	(200, 35.0368174065831)	(205, 35.36390951187955)	(210, 34.64457884107018)	(215, 35.04246862211177)	(220, 34.68208575553419)	(225, 34.06770267705396)	(230, 33.84385444683743)	(235, 33.49391266130682)	(240, 33.720876362547855)	(245, 33.105243786800216)	(250, 29.97112779283081)
sample12836_S51_L001_R2_001	(1, 29.162397037708757)	(2, 29.40376331897529)	(3, 29.34557545530114)	(4, 29.80440313358019)	(5, 29.65387037456863)	(6, 32.95919292677397)	(7, 32.76971712133807)	(8, 32.82271593742915)	(9, 32.236328370991714)	(10, 33.03017204463589)	(15, 32.548638504748226)	(20, 33.13058767223356)	(25, 33.10658706768432)	(30, 32.9571273835613)	(35, 34.8071414364858)	(40, 35.04853740402728)	(45, 34.82461731083102)	(50, 35.0746981171587)	(55, 34.97013086283705)	(60, 35.14249942203638)	(65, 35.261001899327326)	(70, 35.241758643600484)	(75, 34.74373145126408)	(80, 35.15070126534959)	(85, 35.23429487582455)	(90, 34.93209117347929)	(95, 34.68066943874532)	(100, 34.74055792984156)	(105, 34.11572887723872)	(110, 34.40579405585039)	(115, 33.72425737274404)	(120, 34.5658977026297)	(125, 34.242419872387934)	(130, 34.306602442311764)	(135, 33.52490956219049)	(140, 34.47755407376395)	(145, 33.823016919515055)	(150, 33.42725283681945)	(155, 32.802365375651206)	(160, 32.96924735304179)	(165, 33.21398265296895)	(170, 32.87315976760622)	(175, 33.06298035823077)	(180, 32.90919502564988)	(185, 33.14105991731773)	(190, 32.08588988794846)	(195, 32.06183458346619)	(200, 31.02066184998708)	(205, 31.03383371075821)	(210, 30.57765624532083)	(215, 30.833035434170245)	(220, 31.477949896673646)	(225, 29.122898704686754)	(230, 28.46218443718355)	(235, 26.599182318004033)	(240, 29.233646505767194)	(245, 26.570056428681568)	(250, 13.557701915070774)
sample12837_S52_L001_R1_001	(1, 33.487327701200535)	(2, 33.439518092697284)	(3, 33.54426305871392)	(4, 33.600986681911536)	(5, 33.77003535963073)	(6, 36.85820152872176)	(7, 37.011475999915305)	(8, 37.21681593935929)	(9, 36.98560206652692)	(10, 37.26670477884351)	(15, 37.134574096423805)	(20, 37.062749581824725)	(25, 36.91532744711935)	(30, 36.904202926168246)	(35, 36.78928639114811)	(40, 36.452258624706154)	(45, 36.67337724221182)	(50, 36.985501598932636)	(55, 36.95962218598446)	(60, 36.62045062905205)	(65, 36.445961285950276)	(70, 36.67040111821763)	(75, 36.35480533414163)	(80, 36.028351159589114)	(85, 36.312875299476744)	(90, 36.39121201351757)	(95, 36.62324575820317)	(100, 36.33955416195467)	(105, 36.136650118253684)	(110, 36.48123921334668)	(115, 36.31112554009231)	(120, 36.08338020966504)	(125, 35.66501747208728)	(130, 36.24467335470499)	(135, 35.79700088228617)	(140, 36.37105229510293)	(145, 36.03181800644141)	(150, 36.16650754411389)	(155, 36.48973233313443)	(160, 36.11740857846484)	(165, 36.18213066800188)	(170, 35.476253196930955)	(175, 36.021222824325214)	(180, 36.096142693198345)	(185, 35.99144672323369)	(190, 35.66947512045367)	(195, 35.63431970323626)	(200, 35.714339316931735)	(205, 36.08152048778408)	(210, 34.96536050825055)	(215, 35.65804374706861)	(220, 35.48085106382979)	(225, 34.87322304182833)	(230, 34.19162172867025)	(235, 34.118167665436864)	(240, 34.5524898168092)	(245, 33.91105536982702)	(250, 25.593239701632953)
sample12837_S52_L001_R2_001	(1, 30.90044252471998)	(2, 31.910309343835355)	(3, 31.312286942344745)	(4, 32.063901416502574)	(5, 31.90359736602511)	(6, 35.0242224057253)	(7, 34.85703698998497)	(8, 35.064007283660466)	(9, 35.09021999195409)	(10, 35.13933388384255)	(15, 35.38180778758813)	(20, 35.01823455927502)	(25, 35.4654004954583)	(30, 35.45585127781659)	(35, 35.06368032953782)	(40, 35.32878523772636)	(45, 34.65912999279935)	(50, 34.40866195095091)	(55, 34.757274768096906)	(60, 34.88211039746912)	(65, 35.17886778067222)	(70, 34.99200711608107)	(75, 35.32521783622711)	(80, 34.931545727962046)	(85, 35.04887284919299)	(90, 35.28386366549426)	(95, 35.09881364973025)	(100, 34.716461773072965)	(105, 34.90121241823102)	(110, 34.81721250346253)	(115, 34.95219871456881)	(120, 34.820379400183185)	(125, 34.046138765768845)	(130, 35.10755431700947)	(135, 34.94830895333788)	(140, 35.40054132389924)	(145, 34.390708092121905)	(150, 33.90000426257459)	(155, 34.03591219096334)	(160, 34.06577401377042)	(165, 33.76954991170438)	(170, 33.7689146559809)	(175, 34.19088853455493)	(180, 33.87448665748256)	(185, 33.30216195471409)	(190, 33.74230096797578)	(195, 33.05126433840774)	(200, 33.04775915739201)	(205, 31.474470171847678)	(210, 32.122813526075646)	(215, 32.18015436441942)	(220, 32.12520574815573)	(225, 28.92060723651948)	(230, 28.483639773013238)	(235, 28.886617330290687)	(240, 30.83976283910595)	(245, 28.45782179850546)	(250, 25.674179008370896)
sample12838_S53_L001_R1_001	(1, 33.41302074254837)	(2, 33.35793968973331)	(3, 33.49529370751264)	(4, 33.54061356109465)	(5, 33.666114694090986)	(6, 36.77157050723375)	(7, 36.86883388530591)	(8, 37.086107721805824)	(9, 36.893846958340596)	(10, 37.12133519260938)	(15, 37.06440648422521)	(20, 36.95996165243158)	(25, 36.431113822555346)	(30, 36.57957120446226)	(35, 36.581873178514705)	(40, 36.22548694209101)	(45, 36.53033933716462)	(50, 36.5810204749629)	(55, 36.662911205671286)	(60, 36.33492223101973)	(65, 36.1229451705757)	(70, 36.38736124464645)	(75, 36.15548634040106)	(80, 35.97415907498249)	(85, 36.01971724372062)	(90, 36.13186809722036)	(95, 36.46606593826038)	(100, 36.078770969540095)	(105, 35.867390874975314)	(110, 36.25565870037527)	(115, 36.09826935574721)	(120, 36.12114418711808)	(125, 35.94483459429441)	(130, 36.08638728381275)	(135, 35.56584541190806)	(140, 36.17634719463756)	(145, 35.899457014746204)	(150, 35.80202703037942)	(155, 36.24011541140185)	(160, 36.0505235226948)	(165, 35.920401567014714)	(170, 35.0552691637467)	(175, 35.76219579936863)	(180, 35.95249773846618)	(185, 35.94431601165947)	(190, 35.6419137601769)	(195, 35.34700974972359)	(200, 35.3855462860589)	(205, 35.85489998994874)	(210, 34.988621972057494)	(215, 35.40173911880223)	(220, 34.954024122380176)	(225, 34.50392130574369)	(230, 34.1684630824063)	(235, 33.77277033155296)	(240, 34.13173435452988)	(245, 33.326489553375666)	(250, 30.271182929355707)
sample12838_S53_L001_R2_001	(1, 32.26119923304863)	(2, 30.966445877636396)	(3, 30.721718668293533)	(4, 31.148771134739413)	(5, 31.774010807042007)	(6, 35.02004531985358)	(7, 34.75065365173435)	(8, 35.04104932891755)	(9, 34.54558131427575)	(10, 34.5216838068677)	(15, 34.97143106153042)	(20, 34.88699668816455)	(25, 35.04734181628028)	(30, 34.75187380163849)	(35, 35.07589318356689)	(40, 34.848637792525324)	(45, 33.97113918127228)	(50, 34.229287576840676)	(55, 34.80406702308582)	(60, 34.15213048833932)	(65, 34.429634806919445)	(70, 34.04936222261052)	(75, 34.502109956875294)	(80, 34.5095333975313)	(85, 34.16993613860579)	(90, 34.58163905523147)	(95, 34.09341505846659)	(100, 33.730074744295834)	(105, 34.24606608969315)	(110, 33.88867033831629)	(115, 33.901695412032126)	(120, 34.185158520192054)	(125, 33.483336776843295)	(130, 33.69016493381959)	(135, 33.877813034001306)	(140, 34.326680778901775)	(145, 33.224856955255646)	(150, 32.68678631336191)	(155, 32.29204714271566)	(160, 32.8356901525522)	(165, 32.697643286990875)	(170, 31.911159847074508)	(175, 33.119555777941514)	(180, 32.57620876272104)	(185, 32.20275917224832)	(190, 32.275497350794765)	(195, 31.620033989803062)	(200, 32.38074577626712)	(205, 30.62033389983005)	(210, 30.640167949615112)	(215, 30.30402243054338)	(220, 31.54619076184763)	(225, 28.712359731833253)	(230, 27.126202336666648)	(235, 27.767290936404606)	(240, 29.908016515959837)	(245, 26.5933560008676)	(250, 22.91528357601059)
sample12839_S54_L001_R1_001	(1, 32.66302459797165)	(2, 32.62761248389085)	(3, 32.740012327001736)	(4, 32.75586933378159)	(5, 32.900179301843444)	(6, 35.93685213201098)	(7, 36.064968902336524)	(8, 36.28553818568947)	(9, 36.092760688070825)	(10, 36.32101193477896)	(15, 36.22890121589062)	(20, 36.17630974393456)	(25, 35.74482546086177)	(30, 35.83967053286266)	(35, 36.44567024046336)	(40, 36.40672364547088)	(45, 36.629757073276856)	(50, 36.83693584644648)	(55, 36.84020581484231)	(60, 36.544870723200646)	(65, 36.34598910443029)	(70, 36.612078112442326)	(75, 36.46822817123628)	(80, 36.346927411492565)	(85, 36.27709245738654)	(90, 36.33381117311137)	(95, 36.6854573900367)	(100, 36.347009193656916)	(105, 36.12226932465833)	(110, 36.482869703919846)	(115, 36.341400053011704)	(120, 36.44494768508504)	(125, 36.27779517568523)	(130, 36.16959733892093)	(135, 35.7846169757628)	(140, 36.46139740176424)	(145, 36.23925031600535)	(150, 36.114083127322814)	(155, 36.497010271060084)	(160, 36.2746784455906)	(165, 36.200208769249244)	(170, 35.3567758322499)	(175, 36.00939376470204)	(180, 36.12787512246736)	(185, 36.054772647500144)	(190, 35.707734150306365)	(195, 35.52494907450465)	(200, 35.72590678511853)	(205, 36.06665832681782)	(210, 35.1713905916457)	(215, 35.662584480963226)	(220, 35.36587731097695)	(225, 34.94645422794343)	(230, 34.48375830186594)	(235, 34.3357152091085)	(240, 34.51613184230315)	(245, 33.65673335345485)	(250, 28.206084716470475)
sample12839_S54_L001_R2_001	(1, 30.90917240992884)	(2, 30.947302067574384)	(3, 31.11859135989242)	(4, 30.76990530621393)	(5, 30.891410321062363)	(6, 34.03266655460301)	(7, 34.58012551129041)	(8, 34.815459180814706)	(9, 35.24410265030537)	(10, 34.892637418053454)	(15, 34.646018938757216)	(20, 34.73282344371603)	(25, 34.809166806746234)	(30, 34.64202947274052)	(35, 35.64638648910487)	(40, 35.680202445568)	(45, 35.093047576666116)	(50, 34.79229061553986)	(55, 35.01420099444056)	(60, 35.56501730103806)	(65, 35.279550173010385)	(70, 35.51294558210695)	(75, 35.17249050863533)	(80, 35.29913185012932)	(85, 35.168483465963845)	(90, 35.27243047449659)	(95, 35.313982740418965)	(100, 34.90950495056551)	(105, 35.157109702134214)	(110, 34.90869862211768)	(115, 35.20490939461126)	(120, 34.91321299093944)	(125, 34.98532422449122)	(130, 34.79766071531766)	(135, 35.33533988634291)	(140, 35.34326211677687)	(145, 34.87139244003713)	(150, 34.10787865996233)	(155, 34.18023376491669)	(160, 34.38840919320265)	(165, 33.97333478040887)	(170, 34.223337911007)	(175, 34.11235442863345)	(180, 34.719731554736924)	(185, 33.66917079789827)	(190, 33.75356595212017)	(195, 33.6227168430018)	(200, 33.3011001177742)	(205, 32.918051468286265)	(210, 31.76364044936306)	(215, 32.82749622298371)	(220, 32.95987975198848)	(225, 30.059566863708618)	(230, 29.128163111095212)	(235, 29.17555683162688)	(240, 31.67108202498191)	(245, 28.159531274381862)	(250, 24.16856970198149)
