Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample12835_S50_L001_R1_001	(1.0, 32.33190271816881)	(2.0, 5.150214592274678)	(3.0, 6.437768240343347)	(4.0, 3.4334763948497855)	(5.0, 5.7224606580829755)	(6.0, 2.575107296137339)	(7.0, 0.0)	(8.0, 5.7224606580829755)	(9.0, 1.2875536480686696)	('>10', 28.612303290414882)	('>50', 8.726752503576538)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12835_S50_L001_R2_001	(1.0, 60.65808297567954)	(2.0, 7.1530758226037205)	(3.0, 5.150214592274678)	(4.0, 3.4334763948497855)	(5.0, 5.7224606580829755)	(6.0, 2.575107296137339)	(7.0, 4.005722460658083)	(8.0, 4.57796852646638)	(9.0, 0.0)	('>10', 6.723891273247497)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12836_S51_L001_R1_001	(1.0, 6.949797224111438)	(2.0, 2.4484243935615506)	(3.0, 1.7909771026978007)	(4.0, 1.2594775687045014)	(5.0, 0.919418625154286)	(6.0, 0.785914002871609)	(7.0, 0.6876747525126577)	(8.0, 0.8665205672686969)	(9.0, 0.3854001360235774)	('>10', 8.76596387818333)	('>50', 3.9749112068314068)	('>100', 8.113554497594398)	('>500', 5.2066802690244085)	('>1k', 57.84528577546034)	('>5k', 0.0)	('>10k+', 0.0)
sample12836_S51_L001_R2_001	(1.0, 18.69820398498703)	(2.0, 3.783470616388322)	(3.0, 2.4257537973248695)	(4.0, 1.3400841331015896)	(5.0, 1.1461245875210964)	(6.0, 0.7556865412227008)	(7.0, 0.8287362402075619)	(8.0, 0.42318446308471247)	(9.0, 0.6574472908637498)	('>10', 8.556890601778383)	('>50', 2.181415148996196)	('>100', 16.1162749691428)	('>500', 24.383485730119148)	('>1k', 18.703241895261847)	('>5k', 0.0)	('>10k+', 0.0)
sample12837_S52_L001_R1_001	(1.0, 3.9573143619386393)	(2.0, 1.134895932583794)	(3.0, 0.7940036841770945)	(4.0, 0.7283660462851214)	(5.0, 0.6352029473416757)	(6.0, 0.6224988883948421)	(7.0, 0.7410701052319549)	(8.0, 0.5081623578733405)	(9.0, 0.3239535031442546)	('>10', 7.639374113362553)	('>50', 3.154841305130322)	('>100', 9.559804357492219)	('>500', 4.679328378750344)	('>1k', 9.386182218552161)	('>5k', 0.0)	('>10k+', 56.13500179974168)
sample12837_S52_L001_R2_001	(1.0, 15.568824239344469)	(2.0, 2.900760126193652)	(3.0, 2.1025217557009466)	(4.0, 1.4482627199390206)	(5.0, 1.2174723157382117)	(6.0, 1.2195896588960173)	(7.0, 1.0078553431154587)	(8.0, 0.7283660462851214)	(9.0, 0.7622435368100108)	('>10', 9.659319485909082)	('>50', 5.147261216625378)	('>100', 4.994812509263377)	('>500', 4.98846047978996)	('>1k', 48.254250566389295)	('>5k', 0.0)	('>10k+', 0.0)
sample12838_S53_L001_R1_001	(1.0, 7.042008018127942)	(2.0, 2.1091162628551507)	(3.0, 1.1765731218406832)	(4.0, 0.6972285166463308)	(5.0, 0.7843820812271222)	(6.0, 0.522921387484748)	(7.0, 0.6100749520655394)	(8.0, 0.4183371099877985)	(9.0, 0.7843820812271222)	('>10', 7.16402300854105)	('>50', 4.53198535820115)	('>100', 7.216315147289524)	('>500', 9.926791005752134)	('>1k', 57.015861948753695)	('>5k', 0.0)	('>10k+', 0.0)
sample12838_S53_L001_R2_001	(1.0, 22.503050374760328)	(2.0, 3.2944047411539135)	(3.0, 1.6210563012027193)	(4.0, 0.8715356458079135)	(5.0, 0.9151124280983093)	(6.0, 0.8889663587240718)	(7.0, 0.18302248561966183)	(8.0, 0.4880599616524316)	(9.0, 0.5490674568589855)	('>10', 11.260240543838243)	('>50', 13.892278194178143)	('>100', 43.53320550810528)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12839_S54_L001_R1_001	(1.0, 4.7514988513475656)	(2.0, 1.8266375301171065)	(3.0, 1.2355017650025213)	(4.0, 1.08701742589791)	(5.0, 0.5883341738107245)	(6.0, 0.6891914607497058)	(7.0, 0.2549448086513139)	(8.0, 0.3137782260323864)	(9.0, 0.30257186081694404)	('>10', 5.653611251190677)	('>50', 2.3757494256737828)	('>100', 5.939373564184456)	('>500', 7.687566537793467)	('>1k', 67.29422311873144)	('>5k', 0.0)	('>10k+', 0.0)
sample12839_S54_L001_R2_001	(1.0, 15.504006275564523)	(2.0, 3.2386395472628458)	(3.0, 1.6137165910237017)	(4.0, 0.7620328346500812)	(5.0, 0.6303580433686334)	(6.0, 0.5715246259875609)	(7.0, 0.5491118955566762)	(8.0, 0.3810164173250406)	(9.0, 0.45385779122541603)	('>10', 3.658878242841934)	('>50', 2.3225191909004317)	('>100', 41.382305149324814)	('>500', 28.932033394968343)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
