Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43
sample12835_S50_L001_R1_001	(35, 37.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 1.0)	(65, 0.0)	(70, 0.0)	(75, 1.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 2.0)	(100, 3.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 1.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 1.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 1.0)	(240, 1.0)	(245, 93.0)	(250, 558.0)
sample12835_S50_L001_R2_001	(35, 38.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 1.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 3.0)	(100, 3.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 1.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.0)	(165, 0.0)	(170, 1.0)	(175, 0.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 1.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 0.0)	(235, 1.0)	(240, 1.0)	(245, 118.0)	(250, 531.0)
sample12836_S51_L001_R1_001	(35, 2721.0)	(40, 83.0)	(45, 62.0)	(50, 169.0)	(55, 105.0)	(60, 45.0)	(65, 67.0)	(70, 20.0)	(75, 13.0)	(80, 190.0)	(85, 16.0)	(90, 17.0)	(95, 28.0)	(100, 7651.0)	(105, 72.0)	(110, 137.0)	(115, 31.0)	(120, 194.0)	(125, 132.0)	(130, 39.0)	(135, 106.0)	(140, 293.0)	(145, 30.0)	(150, 13.0)	(155, 347.0)	(160, 24.0)	(165, 215.0)	(170, 18.0)	(175, 494.0)	(180, 733.0)	(185, 28.0)	(190, 55.0)	(195, 45.0)	(200, 5.0)	(205, 12.0)	(210, 2.0)	(215, 10.0)	(220, 3.0)	(225, 16.0)	(230, 14.0)	(235, 499.0)	(240, 59.0)	(245, 2373.0)	(250, 22513.0)
sample12836_S51_L001_R2_001	(35, 2727.0)	(40, 80.0)	(45, 60.0)	(50, 169.0)	(55, 108.0)	(60, 45.0)	(65, 66.0)	(70, 19.0)	(75, 13.0)	(80, 190.0)	(85, 16.0)	(90, 18.0)	(95, 29.0)	(100, 7611.0)	(105, 71.0)	(110, 133.0)	(115, 29.0)	(120, 190.0)	(125, 132.0)	(130, 40.0)	(135, 104.0)	(140, 286.0)	(145, 31.0)	(150, 13.0)	(155, 345.0)	(160, 23.0)	(165, 216.0)	(170, 17.0)	(175, 479.0)	(180, 707.0)	(185, 29.0)	(190, 48.0)	(195, 41.0)	(200, 5.0)	(205, 11.0)	(210, 2.0)	(215, 9.0)	(220, 4.0)	(225, 17.0)	(230, 12.0)	(235, 443.0)	(240, 55.0)	(245, 19051.0)	(250, 6005.0)
sample12837_S52_L001_R1_001	(35, 10.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 1.0)	(65, 0.0)	(70, 0.0)	(75, 3.0)	(80, 0.0)	(85, 2.0)	(90, 1.0)	(95, 278.0)	(100, 1.0)	(105, 0.0)	(110, 0.0)	(115, 1.0)	(120, 0.0)	(125, 0.0)	(130, 3.0)	(135, 3.0)	(140, 1.0)	(145, 1.0)	(150, 0.0)	(155, 2.0)	(160, 1.0)	(165, 1.0)	(170, 0.0)	(175, 8.0)	(180, 6.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 0.0)	(225, 0.0)	(230, 15.0)	(235, 0.0)	(240, 0.0)	(245, 2248.0)	(250, 44643.0)
sample12837_S52_L001_R2_001	(35, 10.0)	(40, 1.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 1.0)	(65, 0.0)	(70, 0.0)	(75, 3.0)	(80, 0.0)	(85, 2.0)	(90, 1.0)	(95, 279.0)	(100, 1.0)	(105, 0.0)	(110, 0.0)	(115, 1.0)	(120, 2.0)	(125, 0.0)	(130, 2.0)	(135, 4.0)	(140, 1.0)	(145, 1.0)	(150, 0.0)	(155, 2.0)	(160, 1.0)	(165, 1.0)	(170, 0.0)	(175, 8.0)	(180, 6.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 0.0)	(220, 1.0)	(225, 0.0)	(230, 12.0)	(235, 1.0)	(240, 0.0)	(245, 298.0)	(250, 46590.0)
sample12838_S53_L001_R1_001	(35, 25.0)	(40, 0.0)	(45, 2.0)	(50, 1.0)	(55, 1.0)	(60, 3.0)	(65, 1.0)	(70, 1.0)	(75, 24.0)	(80, 0.0)	(85, 1.0)	(90, 1.0)	(95, 1287.0)	(100, 1.0)	(105, 0.0)	(110, 0.0)	(115, 1.0)	(120, 4.0)	(125, 1.0)	(130, 3.0)	(135, 56.0)	(140, 1.0)	(145, 1.0)	(150, 8.0)	(155, 0.0)	(160, 23.0)	(165, 2.0)	(170, 25.0)	(175, 52.0)	(180, 0.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 1.0)	(220, 1.0)	(225, 1.0)	(230, 23.0)	(235, 0.0)	(240, 0.0)	(245, 269.0)	(250, 9654.0)
sample12838_S53_L001_R2_001	(35, 22.0)	(40, 0.0)	(45, 2.0)	(50, 1.0)	(55, 1.0)	(60, 2.0)	(65, 0.0)	(70, 1.0)	(75, 22.0)	(80, 0.0)	(85, 1.0)	(90, 1.0)	(95, 1253.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 1.0)	(120, 4.0)	(125, 1.0)	(130, 3.0)	(135, 52.0)	(140, 2.0)	(145, 1.0)	(150, 7.0)	(155, 0.0)	(160, 23.0)	(165, 1.0)	(170, 23.0)	(175, 46.0)	(180, 1.0)	(185, 0.0)	(190, 0.0)	(195, 0.0)	(200, 0.0)	(205, 0.0)	(210, 0.0)	(215, 1.0)	(220, 0.0)	(225, 1.0)	(230, 16.0)	(235, 0.0)	(240, 1.0)	(245, 163.0)	(250, 9821.0)
sample12839_S54_L001_R1_001	(35, 968.0)	(40, 5.0)	(45, 23.0)	(50, 1.0)	(55, 4.0)	(60, 0.0)	(65, 0.0)	(70, 6.0)	(75, 21.0)	(80, 3.0)	(85, 7.0)	(90, 12.0)	(95, 2037.0)	(100, 27.0)	(105, 9.0)	(110, 7.0)	(115, 18.0)	(120, 16.0)	(125, 6.0)	(130, 26.0)	(135, 113.0)	(140, 6.0)	(145, 7.0)	(150, 28.0)	(155, 10.0)	(160, 51.0)	(165, 10.0)	(170, 99.0)	(175, 181.0)	(180, 2.0)	(185, 3.0)	(190, 6.0)	(195, 4.0)	(200, 3.0)	(205, 1.0)	(210, 4.0)	(215, 3.0)	(220, 0.0)	(225, 4.0)	(230, 156.0)	(235, 11.0)	(240, 1.0)	(245, 1128.0)	(250, 30667.0)
sample12839_S54_L001_R2_001	(35, 982.0)	(40, 5.0)	(45, 22.0)	(50, 1.0)	(55, 4.0)	(60, 0.0)	(65, 0.0)	(70, 6.0)	(75, 16.0)	(80, 3.0)	(85, 7.0)	(90, 12.0)	(95, 2049.0)	(100, 30.0)	(105, 10.0)	(110, 7.0)	(115, 19.0)	(120, 15.0)	(125, 6.0)	(130, 26.0)	(135, 111.0)	(140, 6.0)	(145, 7.0)	(150, 30.0)	(155, 11.0)	(160, 51.0)	(165, 10.0)	(170, 99.0)	(175, 189.0)	(180, 2.0)	(185, 3.0)	(190, 6.0)	(195, 4.0)	(200, 3.0)	(205, 1.0)	(210, 4.0)	(215, 3.0)	(220, 0.0)	(225, 4.0)	(230, 137.0)	(235, 10.0)	(240, 0.0)	(245, 342.0)	(250, 31441.0)
