Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sample12835_S50_L001_R1_001	sample12835_S50_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	699.0	165.3 kbp	0.0	35-250	52.0	42.06008583690987	236.92560801144492	250	pass	warn	fail	pass	fail	fail	warn	warn	fail	fail	pass
sample12835_S50_L001_R2_001	sample12835_S50_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	699.0	165 kbp	0.0	35-250	52.0	69.8140200286123	236.3540772532189	250	pass	fail	warn	pass	fail	fail	warn	warn	warn	fail	pass
sample12836_S51_L001_R1_001	sample12836_S51_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39699.0	7.7 Mbp	0.0	35-250	55.0	10.20428726164387	196.04217990377592	250	pass	pass	fail	pass	fail	fail	warn	warn	fail	fail	pass
sample12836_S51_L001_R2_001	sample12836_S51_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39699.0	7.7 Mbp	0.0	35-250	54.0	22.96531398775788	194.87330915136403	247	pass	fail	warn	pass	fail	fail	warn	warn	fail	fail	pass
sample12837_S52_L001_R1_001	sample12837_S52_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47229.0	11.7 Mbp	0.0	35-250	55.0	5.9285608418556395	249.29955112325055	250	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
sample12837_S52_L001_R2_001	sample12837_S52_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47229.0	11.7 Mbp	0.0	35-250	55.0	19.45414893391772	249.43134514810816	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12838_S53_L001_R1_001	sample12838_S53_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11474.0	2.6 Mbp	0.0	35-250	54.0	9.656614955551682	230.70088896635872	250	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
sample12838_S53_L001_R2_001	sample12838_S53_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11474.0	2.6 Mbp	0.0	35-250	53.0	26.32909185985707	231.42465574341992	250	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12839_S54_L001_R1_001	sample12839_S54_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35694.0	8.3 Mbp	0.0	35-250	55.0	7.057208494424834	233.6456407239312	250	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
sample12839_S54_L001_R2_001	sample12839_S54_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35694.0	8.3 Mbp	0.0	35-250	54.0	18.655796492407685	233.59294279150558	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
