.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
sample12835_S50_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12835_S50_L001_R2_001	1	1	0.25	1	0.25	0.25	1	0.5	0.5	0.25	1
sample12836_S51_L001_R1_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12836_S51_L001_R2_001	1	1	0.25	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12837_S52_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12837_S52_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12838_S53_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12838_S53_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12839_S54_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12839_S54_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12840_S55_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12840_S55_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12841_S56_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12841_S56_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12842_S57_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12842_S57_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12843_S58_L001_R1_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
sample12843_S58_L001_R2_001	1	1	0.5	1	0.25	0.25	1	0.5	0.25	0.25	1
