Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
sample12835_S50_L001_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.24449877750611243)	(40, 0.24449877750611243)	(45, 0.24449877750611243)	(50, 0.24449877750611243)	(55, 0.24449877750611243)	(60, 0.24449877750611243)	(65, 0.24449877750611243)	(70, 0.24449877750611243)	(75, 0.24449877750611243)	(80, 0.24449877750611243)	(85, 0.24449877750611243)	(90, 0.24449877750611243)	(95, 0.24449877750611243)	(100, 0.24449877750611243)	(105, 0.24449877750611243)	(110, 0.24449877750611243)	(115, 0.24449877750611243)	(120, 0.24449877750611243)	(125, 0.24449877750611243)	(130, 0.24449877750611243)	(135, 0.24449877750611243)	(140, 0.24449877750611243)	(145, 0.24449877750611243)	(150, 0.24449877750611243)	(155, 0.24449877750611243)	(160, 0.24449877750611243)	(165, 0.24449877750611243)	(170, 0.24449877750611243)	(175, 0.24449877750611243)	(180, 0.24449877750611243)	(185, 0.24449877750611243)	(190, 0.24449877750611243)	(195, 0.24449877750611243)	(200, 0.24449877750611243)	(205, 0.24449877750611243)	(210, 0.24449877750611243)	(215, 0.24449877750611243)	(220, 0.24449877750611243)	(225, 0.24449877750611243)	(230, 0.24449877750611243)	(235, 0.24449877750611243)
sample12836_S51_L001_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.007975541672205237)	(35, 0.019938854180513093)	(40, 0.019938854180513093)	(45, 0.019938854180513093)	(50, 0.02259736807124817)	(55, 0.026585138907350793)	(60, 0.029908281270769645)	(65, 0.03123753821613718)	(70, 0.036554565997607334)	(75, 0.036554565997607334)	(80, 0.037883822942974876)	(85, 0.039877708361026186)	(90, 0.039877708361026186)	(95, 0.04320085072444504)	(100, 0.06779210421374451)	(105, 0.15951083344410474)	(110, 0.15951083344410474)	(115, 0.15951083344410474)	(120, 0.15951083344410474)	(125, 0.16084009038947228)	(130, 0.1628339758075236)	(135, 0.1628339758075236)	(140, 0.1628339758075236)	(145, 0.1628339758075236)	(150, 0.1628339758075236)	(155, 0.1628339758075236)	(160, 0.1628339758075236)	(165, 0.1628339758075236)	(170, 0.1628339758075236)	(175, 0.1628339758075236)	(180, 0.1628339758075236)	(185, 0.1628339758075236)	(190, 0.1628339758075236)	(195, 0.1628339758075236)	(200, 0.1628339758075236)	(205, 0.1628339758075236)	(210, 0.1628339758075236)	(215, 0.1628339758075236)	(220, 0.1628339758075236)	(225, 0.1628339758075236)	(230, 0.1628339758075236)	(235, 0.1628339758075236)
sample12837_S52_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.135998772943402)	(165, 0.1917275934352472)	(170, 0.1917275934352472)	(175, 0.1917275934352472)	(180, 0.1917275934352472)	(185, 0.1917275934352472)	(190, 0.1917275934352472)	(195, 0.1917275934352472)	(200, 0.1917275934352472)	(205, 0.1917275934352472)	(210, 0.1917275934352472)	(215, 0.1917275934352472)	(220, 0.1917275934352472)	(225, 0.1917275934352472)	(230, 0.1917275934352472)	(235, 0.1917275934352472)
sample12838_S53_L001_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.052596975673898747)	(100, 0.13149243918474687)	(105, 0.13149243918474687)	(110, 0.13149243918474687)	(115, 0.13149243918474687)	(120, 0.13149243918474687)	(125, 0.13149243918474687)	(130, 0.13149243918474687)	(135, 0.13149243918474687)	(140, 0.13149243918474687)	(145, 0.13149243918474687)	(150, 0.13149243918474687)	(155, 0.13149243918474687)	(160, 0.13149243918474687)	(165, 0.13149243918474687)	(170, 0.13149243918474687)	(175, 0.13149243918474687)	(180, 0.13149243918474687)	(185, 0.13149243918474687)	(190, 0.13149243918474687)	(195, 0.13149243918474687)	(200, 0.13149243918474687)	(205, 0.13149243918474687)	(210, 0.13149243918474687)	(215, 0.13149243918474687)	(220, 0.13149243918474687)	(225, 0.13149243918474687)	(230, 0.13149243918474687)	(235, 0.13149243918474687)
sample12839_S54_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.06541960543800471)	(165, 0.10562540461344509)	(170, 0.10562540461344509)	(175, 0.10562540461344509)	(180, 0.10562540461344509)	(185, 0.10562540461344509)	(190, 0.10562540461344509)	(195, 0.10562540461344509)	(200, 0.10562540461344509)	(205, 0.10562540461344509)	(210, 0.10562540461344509)	(215, 0.10562540461344509)	(220, 0.10562540461344509)	(225, 0.10562540461344509)	(230, 0.10562540461344509)	(235, 0.10562540461344509)
sample12840_S55_L001_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.03317535545023697)	(30, 0.15910629654705485)	(35, 0.15910629654705485)	(40, 0.15910629654705485)	(45, 0.15910629654705485)	(50, 0.15910629654705485)	(55, 0.15910629654705485)	(60, 0.15910629654705485)	(65, 0.15910629654705485)	(70, 0.15910629654705485)	(75, 0.15910629654705485)	(80, 0.15910629654705485)	(85, 0.15910629654705485)	(90, 0.15910629654705485)	(95, 0.15910629654705485)	(100, 0.16249153689911983)	(105, 0.16249153689911983)	(110, 0.16249153689911983)	(115, 0.1651997291807718)	(120, 0.16926201760324983)	(125, 0.16926201760324983)	(130, 0.16926201760324983)	(135, 0.16926201760324983)	(140, 0.16926201760324983)	(145, 0.16926201760324983)	(150, 0.16926201760324983)	(155, 0.16926201760324983)	(160, 0.16926201760324983)	(165, 0.16926201760324983)	(170, 0.16926201760324983)	(175, 0.16926201760324983)	(180, 0.16926201760324983)	(185, 0.16926201760324983)	(190, 0.16926201760324983)	(195, 0.16926201760324983)	(200, 0.16926201760324983)	(205, 0.16926201760324983)	(210, 0.16926201760324983)	(215, 0.16926201760324983)	(220, 0.16926201760324983)	(225, 0.16926201760324983)	(230, 0.16926201760324983)	(235, 0.16926201760324983)
sample12973_S188_L001_R2_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.1075268817204301)	(55, 0.17921146953405018)	(60, 0.17921146953405018)	(65, 0.17921146953405018)	(70, 0.17921146953405018)	(75, 0.17921146953405018)	(80, 0.17921146953405018)	(85, 0.17921146953405018)	(90, 0.17921146953405018)	(95, 0.17921146953405018)	(100, 0.17921146953405018)	(105, 0.17921146953405018)	(110, 0.17921146953405018)	(115, 0.17921146953405018)	(120, 0.17921146953405018)	(125, 0.17921146953405018)	(130, 0.17921146953405018)	(135, 0.17921146953405018)	(140, 0.17921146953405018)	(145, 0.17921146953405018)	(150, 0.17921146953405018)	(155, 0.17921146953405018)	(160, 0.17921146953405018)	(165, 0.17921146953405018)	(170, 0.17921146953405018)	(175, 0.17921146953405018)	(180, 0.17921146953405018)	(185, 0.17921146953405018)	(190, 0.17921146953405018)	(195, 0.17921146953405018)	(200, 0.17921146953405018)	(205, 0.17921146953405018)	(210, 0.17921146953405018)	(215, 0.17921146953405018)	(220, 0.17921146953405018)	(225, 0.17921146953405018)	(230, 0.17921146953405018)	(235, 0.17921146953405018)
sample12974_S189_L001_R1_001 - illumina_universal_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.07863695937090433)	(65, 0.1310615989515072)	(70, 0.1310615989515072)	(75, 0.1310615989515072)	(80, 0.1310615989515072)	(85, 0.1310615989515072)	(90, 0.1310615989515072)	(95, 0.1310615989515072)	(100, 0.1310615989515072)	(105, 0.1310615989515072)	(110, 0.1310615989515072)	(115, 0.1310615989515072)	(120, 0.1310615989515072)	(125, 0.1310615989515072)	(130, 0.1310615989515072)	(135, 0.1310615989515072)	(140, 0.1310615989515072)	(145, 0.1310615989515072)	(150, 0.1310615989515072)	(155, 0.1310615989515072)	(160, 0.1310615989515072)	(165, 0.1310615989515072)	(170, 0.1310615989515072)	(175, 0.1310615989515072)	(180, 0.1310615989515072)	(185, 0.1310615989515072)	(190, 0.1310615989515072)	(195, 0.1310615989515072)	(200, 0.1310615989515072)	(205, 0.1310615989515072)	(210, 0.1310615989515072)	(215, 0.1310615989515072)	(220, 0.1310615989515072)	(225, 0.1310615989515072)	(230, 0.1310615989515072)	(235, 0.1310615989515072)
sample12975_S190_L001_R1_001 - polya	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.16474464579901152)	(95, 0.16474464579901152)	(100, 0.16474464579901152)	(105, 0.16474464579901152)	(110, 0.16474464579901152)	(115, 0.16474464579901152)	(120, 0.16474464579901152)	(125, 0.16474464579901152)	(130, 0.16474464579901152)	(135, 0.16474464579901152)	(140, 0.16474464579901152)	(145, 0.16474464579901152)	(150, 0.16474464579901152)	(155, 0.16474464579901152)	(160, 0.16474464579901152)	(165, 0.16474464579901152)	(170, 0.16474464579901152)	(175, 0.16474464579901152)	(180, 0.16474464579901152)	(185, 0.16474464579901152)	(190, 0.16474464579901152)	(195, 0.16474464579901152)	(200, 0.16474464579901152)	(205, 0.16474464579901152)	(210, 0.16474464579901152)	(215, 0.16474464579901152)	(220, 0.16474464579901152)	(225, 0.16474464579901152)	(230, 0.16474464579901152)	(235, 0.16474464579901152)
sample13079_S41_L001_R1_001 - illumina_small_rna_3'_adapter	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(15, 0.0)	(20, 0.0)	(25, 0.0)	(30, 0.0)	(35, 0.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 0.0)	(130, 0.0)	(135, 0.0)	(140, 0.0)	(145, 0.0)	(150, 0.0)	(155, 0.0)	(160, 0.6441425448021976)	(165, 1.2501635116700616)	(170, 1.2501635116700616)	(175, 1.2501635116700616)	(180, 1.2501635116700616)	(185, 1.2501635116700616)	(190, 1.2501635116700616)	(195, 1.2501635116700616)	(200, 1.2501635116700616)	(205, 1.2501635116700616)	(210, 1.2501635116700616)	(215, 1.2501635116700616)	(220, 1.2501635116700616)	(225, 1.2501635116700616)	(230, 1.2501635116700616)	(235, 1.2501635116700616)
