Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
sample12835_S50_L001_R1_001	(1, 33.396088019559905)	(2, 33.271393643031786)	(3, 33.51833740831296)	(4, 33.603911980440095)	(5, 33.396088019559905)	(6, 36.66748166259169)	(7, 36.90709046454768)	(8, 37.12958435207824)	(9, 36.789731051344745)	(10, 37.30660146699267)	(15, 37.03863080684597)	(20, 37.06699266503667)	(25, 37.03276283618582)	(30, 37.08655256723716)	(35, 36.89828850855746)	(40, 36.76577017114914)	(45, 36.72665036674816)	(50, 36.94075099477444)	(55, 37.11347617671147)	(60, 36.685821713637814)	(65, 36.7840704070407)	(70, 36.98366336633663)	(75, 36.775986404610606)	(80, 36.84389027431421)	(85, 36.67155610972568)	(90, 36.894499999999994)	(95, 36.87900156169318)	(100, 36.81823602965862)	(105, 36.651796749234045)	(110, 36.77442716216922)	(115, 37.00306905370844)	(120, 36.91865532924659)	(125, 36.90775978586383)	(130, 36.80106822238206)	(135, 36.694419675730686)	(140, 36.95181347150259)	(145, 36.75736491487787)	(150, 36.60928781371493)	(155, 37.01057600302029)	(160, 36.926749062630186)	(165, 36.546872264268316)	(170, 36.37120448630192)	(175, 36.94454259137186)	(180, 36.854950783840266)	(185, 36.845952263962715)	(190, 36.43828300377032)	(195, 36.48883782110802)	(200, 36.47499994458933)	(205, 36.58760563380281)	(210, 36.30153714911152)	(215, 36.503995078995075)	(220, 36.385181528012474)	(225, 35.945443872161505)	(230, 36.23095603874223)	(235, 36.05040386327246)	(240, 35.789011551499875)	(245, 35.43002600430213)	(250, 31.018779342723004)
sample12835_S50_L001_R2_001	(1, 32.45476772616137)	(2, 32.89486552567237)	(3, 32.987775061124694)	(4, 33.38875305623472)	(5, 33.34718826405868)	(6, 36.46699266503668)	(7, 36.29095354523228)	(8, 36.31784841075795)	(9, 36.40342298288508)	(10, 36.50171149144254)	(15, 36.49144254278728)	(20, 36.642053789731044)	(25, 36.52909535452323)	(30, 36.54034229828851)	(35, 36.83911980440098)	(40, 36.235207823960884)	(45, 36.29975550122249)	(50, 36.22358873517154)	(55, 36.21961062111174)	(60, 36.23680914444921)	(65, 36.55226130653267)	(70, 36.36320277214277)	(75, 36.47651931297356)	(80, 36.54285676619867)	(85, 36.59304757418747)	(90, 36.29454545454546)	(95, 36.257235192697536)	(100, 36.43889229084012)	(105, 36.42410178642394)	(110, 36.28473273118848)	(115, 36.51291323841964)	(120, 36.598318109322896)	(125, 36.424992305324714)	(130, 36.20391519653358)	(135, 36.25556247179471)	(140, 36.663128491620114)	(145, 36.178093685531465)	(150, 35.826069536229376)	(155, 35.89491855524079)	(160, 35.63110066960125)	(165, 35.81155403041762)	(170, 35.63781215352971)	(175, 36.10895477384998)	(180, 35.99122411094529)	(185, 35.82634740289891)	(190, 35.74084469006491)	(195, 35.38890941893212)	(200, 35.33500510720832)	(205, 35.47001512447201)	(210, 34.65866749471091)	(215, 34.89015000053709)	(220, 35.392144051897866)	(225, 33.444965180340276)	(230, 32.68779625873338)	(235, 32.45756237774628)	(240, 34.60454569767922)	(245, 32.74354242623171)	(250, 26.012345679012345)
sample12836_S51_L001_R1_001	(1, 33.66256812441845)	(2, 33.62790774956799)	(3, 33.73916655589525)	(4, 33.74524790642031)	(5, 33.836268775754355)	(6, 37.12757543533165)	(7, 37.261763923966505)	(8, 37.42114183171607)	(9, 37.298384952811375)	(10, 37.53760467898445)	(15, 37.413997075634725)	(20, 37.28820949089459)	(25, 37.230346936062745)	(30, 37.31571181709425)	(35, 37.29157251096637)	(40, 37.13640834773362)	(45, 37.19952146749967)	(50, 37.19168108611363)	(55, 37.19734672391804)	(60, 37.0589321349082)	(65, 37.1688588516313)	(70, 37.26214606991903)	(75, 37.167973999387044)	(80, 37.23075720289842)	(85, 37.08554538885493)	(90, 37.22669001549501)	(95, 37.26802993220376)	(100, 37.25155811772115)	(105, 37.140647986573626)	(110, 37.23674663961596)	(115, 37.3120608432702)	(120, 37.266682843213744)	(125, 37.26185247527915)	(130, 37.259334879440566)	(135, 37.1884123436221)	(140, 37.21785483521638)	(145, 37.215247769554)	(150, 37.10503418452455)	(155, 37.39756076102967)	(160, 37.261817326572626)	(165, 37.16638226111518)	(170, 36.768971872810276)	(175, 37.13249684109117)	(180, 37.12216293977748)	(185, 37.09772478446421)	(190, 36.999523855961925)	(195, 36.96480457172849)	(200, 36.96217145048163)	(205, 37.08566058394011)	(210, 36.78765872094113)	(215, 36.90265171950685)	(220, 36.77017623363791)	(225, 36.49178457599844)	(230, 36.46953249632033)	(235, 36.34674345999131)	(240, 36.2385664132498)	(245, 36.00636633863062)	(250, 34.08356761315716)
sample12836_S51_L001_R2_001	(1, 33.061910142230495)	(2, 33.21211617705703)	(3, 33.190615445965705)	(4, 33.37322211883557)	(5, 33.481157782799414)	(6, 37.136813771101956)	(7, 37.02565465904559)	(8, 37.16173733882759)	(9, 36.633357703044)	(10, 37.15436660906554)	(15, 36.89119367273695)	(20, 36.93511232221188)	(25, 37.09217732287651)	(30, 36.98616243519872)	(35, 37.008480659311445)	(40, 36.81712747574106)	(45, 36.68329788648146)	(50, 36.81015225631934)	(55, 36.61089594118234)	(60, 36.91202148811836)	(65, 37.036760421194785)	(70, 37.06363299371785)	(75, 36.73849793723425)	(80, 36.74226435768356)	(85, 36.98692098153648)	(90, 36.92997401151052)	(95, 36.763930427872836)	(100, 36.80306502642153)	(105, 36.73741391987943)	(110, 36.957194896774936)	(115, 36.54491443943057)	(120, 36.93878112921393)	(125, 36.85726263830477)	(130, 36.84654970792826)	(135, 36.402540409151285)	(140, 36.87702937774414)	(145, 36.51397678747942)	(150, 36.47339671049632)	(155, 36.06545314486614)	(160, 36.35711303660371)	(165, 36.48922882200006)	(170, 36.23735335869481)	(175, 36.215819750503925)	(180, 36.4177043796166)	(185, 36.60431760274671)	(190, 35.86872616025432)	(195, 35.942068257833554)	(200, 35.61236220502197)	(205, 35.511833667022884)	(210, 35.10817806230209)	(215, 35.5135283048527)	(220, 35.91580117499474)	(225, 33.754705963875345)	(230, 33.75656977853768)	(235, 32.5658842092099)	(240, 35.03050506567642)	(245, 33.61898348795092)	(250, 27.19034090909091)
sample12837_S52_L001_R1_001	(1, 33.65404673040544)	(2, 33.588475893450585)	(3, 33.70169742829388)	(4, 33.75328493276752)	(5, 33.85367350069022)	(6, 37.0999795490567)	(7, 37.24500230073112)	(8, 37.40889104759957)	(9, 37.25954803415308)	(10, 37.53885167953372)	(15, 37.372621299657446)	(20, 37.35274809550591)	(25, 37.402950048570986)	(30, 37.42248581215809)	(35, 37.34193977197199)	(40, 37.12674983383609)	(45, 37.21484738483562)	(50, 37.45236029526796)	(55, 37.413230532398856)	(60, 37.05456015964872)	(65, 37.22515849237282)	(70, 37.318885717069314)	(75, 37.08971087335283)	(80, 37.14589653458168)	(85, 37.23274351221847)	(90, 37.35320836451281)	(95, 37.308519581940224)	(100, 37.30439690818845)	(105, 37.067853547449246)	(110, 37.25759562566617)	(115, 37.30337874123883)	(120, 37.18478667315894)	(125, 36.96813192499555)	(130, 37.20821153309315)	(135, 37.24199579975265)	(140, 37.30316494558284)	(145, 37.234825817377484)	(150, 37.253816469478906)	(155, 37.44466268858217)	(160, 37.252251512166396)	(165, 37.19996238676519)	(170, 36.88077698874876)	(175, 37.18403336140314)	(180, 37.11157911362274)	(185, 37.120904619158)	(190, 36.95217603141923)	(195, 37.08307611934849)	(200, 37.04636930461503)	(205, 37.22347124707558)	(210, 36.62738309641145)	(215, 36.976832760146706)	(220, 36.939271966454235)	(225, 36.64758454084593)	(230, 36.33408686637444)	(235, 36.4686032597228)	(240, 36.450469559068765)	(245, 36.13907336848634)	(250, 30.36322819197102)
sample12837_S52_L001_R2_001	(1, 32.92681118666599)	(2, 33.346208906385804)	(3, 33.33370826729383)	(4, 33.65182269032159)	(5, 33.59131346183343)	(6, 37.14760468326602)	(7, 36.82946469655913)	(8, 36.81829336878163)	(9, 36.90968352165244)	(10, 36.876322920394706)	(15, 37.15030932051741)	(20, 36.91115598957002)	(25, 37.041438723861134)	(30, 36.95580551152922)	(35, 36.980750549619096)	(40, 37.0219745385756)	(45, 36.66108696763638)	(50, 36.60742100615955)	(55, 36.83867196160589)	(60, 36.75782435846831)	(65, 37.01096251561879)	(70, 36.861883274235176)	(75, 37.06639503770318)	(80, 36.894269631507576)	(85, 36.96457121616388)	(90, 37.10625021707684)	(95, 36.949037932192425)	(100, 36.922577808017195)	(105, 37.10709317629769)	(110, 36.85396070475112)	(115, 37.120243332931494)	(120, 37.1091877338596)	(125, 36.52142618248113)	(130, 37.07722359801096)	(135, 36.92674914074995)	(140, 37.16008858733953)	(145, 36.740018601427195)	(150, 36.477119711310834)	(155, 36.61218463502038)	(160, 36.59429761435547)	(165, 36.45358002494375)	(170, 36.43133105265794)	(175, 36.651782411377646)	(180, 36.47408349114564)	(185, 36.15095811090062)	(190, 36.465571939003375)	(195, 35.93877291304317)	(200, 36.25106450543002)	(205, 35.25959384566775)	(210, 35.64262698713911)	(215, 35.60649310754888)	(220, 35.62542582752261)	(225, 33.63745898836494)	(230, 33.282621261172324)	(235, 33.80860081424799)	(240, 35.1993910971942)	(245, 33.361409881978844)	(250, 30.229148826853912)
sample12838_S53_L001_R1_001	(1, 33.690116151654614)	(2, 33.63686171378479)	(3, 33.73975454744686)	(4, 33.79136532982687)	(5, 33.85075608152531)	(6, 37.19690992767916)	(7, 37.27076484768792)	(8, 37.48542625465702)	(9, 37.37563006793776)	(10, 37.54979180363796)	(15, 37.48303747534517)	(20, 37.467192636423405)	(25, 37.2017094017094)	(30, 37.34225290379136)	(35, 37.32805172035941)	(40, 37.067521367521366)	(45, 37.3197896120973)	(50, 37.35074495966749)	(55, 37.38611304576615)	(60, 37.13697098390204)	(65, 37.117007642550455)	(70, 37.29573821036921)	(75, 37.14859331650763)	(80, 37.08340698350294)	(85, 37.14074752614134)	(90, 37.2568002929304)	(95, 37.359693339621266)	(100, 37.30390678146051)	(105, 37.10068172461106)	(110, 37.35050660007006)	(115, 37.35790431305888)	(120, 37.30023495231672)	(125, 37.23924048424254)	(130, 37.27568651181754)	(135, 37.20529188917097)	(140, 37.353239184462225)	(145, 37.23429618987792)	(150, 37.15446210916555)	(155, 37.44052175227217)	(160, 37.37375888823691)	(165, 37.302874032481974)	(170, 36.80121451349104)	(175, 37.1976445102503)	(180, 37.21469328571557)	(185, 37.266670657959814)	(190, 37.15712006077064)	(195, 37.07457484049457)	(200, 37.092323297065164)	(205, 37.234819179511945)	(210, 36.867110272808915)	(215, 36.99896279525606)	(220, 36.82181556797623)	(225, 36.58355034831026)	(230, 36.50880619227391)	(235, 36.34103832820463)	(240, 36.34796018104417)	(245, 35.977959333631205)	(250, 34.09089414858646)
sample12838_S53_L001_R2_001	(1, 33.74128862590401)	(2, 32.89524435678282)	(3, 32.99243918474688)	(4, 33.29728248959018)	(5, 33.54109138724523)	(6, 37.1356563664256)	(7, 36.90072320841551)	(8, 36.900942362480826)	(9, 36.387902695595)	(10, 36.59344729344729)	(15, 36.91492439184747)	(20, 36.94179268025422)	(25, 36.94378698224852)	(30, 36.77937760245453)	(35, 36.97920227920228)	(40, 36.86522024983564)	(45, 36.18851632697787)	(50, 36.36954382660575)	(55, 36.80831504598111)	(60, 36.297744408014296)	(65, 36.6074733018977)	(70, 36.341343176426065)	(75, 36.68703024426818)	(80, 36.626785585073065)	(85, 36.5045207152324)	(90, 36.75902409936289)	(95, 36.486237707374144)	(100, 36.47460525666553)	(105, 36.94934933207567)	(110, 36.48548121843968)	(115, 36.67935629645682)	(120, 36.85392706967482)	(125, 36.38094364615188)	(130, 36.41460581214929)	(135, 36.60443897501684)	(140, 36.87199168182611)	(145, 36.23407615482229)	(150, 36.072879202848256)	(155, 35.8239571862684)	(160, 36.30236389286946)	(165, 36.1127182104663)	(170, 35.64801739788386)	(175, 36.45532104238466)	(180, 36.18601184904085)	(185, 35.87245579971188)	(190, 35.977828450648005)	(195, 35.668102024999044)	(200, 36.15154347530864)	(205, 35.204968476148)	(210, 35.11917286389563)	(215, 35.06525939616465)	(220, 35.76249378841633)	(225, 33.90551583756551)	(230, 32.651537077429566)	(235, 33.31178875171061)	(240, 34.948735205766546)	(245, 32.62703600721129)	(250, 29.147263948497855)
sample12839_S54_L001_R1_001	(1, 33.65225390984361)	(2, 33.59058230263382)	(3, 33.713482571808235)	(4, 33.741660703942216)	(5, 33.82646768203346)	(6, 37.09390439197247)	(7, 37.20699172033119)	(8, 37.40110395584177)	(9, 37.258305223346625)	(10, 37.5192544890797)	(15, 37.40350267470782)	(20, 37.41347234999489)	(25, 37.24008313741525)	(30, 37.33039626563085)	(35, 37.22393948686497)	(40, 37.11145183822276)	(45, 37.19796926641453)	(50, 37.3822877180902)	(55, 37.34078203011918)	(60, 37.05141996243242)	(65, 37.16588803856671)	(70, 37.28721399554719)	(75, 37.208463024073296)	(80, 37.25175849699294)	(85, 37.157392881294)	(90, 37.23371100445491)	(95, 37.34138463722726)	(100, 37.28803743244758)	(105, 37.04095419666943)	(110, 37.27250563584558)	(115, 37.31717741843785)	(120, 37.32108021717581)	(125, 37.25362859810623)	(130, 37.00746840030196)	(135, 37.09642110930324)	(140, 37.31364917971145)	(145, 37.28016033795298)	(150, 37.189705224462585)	(155, 37.421462425925405)	(160, 37.29639723275256)	(165, 37.24724702879142)	(170, 36.7518783328969)	(175, 37.15980501514322)	(180, 37.11377502330385)	(185, 37.150535944529715)	(190, 36.92679005518197)	(195, 36.95235323661419)	(200, 37.04877364253507)	(205, 37.173380106940364)	(210, 36.73915163150431)	(215, 36.95750716829141)	(220, 36.83126529179048)	(225, 36.64735928894835)	(230, 36.49712006695796)	(235, 36.46377524443801)	(240, 36.37341216141125)	(245, 35.95676837118901)	(250, 32.47777212614446)
sample12839_S54_L001_R2_001	(1, 33.15567821731575)	(2, 33.28893659068452)	(3, 33.23193294490443)	(4, 33.18964871034788)	(5, 33.40672595318409)	(6, 36.8087839449385)	(7, 37.195645507513035)	(8, 37.29370677024771)	(9, 37.40822515247538)	(10, 37.112773859415995)	(15, 37.0731132236192)	(20, 37.113087328358716)	(25, 37.06493577293946)	(30, 36.99439844628438)	(35, 37.16551841630039)	(40, 37.04312242325122)	(45, 36.761709087192074)	(50, 36.63561156586345)	(55, 36.839038606597434)	(60, 36.98837989863033)	(65, 36.91575922242616)	(70, 37.015569703228586)	(75, 36.88759687659471)	(80, 36.91287000559721)	(85, 36.87421053416623)	(90, 36.9223606096347)	(95, 36.95092964766313)	(100, 36.877708758868856)	(105, 37.13592004006178)	(110, 36.78081844139414)	(115, 37.06197727560341)	(120, 37.00966427914862)	(125, 36.94367127260902)	(130, 36.6898665807098)	(135, 37.112023375905565)	(140, 36.9828328796933)	(145, 36.884033326726424)	(150, 36.527333722483206)	(155, 36.58955639238892)	(160, 36.68292688531657)	(165, 36.47112237121674)	(170, 36.50240983998698)	(175, 36.67707170506434)	(180, 36.90153500823534)	(185, 36.18036684736592)	(190, 36.35902638131994)	(195, 36.24355584976661)	(200, 36.05760264568577)	(205, 36.01339639480052)	(210, 35.215455702848416)	(215, 35.93497100731339)	(220, 36.02579524024657)	(225, 34.18690908202058)	(230, 33.46222616082585)	(235, 33.376045946870555)	(240, 35.5375414162316)	(245, 33.0072979344922)	(250, 29.761362189688096)
