Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
sample12835_S50_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.6666666666666666)	(31.0, 0.6666666666666666)	(32.0, 0.3333333333333333)	(33.0, 0.0)	(34.0, 1.0)	(35.0, 1.3333333333333333)	(36.0, 1.4999999999999998)	(37.0, 0.8333333333333333)	(38.0, 0.6666666666666666)	(39.0, 0.0)	(40.0, 0.5)	(41.0, 1.3333333333333333)	(42.0, 2.1666666666666665)	(43.0, 0.3333333333333333)	(44.0, 0.5)	(45.0, 2.8333333333333335)	(46.0, 3.3333333333333335)	(47.0, 3.3333333333333335)	(48.0, 4.333333333333333)	(49.0, 6.166666666666665)	(50.0, 12.666666666666671)	(51.0, 11.666666666666671)	(52.0, 17.000000000000004)	(53.0, 31.666666666666632)	(54.0, 34.3333333333333)	(55.0, 48.00000000000006)	(56.0, 20.33333333333333)	(57.0, 12.16666666666667)	(58.0, 8.166666666666664)	(59.0, 1.8333333333333333)	(60.0, 0.5)	(61.0, 1.4999999999999998)	(62.0, 1.4999999999999998)	(63.0, 0.8333333333333333)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.3333333333333333)	(69.0, 0.3333333333333333)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample12835_S50_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.3333333333333333)	(31.0, 0.6666666666666666)	(32.0, 1.0)	(33.0, 1.0)	(34.0, 0.6666666666666666)	(35.0, 0.0)	(36.0, 0.6666666666666666)	(37.0, 0.6666666666666666)	(38.0, 0.0)	(39.0, 0.0)	(40.0, 0.5)	(41.0, 1.5)	(42.0, 1.0)	(43.0, 0.6666666666666666)	(44.0, 1.833333333333333)	(45.0, 3.5000000000000004)	(46.0, 5.333333333333332)	(47.0, 5.833333333333332)	(48.0, 6.166666666666665)	(49.0, 8.166666666666664)	(50.0, 11.333333333333336)	(51.0, 12.500000000000002)	(52.0, 20.999999999999996)	(53.0, 17.000000000000004)	(54.0, 13.500000000000005)	(55.0, 39.66666666666667)	(56.0, 41.666666666666686)	(57.0, 24.66666666666666)	(58.0, 22.499999999999996)	(59.0, 9.666666666666668)	(60.0, 3.8333333333333335)	(61.0, 2.3333333333333335)	(62.0, 0.8333333333333333)	(63.0, 0.0)	(64.0, 0.0)	(65.0, 0.0)	(66.0, 0.0)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample12836_S51_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 1.3333333333333333)	(31.0, 1.0)	(32.0, 0.0)	(33.0, 23.999999999999982)	(34.0, 105.66666666666625)	(35.0, 42.66666666666669)	(36.0, 8.833333333333332)	(37.0, 8.33333333333333)	(38.0, 9.166666666666664)	(39.0, 18.500000000000004)	(40.0, 36.16666666666666)	(41.0, 32.999999999999986)	(42.0, 13.66666666666667)	(43.0, 19.5)	(44.0, 30.166666666666647)	(45.0, 28.16666666666665)	(46.0, 23.333333333333325)	(47.0, 51.83333333333339)	(48.0, 64.50000000000011)	(49.0, 141.4999999999997)	(50.0, 245.33333333333516)	(51.0, 626.1666666666671)	(52.0, 1370.1666666666433)	(53.0, 3332.333333333683)	(54.0, 2598.0000000000578)	(55.0, 1581.499999999953)	(56.0, 2131.499999999986)	(57.0, 2822.0000000000055)	(58.0, 2068.1666666666592)	(59.0, 922.6666666666699)	(60.0, 504.166666666663)	(61.0, 399.1666666666652)	(62.0, 433.1666666666652)	(63.0, 459.33333333333127)	(64.0, 398.9999999999979)	(65.0, 258.83333333333434)	(66.0, 148.83333333333334)	(67.0, 110.99999999999997)	(68.0, 63.33333333333335)	(69.0, 26.166666666666654)	(70.0, 16.000000000000004)	(71.0, 10.666666666666668)	(72.0, 4.166666666666666)	(73.0, 2.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample12836_S51_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.6666666666666666)	(28.0, 4.666666666666666)	(29.0, 3.3333333333333335)	(30.0, 1.6666666666666665)	(31.0, 1.6666666666666665)	(32.0, 4.666666666666667)	(33.0, 11.833333333333334)	(34.0, 43.16666666666667)	(35.0, 116.49999999999955)	(36.0, 85.99999999999987)	(37.0, 33.166666666666636)	(38.0, 17.000000000000004)	(39.0, 12.66666666666667)	(40.0, 14.833333333333336)	(41.0, 21.16666666666666)	(42.0, 37.16666666666666)	(43.0, 121.49999999999952)	(44.0, 143.49999999999991)	(45.0, 81.66666666666664)	(46.0, 177.00000000000023)	(47.0, 260.83333333333394)	(48.0, 283.5000000000003)	(49.0, 267.33333333333366)	(50.0, 323.9999999999998)	(51.0, 700.6666666666715)	(52.0, 1795.9999999999056)	(53.0, 1771.3333333332396)	(54.0, 835.6666666666804)	(55.0, 1448.9999999999654)	(56.0, 2613.833333333385)	(57.0, 3464.6666666668166)	(58.0, 3368.0000000000095)	(59.0, 2628.0000000000077)	(60.0, 1172.0000000000014)	(61.0, 362.9999999999995)	(62.0, 165.66666666666677)	(63.0, 95.16666666666652)	(64.0, 44.00000000000003)	(65.0, 15.166666666666668)	(66.0, 13.333333333333334)	(67.0, 14.000000000000004)	(68.0, 12.000000000000002)	(69.0, 5.499999999999999)	(70.0, 0.5)	(71.0, 1.0)	(72.0, 1.5)	(73.0, 0.5)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample12837_S52_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 1.9999999999999998)	(31.0, 1.6666666666666665)	(32.0, 0.0)	(33.0, 0.6666666666666666)	(34.0, 1.6666666666666665)	(35.0, 3.666666666666667)	(36.0, 7.9999999999999964)	(37.0, 6.333333333333331)	(38.0, 5.666666666666665)	(39.0, 1.6666666666666665)	(40.0, 2.1666666666666665)	(41.0, 3.8333333333333335)	(42.0, 4.833333333333333)	(43.0, 5.0)	(44.0, 14.166666666666673)	(45.0, 30.833333333333293)	(46.0, 41.166666666666686)	(47.0, 93.33333333333313)	(48.0, 117.83333333333277)	(49.0, 97.16666666666639)	(50.0, 169.8333333333338)	(51.0, 467.49999999999227)	(52.0, 1206.1666666666717)	(53.0, 3294.000000000335)	(54.0, 7205.833333331385)	(55.0, 4926.333333333339)	(56.0, 1051.5000000000298)	(57.0, 711.1666666666736)	(58.0, 557.6666666666629)	(59.0, 404.4999999999964)	(60.0, 219.6666666666678)	(61.0, 168.50000000000009)	(62.0, 139.49999999999974)	(63.0, 127.49999999999945)	(64.0, 67.66666666666677)	(65.0, 36.999999999999986)	(66.0, 20.833333333333325)	(67.0, 6.499999999999998)	(68.0, 2.6666666666666665)	(69.0, 1.0)	(70.0, 0.0)	(71.0, 0.3333333333333333)	(72.0, 0.3333333333333333)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample12837_S52_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.0)	(32.0, 1.9999999999999998)	(33.0, 3.3333333333333335)	(34.0, 1.0)	(35.0, 4.999999999999999)	(36.0, 8.999999999999998)	(37.0, 5.999999999999998)	(38.0, 0.3333333333333333)	(39.0, 3.3333333333333335)	(40.0, 5.499999999999999)	(41.0, 4.666666666666667)	(42.0, 22.33333333333332)	(43.0, 56.00000000000012)	(44.0, 41.166666666666686)	(45.0, 71.33333333333341)	(46.0, 86.16666666666656)	(47.0, 55.5000000000001)	(48.0, 63.83333333333343)	(49.0, 162.00000000000028)	(50.0, 386.9999999999964)	(51.0, 462.1666666666605)	(52.0, 940.8333333333626)	(53.0, 1012.5000000000329)	(54.0, 1829.833333333219)	(55.0, 4822.500000000066)	(56.0, 5280.499999999694)	(57.0, 3460.000000000331)	(58.0, 1608.9999999999804)	(59.0, 1175.6666666666677)	(60.0, 614.0000000000006)	(61.0, 303.8333333333333)	(62.0, 203.50000000000048)	(63.0, 178.16666666666703)	(64.0, 93.66666666666652)	(65.0, 45.166666666666686)	(66.0, 30.166666666666654)	(67.0, 14.666666666666668)	(68.0, 6.166666666666666)	(69.0, 3.166666666666667)	(70.0, 1.6666666666666665)	(71.0, 0.3333333333333333)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample12838_S53_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.3333333333333333)	(31.0, 0.0)	(32.0, 0.0)	(33.0, 4.666666666666666)	(34.0, 9.666666666666666)	(35.0, 1.9999999999999998)	(36.0, 4.666666666666666)	(37.0, 1.9999999999999998)	(38.0, 1.1666666666666665)	(39.0, 1.3333333333333333)	(40.0, 1.0)	(41.0, 1.5)	(42.0, 2.6666666666666665)	(43.0, 0.8333333333333333)	(44.0, 1.0)	(45.0, 5.499999999999999)	(46.0, 9.666666666666666)	(47.0, 6.333333333333331)	(48.0, 14.33333333333334)	(49.0, 56.666666666666764)	(50.0, 98.16666666666642)	(51.0, 239.3333333333356)	(52.0, 565.9999999999945)	(53.0, 1559.4999999999284)	(54.0, 981.8333333333695)	(55.0, 548.1666666666633)	(56.0, 525.9999999999986)	(57.0, 359.8333333333332)	(58.0, 179.83333333333334)	(59.0, 93.99999999999997)	(60.0, 69.33333333333336)	(61.0, 60.83333333333334)	(62.0, 44.333333333333336)	(63.0, 31.999999999999993)	(64.0, 23.666666666666664)	(65.0, 16.833333333333336)	(66.0, 12.833333333333336)	(67.0, 12.0)	(68.0, 9.5)	(69.0, 3.0)	(70.0, 0.0)	(71.0, 0.5)	(72.0, 0.5)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample12838_S53_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 0.0)	(31.0, 0.5)	(32.0, 0.8333333333333333)	(33.0, 4.999999999999999)	(34.0, 6.999999999999997)	(35.0, 1.0)	(36.0, 3.3333333333333335)	(37.0, 3.0)	(38.0, 1.0)	(39.0, 1.0)	(40.0, 0.3333333333333333)	(41.0, 0.3333333333333333)	(42.0, 0.0)	(43.0, 4.166666666666667)	(44.0, 8.833333333333332)	(45.0, 15.000000000000009)	(46.0, 38.333333333333336)	(47.0, 21.333333333333332)	(48.0, 20.833333333333336)	(49.0, 42.5)	(50.0, 69.00000000000006)	(51.0, 278.33333333333456)	(52.0, 804.0000000000194)	(53.0, 421.3333333333288)	(54.0, 439.3333333333294)	(55.0, 856.666666666682)	(56.0, 1165.6666666666724)	(57.0, 802.5000000000088)	(58.0, 423.83333333333303)	(59.0, 386.6666666666665)	(60.0, 295.66666666666663)	(61.0, 145.83333333333334)	(62.0, 42.83333333333333)	(63.0, 10.5)	(64.0, 3.8333333333333335)	(65.0, 1.5)	(66.0, 0.8333333333333333)	(67.0, 0.0)	(68.0, 0.0)	(69.0, 0.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample12839_S54_L001_R1_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.0)	(28.0, 0.0)	(29.0, 0.0)	(30.0, 1.0)	(31.0, 0.6666666666666666)	(32.0, 0.3333333333333333)	(33.0, 26.99999999999997)	(34.0, 52.33333333333343)	(35.0, 11.333333333333336)	(36.0, 6.999999999999998)	(37.0, 7.0)	(38.0, 2.0)	(39.0, 0.0)	(40.0, 0.5)	(41.0, 1.6666666666666665)	(42.0, 1.9999999999999998)	(43.0, 4.833333333333334)	(44.0, 18.833333333333332)	(45.0, 53.16666666666677)	(46.0, 24.333333333333318)	(47.0, 12.333333333333337)	(48.0, 32.499999999999964)	(49.0, 77.16666666666666)	(50.0, 122.49999999999942)	(51.0, 217.8333333333349)	(52.0, 1407.9999999999607)	(53.0, 4657.000000000225)	(54.0, 2576.8333333333826)	(55.0, 2989.6666666668734)	(56.0, 1789.9999999999186)	(57.0, 962.0000000000034)	(58.0, 751.8333333333337)	(59.0, 349.83333333333314)	(60.0, 194.16666666666706)	(61.0, 153.6666666666667)	(62.0, 119.8333333333332)	(63.0, 101.49999999999991)	(64.0, 115.49999999999976)	(65.0, 85.16666666666663)	(66.0, 46.00000000000001)	(67.0, 21.5)	(68.0, 11.666666666666668)	(69.0, 5.166666666666665)	(70.0, 1.833333333333333)	(71.0, 2.0)	(72.0, 1.5)	(73.0, 0.5)	(74.0, 1.0)	(75.0, 0.5)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
sample12839_S54_L001_R2_001	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.0)	(20.0, 0.0)	(21.0, 0.0)	(22.0, 0.0)	(23.0, 0.0)	(24.0, 0.0)	(25.0, 0.0)	(26.0, 0.0)	(27.0, 0.3333333333333333)	(28.0, 0.3333333333333333)	(29.0, 0.3333333333333333)	(30.0, 0.3333333333333333)	(31.0, 0.0)	(32.0, 1.3333333333333333)	(33.0, 15.333333333333343)	(34.0, 48.166666666666735)	(35.0, 19.83333333333333)	(36.0, 7.499999999999997)	(37.0, 6.999999999999999)	(38.0, 6.166666666666667)	(39.0, 2.6666666666666665)	(40.0, 0.3333333333333333)	(41.0, 1.9999999999999998)	(42.0, 4.666666666666666)	(43.0, 14.500000000000007)	(44.0, 69.83333333333341)	(45.0, 67.50000000000009)	(46.0, 38.16666666666668)	(47.0, 40.166666666666686)	(48.0, 59.0000000000001)	(49.0, 58.000000000000064)	(50.0, 104.33333333333317)	(51.0, 238.66666666666777)	(52.0, 1759.166666666559)	(53.0, 2108.166666666521)	(54.0, 636.8333333333343)	(55.0, 2503.0000000000196)	(56.0, 4490.666666666982)	(57.0, 2370.1666666666533)	(58.0, 1301.4999999999968)	(59.0, 951.166666666669)	(60.0, 725.8333333333344)	(61.0, 358.3333333333329)	(62.0, 101.83333333333327)	(63.0, 35.666666666666664)	(64.0, 25.66666666666665)	(65.0, 8.833333333333332)	(66.0, 3.3333333333333335)	(67.0, 2.6666666666666665)	(68.0, 2.0)	(69.0, 1.3333333333333333)	(70.0, 0.3333333333333333)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.3333333333333333)	(75.0, 0.3333333333333333)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
