Sample	0	1	2	3	4	5	6	7	8	9	10	11	12
sample12835_S50_L001_R1_001	(29.0, 1.0)	(30.0, 1.0)	(31.0, 2.0)	(32.0, 9.0)	(33.0, 19.0)	(34.0, 31.0)	(35.0, 56.0)	(36.0, 78.0)	(37.0, 212.0)				
sample12835_S50_L001_R2_001	(28.0, 2.0)	(29.0, 3.0)	(30.0, 1.0)	(31.0, 12.0)	(32.0, 20.0)	(33.0, 38.0)	(34.0, 50.0)	(35.0, 73.0)	(36.0, 106.0)	(37.0, 104.0)			
sample12836_S51_L001_R1_001	(28.0, 2.0)	(29.0, 14.0)	(30.0, 42.0)	(31.0, 183.0)	(32.0, 385.0)	(33.0, 841.0)	(34.0, 1392.0)	(35.0, 2517.0)	(36.0, 4686.0)	(37.0, 20030.0)			
sample12836_S51_L001_R2_001	(26.0, 1.0)	(27.0, 12.0)	(28.0, 23.0)	(29.0, 91.0)	(30.0, 208.0)	(31.0, 469.0)	(32.0, 832.0)	(33.0, 1515.0)	(34.0, 2498.0)	(35.0, 3842.0)	(36.0, 6507.0)	(37.0, 14094.0)	
sample12837_S52_L001_R1_001	(28.0, 1.0)	(29.0, 11.0)	(30.0, 55.0)	(31.0, 217.0)	(32.0, 476.0)	(33.0, 1011.0)	(34.0, 1921.0)	(35.0, 3177.0)	(36.0, 6136.0)	(37.0, 26113.0)			
sample12837_S52_L001_R2_001	(26.0, 5.0)	(27.0, 13.0)	(28.0, 48.0)	(29.0, 128.0)	(30.0, 308.0)	(31.0, 651.0)	(32.0, 1136.0)	(33.0, 2007.0)	(34.0, 3315.0)	(35.0, 5493.0)	(36.0, 9668.0)	(37.0, 16346.0)	
sample12838_S53_L001_R1_001	(27.0, 1.0)	(28.0, 0.0)	(29.0, 2.0)	(30.0, 12.0)	(31.0, 31.0)	(32.0, 105.0)	(33.0, 253.0)	(34.0, 445.0)	(35.0, 782.0)	(36.0, 1363.0)	(37.0, 6132.0)		
sample12838_S53_L001_R2_001	(27.0, 1.0)	(28.0, 0.0)	(29.0, 27.0)	(30.0, 83.0)	(31.0, 184.0)	(32.0, 356.0)	(33.0, 601.0)	(34.0, 1097.0)	(35.0, 1432.0)	(36.0, 2225.0)	(37.0, 3120.0)		
sample12839_S54_L001_R1_001	(29.0, 7.0)	(30.0, 51.0)	(31.0, 171.0)	(32.0, 406.0)	(33.0, 799.0)	(34.0, 1392.0)	(35.0, 2429.0)	(36.0, 4421.0)	(37.0, 19673.0)				
sample12839_S54_L001_R2_001	(26.0, 2.0)	(27.0, 6.0)	(28.0, 21.0)	(29.0, 83.0)	(30.0, 225.0)	(31.0, 472.0)	(32.0, 853.0)	(33.0, 1396.0)	(34.0, 2412.0)	(35.0, 3674.0)	(36.0, 6769.0)	(37.0, 13436.0)	
sample12840_S55_L001_R1_001	(27.0, 1.0)	(28.0, 2.0)	(29.0, 14.0)	(30.0, 38.0)	(31.0, 140.0)	(32.0, 347.0)	(33.0, 794.0)	(34.0, 1410.0)	(35.0, 2498.0)	(36.0, 4681.0)	(37.0, 19615.0)		
sample12840_S55_L001_R2_001	(26.0, 1.0)	(27.0, 14.0)	(28.0, 26.0)	(29.0, 104.0)	(30.0, 239.0)	(31.0, 535.0)	(32.0, 1033.0)	(33.0, 1716.0)	(34.0, 2769.0)	(35.0, 4295.0)	(36.0, 7371.0)	(37.0, 11437.0)	
sample12841_S56_L001_R1_001	(27.0, 1.0)	(28.0, 9.0)	(29.0, 32.0)	(30.0, 142.0)	(31.0, 329.0)	(32.0, 822.0)	(33.0, 1687.0)	(34.0, 2966.0)	(35.0, 4927.0)	(36.0, 9081.0)	(37.0, 34687.0)		
sample12841_S56_L001_R2_001	(27.0, 8.0)	(28.0, 48.0)	(29.0, 127.0)	(30.0, 405.0)	(31.0, 905.0)	(32.0, 1813.0)	(33.0, 3308.0)	(34.0, 5208.0)	(35.0, 8414.0)	(36.0, 13460.0)	(37.0, 20987.0)		
sample12842_S57_L001_R1_001	(27.0, 1.0)	(28.0, 5.0)	(29.0, 35.0)	(30.0, 142.0)	(31.0, 415.0)	(32.0, 945.0)	(33.0, 1837.0)	(34.0, 3315.0)	(35.0, 5361.0)	(36.0, 9830.0)	(37.0, 36196.0)		
sample12842_S57_L001_R2_001	(27.0, 11.0)	(28.0, 49.0)	(29.0, 144.0)	(30.0, 369.0)	(31.0, 798.0)	(32.0, 1689.0)	(33.0, 3082.0)	(34.0, 5369.0)	(35.0, 8854.0)	(36.0, 15321.0)	(37.0, 22396.0)		
sample12843_S58_L001_R1_001	(27.0, 1.0)	(28.0, 3.0)	(29.0, 14.0)	(30.0, 51.0)	(31.0, 211.0)	(32.0, 487.0)	(33.0, 1087.0)	(34.0, 1811.0)	(35.0, 3130.0)	(36.0, 5996.0)	(37.0, 22749.0)		
sample12843_S58_L001_R2_001	(27.0, 7.0)	(28.0, 45.0)	(29.0, 162.0)	(30.0, 365.0)	(31.0, 780.0)	(32.0, 1521.0)	(33.0, 2512.0)	(34.0, 3880.0)	(35.0, 5740.0)	(36.0, 9357.0)	(37.0, 11171.0)		
sample12844_S59_L001_R1_001	(28.0, 4.0)	(29.0, 27.0)	(30.0, 85.0)	(31.0, 260.0)	(32.0, 598.0)	(33.0, 1308.0)	(34.0, 2470.0)	(35.0, 4264.0)	(36.0, 8029.0)	(37.0, 30419.0)			
sample12844_S59_L001_R2_001	(26.0, 3.0)	(27.0, 12.0)	(28.0, 60.0)	(29.0, 169.0)	(30.0, 501.0)	(31.0, 1079.0)	(32.0, 1929.0)	(33.0, 3372.0)	(34.0, 5499.0)	(35.0, 7958.0)	(36.0, 13136.0)	(37.0, 13746.0)	
sample12973_S188_L001_R1_001	(30.0, 1.0)	(31.0, 4.0)	(32.0, 5.0)	(33.0, 18.0)	(34.0, 47.0)	(35.0, 65.0)	(36.0, 102.0)	(37.0, 316.0)					
sample12973_S188_L001_R2_001	(29.0, 1.0)	(30.0, 1.0)	(31.0, 10.0)	(32.0, 17.0)	(33.0, 23.0)	(34.0, 62.0)	(35.0, 81.0)	(36.0, 128.0)	(37.0, 235.0)				
sample12974_S189_L001_R1_001	(30.0, 1.0)	(31.0, 4.0)	(32.0, 13.0)	(33.0, 28.0)	(34.0, 45.0)	(35.0, 93.0)	(36.0, 125.0)	(37.0, 454.0)					
sample12974_S189_L001_R2_001	(30.0, 1.0)	(31.0, 13.0)	(32.0, 16.0)	(33.0, 44.0)	(34.0, 80.0)	(35.0, 118.0)	(36.0, 197.0)	(37.0, 294.0)					
sample12975_S190_L001_R1_001	(29.0, 2.0)	(30.0, 0.0)	(31.0, 10.0)	(32.0, 21.0)	(33.0, 34.0)	(34.0, 57.0)	(35.0, 118.0)	(36.0, 197.0)	(37.0, 775.0)				
sample12975_S190_L001_R2_001	(28.0, 2.0)	(29.0, 3.0)	(30.0, 8.0)	(31.0, 19.0)	(32.0, 33.0)	(33.0, 51.0)	(34.0, 121.0)	(35.0, 185.0)	(36.0, 314.0)	(37.0, 478.0)			
sample13079_S41_L001_R1_001	(28.0, 4.0)	(29.0, 35.0)	(30.0, 171.0)	(31.0, 501.0)	(32.0, 1335.0)	(33.0, 2910.0)	(34.0, 5464.0)	(35.0, 9483.0)	(36.0, 16651.0)	(37.0, 70472.0)			
