Sample	Unique Reads	Duplicate Reads
sample12835_S50_L001_R1_001	170.0	239.0
sample12835_S50_L001_R2_001	254.0	155.0
sample12836_S51_L001_R1_001	2618.0	27474.0
sample12836_S51_L001_R2_001	4763.0	25329.0
sample12837_S52_L001_R1_001	1857.0	37261.0
sample12837_S52_L001_R2_001	3988.0	35130.0
sample12838_S53_L001_R1_001	700.0	8426.0
sample12838_S53_L001_R2_001	1332.0	7794.0
sample12839_S54_L001_R1_001	1631.0	27718.0
sample12839_S54_L001_R2_001	3198.0	26151.0
sample12840_S55_L001_R1_001	1863.0	27677.0
sample12840_S55_L001_R2_001	3673.0	25867.0
sample12841_S56_L001_R1_001	1617.0	53066.0
sample12841_S56_L001_R2_001	3619.0	51064.0
sample12842_S57_L001_R1_001	2673.0	55409.0
sample12842_S57_L001_R2_001	5503.0	52579.0
sample12843_S58_L001_R1_001	1584.0	33956.0
sample12843_S58_L001_R2_001	3682.0	31858.0
sample12844_S59_L001_R1_001	1792.0	45672.0
sample12844_S59_L001_R2_001	4016.0	43448.0
sample12973_S188_L001_R1_001	125.0	433.0
sample12973_S188_L001_R2_001	90.0	468.0
sample12974_S189_L001_R1_001	101.0	662.0
sample12974_S189_L001_R2_001	69.0	694.0
sample12975_S190_L001_R1_001	123.0	1091.0
sample12975_S190_L001_R2_001	89.0	1125.0
sample13079_S41_L001_R1_001	7501.0	99525.0
sample13079_S41_L001_R2_001	11991.0	95035.0
sample13080_S42_L001_R1_001	9712.0	137547.0
sample13080_S42_L001_R2_001	12917.0	134342.0
sample13081_S43_L001_R1_001	6862.0	83057.0
sample13081_S43_L001_R2_001	7870.0	82049.0
sample13082_S44_L001_R1_001	7386.0	91502.0
sample13082_S44_L001_R2_001	8037.0	90851.0
sample13083_S45_L001_R1_001	8044.0	114303.0
sample13083_S45_L001_R2_001	12306.0	110041.0
sample13084_S46_L001_R1_001	7779.0	101125.0
sample13084_S46_L001_R2_001	13026.0	95878.0
sample13085_S47_L001_R1_001	6940.0	95432.0
sample13085_S47_L001_R2_001	11598.0	90774.0
sample13086_S48_L001_R1_001	7664.0	94203.0
sample13086_S48_L001_R2_001	13048.0	88819.0
sample13087_S49_L001_R1_001	7542.0	125358.0
sample13087_S49_L001_R2_001	13928.0	118972.0
sample13088_S50_L001_R1_001	6964.0	105983.0
sample13088_S50_L001_R2_001	13075.0	99872.0
sample13225_S41_L001_R1_001	3496.0	79006.0
sample13225_S41_L001_R2_001	2045.0	80457.0
sample13226_S42_L001_R1_001	4963.0	141244.0
sample13226_S42_L001_R2_001	2930.0	143277.0
sample13227_S43_L001_R1_001	7898.0	371413.0
sample13227_S43_L001_R2_001	3312.0	375999.0
sample13228_S44_L001_R1_001	4279.0	142430.0
sample13228_S44_L001_R2_001	1883.0	144826.0
sample13229_S45_L001_R1_001	5271.0	205011.0
sample13229_S45_L001_R2_001	2618.0	207664.0
sample13230_S46_L001_R1_001	2879.0	65389.0
sample13230_S46_L001_R2_001	1728.0	66540.0
sample13231_S47_L001_R1_001	3056.0	90669.0
sample13231_S47_L001_R2_001	1663.0	92062.0
sample13232_S48_L001_R1_001	5471.0	210193.0
sample13232_S48_L001_R2_001	2122.0	213542.0
sample13233_S49_L001_R1_001	13635.0	688770.0
sample13233_S49_L001_R2_001	6404.0	696001.0
sample13234_S50_L001_R1_001	1721.0	24462.0
sample13234_S50_L001_R2_001	962.0	25221.0
