Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
sample12835_S50_L001_R1_001	(1.0, 28.850855745721272)	(2.0, 8.312958435207824)	(3.0, 8.80195599022005)	(4.0, 6.845965770171149)	(5.0, 6.112469437652812)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 9.7799511002445)	(9.0, 4.400977995110025)	('>10', 26.894865525672373)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12835_S50_L001_R2_001	(1.0, 47.18826405867971)	(2.0, 13.202933985330073)	(3.0, 6.601466992665037)	(4.0, 8.80195599022005)	(5.0, 7.334963325183375)	(6.0, 5.8679706601467)	(7.0, 6.845965770171149)	(8.0, 1.9559902200488997)	(9.0, 2.2004889975550124)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12836_S51_L001_R1_001	(1.0, 5.410075767645886)	(2.0, 2.552173335105676)	(3.0, 1.6449554698923303)	(4.0, 1.276086667552838)	(5.0, 0.9637112853914661)	(6.0, 0.8174930214010369)	(7.0, 0.6978598963179583)	(8.0, 0.5582879170543665)	(9.0, 0.17944968762461783)	('>10', 10.072444503522531)	('>50', 4.58925960388143)	('>100', 9.135318357038416)	('>500', 4.35996278080553)	('>1k', 57.74292170676591)	('>5k', 0.0)	('>10k+', 0.0)
sample12836_S51_L001_R2_001	(1.0, 11.302007177987505)	(2.0, 3.78173600957065)	(3.0, 2.4823873454738803)	(4.0, 1.5419380566263459)	(5.0, 1.1298684035624087)	(6.0, 0.8773095839425762)	(7.0, 0.7443838894058221)	(8.0, 0.6912136115911205)	(9.0, 0.8972484381230892)	('>10', 9.660374850458593)	('>50', 2.9974744118038017)	('>100', 22.500996942709026)	('>500', 26.85431343878772)	('>1k', 14.538747839957464)	('>5k', 0.0)	('>10k+', 0.0)
sample12837_S52_L001_R1_001	(1.0, 2.865688429878828)	(2.0, 1.027659900812925)	(3.0, 0.8972851372769569)	(4.0, 0.6033028273429112)	(5.0, 0.754128534178639)	(6.0, 0.6288665064676108)	(7.0, 0.5010481108441126)	(8.0, 0.409018865995194)	(9.0, 0.27608773454675595)	('>10', 7.5182780305741606)	('>50', 4.78552073214377)	('>100', 12.31146786645534)	('>500', 6.950764354005829)	('>1k', 2.6458407894064115)	('>5k', 0.0)	('>10k+', 57.825042180070554)
sample12837_S52_L001_R2_001	(1.0, 6.408814356562196)	(2.0, 2.6995245155682803)	(3.0, 1.978628764251751)	(4.0, 1.308860371184621)	(5.0, 1.3293113144843807)	(6.0, 0.9202924484891866)	(7.0, 1.091569098624674)	(8.0, 0.9202924484891866)	(9.0, 0.7132266475791196)	('>10', 10.854338156347461)	('>50', 5.710925916457897)	('>100', 5.424612710261261)	('>500', 5.687918605245667)	('>1k', 54.95168464645431)	('>5k', 0.0)	('>10k+', 0.0)
sample12838_S53_L001_R1_001	(1.0, 5.270655270655271)	(2.0, 1.7313171159325007)	(3.0, 1.2491781722550954)	(4.0, 0.6136313828621521)	(5.0, 0.6026736795967564)	(6.0, 0.7889546351084813)	(7.0, 0.46022353714661407)	(8.0, 0.43830813061582297)	(9.0, 0.9861932938856016)	('>10', 7.05676090291475)	('>50', 5.478851632697786)	('>100', 10.49747972824896)	('>500', 5.577470962086347)	('>1k', 59.24830155599386)	('>5k', 0.0)	('>10k+', 0.0)
sample12838_S53_L001_R2_001	(1.0, 10.607056760902916)	(2.0, 2.9147490685952224)	(3.0, 1.9395134779750165)	(4.0, 0.9642778873548105)	(5.0, 0.8218277449046679)	(6.0, 0.8547008547008548)	(7.0, 0.6903353057199211)	(8.0, 0.5259697567389875)	(9.0, 0.2958579881656805)	('>10', 14.23405654174885)	('>50', 14.716195485426253)	('>100', 51.435459127766826)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
sample12839_S54_L001_R1_001	(1.0, 3.3936420320964937)	(2.0, 1.8467409451770076)	(3.0, 1.011959521619135)	(4.0, 0.8586323213738117)	(5.0, 0.5962724453984803)	(6.0, 0.5110906674844118)	(7.0, 0.38161436505502744)	(8.0, 0.2998398582575216)	(9.0, 0.24532352039251765)	('>10', 5.366452008586323)	('>50', 2.4396061194589254)	('>100', 5.911615387236362)	('>500', 5.591331902279465)	('>1k', 71.54587890558452)	('>5k', 0.0)	('>10k+', 0.0)
sample12839_S54_L001_R2_001	(1.0, 7.874203550376503)	(2.0, 2.848478653446455)	(3.0, 1.441275682306041)	(4.0, 0.7904868990425569)	(5.0, 0.800708712392245)	(6.0, 0.6337524276806705)	(7.0, 0.6201233432144195)	(8.0, 0.4361307029200313)	(9.0, 0.45998160073597055)	('>10', 3.8127363794337112)	('>50', 2.981362226992402)	('>100', 52.1585062523425)	('>500', 25.142253569116495)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
