Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
sample12835_S50_L001_R1_001	(50, 1.0)	(55, 1.0)	(60, 2.0)	(65, 1.0)	(70, 0.0)	(75, 3.0)	(80, 0.0)	(85, 1.0)	(90, 0.0)	(95, 2.0)	(100, 5.0)	(105, 1.0)	(110, 1.0)	(115, 1.0)	(120, 1.0)	(125, 1.0)	(130, 1.0)	(135, 1.0)	(140, 0.0)	(145, 1.0)	(150, 3.0)	(155, 2.0)	(160, 1.0)	(165, 3.0)	(170, 6.0)	(175, 1.0)	(180, 2.0)	(185, 1.0)	(190, 6.0)	(195, 3.0)	(200, 2.0)	(205, 2.0)	(210, 1.0)	(215, 1.0)	(220, 2.0)	(225, 5.0)	(230, 7.0)	(235, 7.0)	(240, 3.0)	(245, 114.0)	(250, 213.0)
sample12835_S50_L001_R2_001	(50, 4.0)	(55, 2.0)	(60, 5.0)	(65, 0.0)	(70, 3.0)	(75, 5.0)	(80, 4.0)	(85, 1.0)	(90, 0.0)	(95, 5.0)	(100, 6.0)	(105, 5.0)	(110, 3.0)	(115, 3.0)	(120, 2.0)	(125, 1.0)	(130, 1.0)	(135, 1.0)	(140, 0.0)	(145, 2.0)	(150, 3.0)	(155, 2.0)	(160, 4.0)	(165, 3.0)	(170, 8.0)	(175, 4.0)	(180, 2.0)	(185, 7.0)	(190, 2.0)	(195, 10.0)	(200, 11.0)	(205, 6.0)	(210, 9.0)	(215, 6.0)	(220, 8.0)	(225, 10.0)	(230, 24.0)	(235, 21.0)	(240, 6.0)	(245, 129.0)	(250, 81.0)
sample12836_S51_L001_R1_001	(50, 241.0)	(55, 135.0)	(60, 106.0)	(65, 114.0)	(70, 62.0)	(75, 66.0)	(80, 216.0)	(85, 77.0)	(90, 53.0)	(95, 68.0)	(100, 6657.0)	(105, 93.0)	(110, 159.0)	(115, 54.0)	(120, 213.0)	(125, 152.0)	(130, 84.0)	(135, 152.0)	(140, 277.0)	(145, 62.0)	(150, 54.0)	(155, 327.0)	(160, 63.0)	(165, 236.0)	(170, 130.0)	(175, 503.0)	(180, 684.0)	(185, 85.0)	(190, 98.0)	(195, 118.0)	(200, 73.0)	(205, 65.0)	(210, 93.0)	(215, 69.0)	(220, 155.0)	(225, 151.0)	(230, 302.0)	(235, 549.0)	(240, 294.0)	(245, 2774.0)	(250, 14228.0)
sample12836_S51_L001_R2_001	(50, 303.0)	(55, 253.0)	(60, 132.0)	(65, 142.0)	(70, 96.0)	(75, 199.0)	(80, 264.0)	(85, 85.0)	(90, 117.0)	(95, 140.0)	(100, 6824.0)	(105, 183.0)	(110, 216.0)	(115, 157.0)	(120, 229.0)	(125, 158.0)	(130, 123.0)	(135, 196.0)	(140, 333.0)	(145, 135.0)	(150, 224.0)	(155, 438.0)	(160, 176.0)	(165, 301.0)	(170, 159.0)	(175, 503.0)	(180, 652.0)	(185, 120.0)	(190, 216.0)	(195, 241.0)	(200, 353.0)	(205, 331.0)	(210, 432.0)	(215, 235.0)	(220, 256.0)	(225, 516.0)	(230, 624.0)	(235, 1107.0)	(240, 423.0)	(245, 11796.0)	(250, 704.0)
sample12837_S52_L001_R1_001	(50, 28.0)	(55, 48.0)	(60, 88.0)	(65, 61.0)	(70, 47.0)	(75, 141.0)	(80, 115.0)	(85, 59.0)	(90, 59.0)	(95, 269.0)	(100, 115.0)	(105, 96.0)	(110, 69.0)	(115, 79.0)	(120, 118.0)	(125, 119.0)	(130, 82.0)	(135, 68.0)	(140, 71.0)	(145, 55.0)	(150, 59.0)	(155, 65.0)	(160, 84.0)	(165, 152.0)	(170, 188.0)	(175, 106.0)	(180, 125.0)	(185, 123.0)	(190, 163.0)	(195, 126.0)	(200, 128.0)	(205, 109.0)	(210, 198.0)	(215, 105.0)	(220, 233.0)	(225, 233.0)	(230, 638.0)	(235, 362.0)	(240, 477.0)	(245, 7153.0)	(250, 26504.0)
sample12837_S52_L001_R2_001	(50, 261.0)	(55, 146.0)	(60, 228.0)	(65, 150.0)	(70, 153.0)	(75, 87.0)	(80, 119.0)	(85, 109.0)	(90, 88.0)	(95, 408.0)	(100, 239.0)	(105, 150.0)	(110, 117.0)	(115, 98.0)	(120, 129.0)	(125, 221.0)	(130, 73.0)	(135, 89.0)	(140, 138.0)	(145, 210.0)	(150, 267.0)	(155, 225.0)	(160, 174.0)	(165, 254.0)	(170, 208.0)	(175, 145.0)	(180, 262.0)	(185, 270.0)	(190, 210.0)	(195, 428.0)	(200, 506.0)	(205, 788.0)	(210, 537.0)	(215, 434.0)	(220, 773.0)	(225, 1690.0)	(230, 1212.0)	(235, 925.0)	(240, 678.0)	(245, 2563.0)	(250, 23356.0)
sample12838_S53_L001_R1_001	(50, 13.0)	(55, 13.0)	(60, 12.0)	(65, 27.0)	(70, 12.0)	(75, 82.0)	(80, 42.0)	(85, 37.0)	(90, 34.0)	(95, 1071.0)	(100, 50.0)	(105, 16.0)	(110, 33.0)	(115, 15.0)	(120, 14.0)	(125, 32.0)	(130, 17.0)	(135, 67.0)	(140, 13.0)	(145, 13.0)	(150, 24.0)	(155, 13.0)	(160, 30.0)	(165, 22.0)	(170, 56.0)	(175, 61.0)	(180, 15.0)	(185, 9.0)	(190, 16.0)	(195, 31.0)	(200, 22.0)	(205, 15.0)	(210, 32.0)	(215, 27.0)	(220, 66.0)	(225, 42.0)	(230, 120.0)	(235, 96.0)	(240, 86.0)	(245, 646.0)	(250, 6084.0)
sample12838_S53_L001_R2_001	(50, 63.0)	(55, 60.0)	(60, 141.0)	(65, 52.0)	(70, 93.0)	(75, 56.0)	(80, 47.0)	(85, 43.0)	(90, 34.0)	(95, 1162.0)	(100, 61.0)	(105, 31.0)	(110, 40.0)	(115, 35.0)	(120, 37.0)	(125, 75.0)	(130, 41.0)	(135, 78.0)	(140, 35.0)	(145, 90.0)	(150, 82.0)	(155, 110.0)	(160, 79.0)	(165, 87.0)	(170, 98.0)	(175, 62.0)	(180, 53.0)	(185, 73.0)	(190, 64.0)	(195, 66.0)	(200, 84.0)	(205, 177.0)	(210, 113.0)	(215, 124.0)	(220, 105.0)	(225, 344.0)	(230, 238.0)	(235, 181.0)	(240, 166.0)	(245, 818.0)	(250, 3728.0)
sample12839_S54_L001_R1_001	(50, 46.0)	(55, 35.0)	(60, 59.0)	(65, 61.0)	(70, 48.0)	(75, 80.0)	(80, 47.0)	(85, 73.0)	(90, 65.0)	(95, 1807.0)	(100, 117.0)	(105, 67.0)	(110, 44.0)	(115, 55.0)	(120, 72.0)	(125, 57.0)	(130, 72.0)	(135, 171.0)	(140, 35.0)	(145, 61.0)	(150, 76.0)	(155, 58.0)	(160, 95.0)	(165, 102.0)	(170, 235.0)	(175, 224.0)	(180, 70.0)	(185, 73.0)	(190, 145.0)	(195, 94.0)	(200, 73.0)	(205, 69.0)	(210, 131.0)	(215, 91.0)	(220, 191.0)	(225, 157.0)	(230, 525.0)	(235, 294.0)	(240, 322.0)	(245, 3592.0)	(250, 19660.0)
sample12839_S54_L001_R2_001	(50, 222.0)	(55, 107.0)	(60, 97.0)	(65, 98.0)	(70, 110.0)	(75, 127.0)	(80, 76.0)	(85, 89.0)	(90, 63.0)	(95, 2004.0)	(100, 192.0)	(105, 107.0)	(110, 91.0)	(115, 86.0)	(120, 106.0)	(125, 102.0)	(130, 99.0)	(135, 141.0)	(140, 98.0)	(145, 145.0)	(150, 156.0)	(155, 165.0)	(160, 177.0)	(165, 137.0)	(170, 226.0)	(175, 244.0)	(180, 103.0)	(185, 187.0)	(190, 152.0)	(195, 241.0)	(200, 269.0)	(205, 403.0)	(210, 389.0)	(215, 211.0)	(220, 322.0)	(225, 924.0)	(230, 1060.0)	(235, 688.0)	(240, 491.0)	(245, 2934.0)	(250, 15710.0)
