Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
sample12835_S50_L001_R1_001	sample12835_S50_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	409.0	95.6 kbp	0.0	51-250	53.0	41.56479217603912	233.76161369193153	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12835_S50_L001_R2_001	sample12835_S50_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	409.0	87.9 kbp	0.0	50-250	52.0	62.10268948655256	214.67359413202934	247	pass	pass	fail	pass	fail	fail	pass	warn	warn	fail	pass
sample12836_S51_L001_R1_001	sample12836_S51_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30092.0	5.9 Mbp	0.0	50-250	55.0	8.699986707430545	198.51794496876246	247	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
sample12836_S51_L001_R2_001	sample12836_S51_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30092.0	5.6 Mbp	0.0	50-250	54.0	15.828127076963977	186.8854845141566	227	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
sample12837_S52_L001_R1_001	sample12837_S52_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39118.0	9.3 Mbp	0.0	50-250	55.0	4.74717521345672	239.4055166419551	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12837_S52_L001_R2_001	sample12837_S52_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	39118.0	8.9 Mbp	0.0	50-250	55.0	10.194795234930211	228.0122194386216	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12838_S53_L001_R1_001	sample12838_S53_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9126.0	2 Mbp	0.0	50-250	54.0	7.670392285776901	219.77547666009204	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12838_S53_L001_R2_001	sample12838_S53_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	9126.0	1.8 Mbp	0.0	50-250	53.0	14.595660749506903	200.89414858645628	242	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12839_S54_L001_R1_001	sample12839_S54_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29349.0	6.7 Mbp	0.0	50-250	55.0	5.557259191113837	229.940134246482	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12839_S54_L001_R2_001	sample12839_S54_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29349.0	6.4 Mbp	0.0	50-250	54.0	10.896453030767658	219.9588742376231	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12840_S55_L001_R1_001	sample12840_S55_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29540.0	7 Mbp	0.0	50-250	55.0	6.306702775897088	237.84693635748138	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12840_S55_L001_R2_001	sample12840_S55_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29540.0	6.6 Mbp	0.0	50-250	54.0	12.430602572782668	224.24529451591064	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12841_S56_L001_R1_001	sample12841_S56_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54683.0	13 Mbp	0.0	50-250	54.0	2.9570433224219594	239.27077885265987	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12841_S56_L001_R2_001	sample12841_S56_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	54683.0	12.3 Mbp	0.0	50-250	53.0	6.61814457875391	226.11385622588372	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12842_S57_L001_R1_001	sample12842_S57_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58082.0	13.6 Mbp	0.0	50-250	55.0	4.60211425226404	234.77884714713682	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12842_S57_L001_R2_001	sample12842_S57_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	58082.0	12.9 Mbp	0.0	50-250	53.0	9.474536000826419	223.06259254157914	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12843_S58_L001_R1_001	sample12843_S58_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35540.0	8.4 Mbp	0.0	50-250	54.0	4.456949915588069	238.8967360720315	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12843_S58_L001_R2_001	sample12843_S58_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35540.0	7.8 Mbp	0.0	50-250	53.0	10.36015756893641	219.94746764209341	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12844_S59_L001_R1_001	sample12844_S59_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47464.0	11.4 Mbp	0.0	50-250	55.0	3.775493005225013	240.59999157256024	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12844_S59_L001_R2_001	sample12844_S59_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	47464.0	10.4 Mbp	0.0	50-250	54.0	8.461149502781055	220.1044475813248	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12973_S188_L001_R1_001	sample12973_S188_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	558.0	120.9 kbp	0.0	50-250	51.0	22.22222222222222	216.88440860215053	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12973_S188_L001_R2_001	sample12973_S188_L001_R2_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	558.0	117.5 kbp	0.0	51-250	50.0	15.949820788530467	210.40860215053763	247	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
sample12974_S189_L001_R1_001	sample12974_S189_L001_R1_001.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	763.0	181.7 kbp	0.0	50-250	51.0	13.237221494102227	238.0557011795544	250	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
