Module	Section	Sample Name	Source
FastQC	all_sections	sample12835_S50_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12835_S50_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample12835_S50_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12835_S50_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample12836_S51_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12836_S51_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample12836_S51_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12836_S51_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample12837_S52_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12837_S52_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample12837_S52_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12837_S52_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample12838_S53_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12838_S53_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample12838_S53_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12838_S53_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample12839_S54_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12839_S54_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample12839_S54_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12839_S54_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample12840_S55_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12840_S55_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample12840_S55_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12840_S55_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample12841_S56_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12841_S56_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample12841_S56_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12841_S56_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample12842_S57_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12842_S57_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample12842_S57_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12842_S57_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample12843_S58_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12843_S58_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample12843_S58_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12843_S58_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample12844_S59_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12844_S59_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample12844_S59_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12844_S59_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample12973_S188_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12973_S188_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample12973_S188_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12973_S188_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample12974_S189_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12974_S189_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample12974_S189_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12974_S189_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample12975_S190_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12975_S190_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample12975_S190_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample12975_S190_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13079_S41_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13079_S41_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13079_S41_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13079_S41_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13080_S42_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13080_S42_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13080_S42_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13080_S42_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13081_S43_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13081_S43_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13081_S43_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13081_S43_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13082_S44_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13082_S44_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13082_S44_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13082_S44_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13083_S45_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13083_S45_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13083_S45_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13083_S45_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13084_S46_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13084_S46_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13084_S46_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13084_S46_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13085_S47_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13085_S47_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13085_S47_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13085_S47_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13086_S48_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13086_S48_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13086_S48_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13086_S48_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13087_S49_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13087_S49_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13087_S49_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13087_S49_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13088_S50_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13088_S50_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13088_S50_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13088_S50_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13225_S41_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13225_S41_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13225_S41_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13225_S41_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13226_S42_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13226_S42_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13226_S42_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13226_S42_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13227_S43_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13227_S43_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13227_S43_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13227_S43_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13228_S44_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13228_S44_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13228_S44_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13228_S44_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13229_S45_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13229_S45_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13229_S45_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13229_S45_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13230_S46_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13230_S46_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13230_S46_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13230_S46_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13231_S47_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13231_S47_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13231_S47_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13231_S47_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13232_S48_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13232_S48_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13232_S48_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13232_S48_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13233_S49_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13233_S49_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13233_S49_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13233_S49_L001_R2_001.trim_fastqc.zip
FastQC	all_sections	sample13234_S50_L001_R1_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13234_S50_L001_R1_001.trim_fastqc.zip
FastQC	all_sections	sample13234_S50_L001_R2_001	/Users/luis_alegria/g2f_project/mi_samples/2018_qc_trimmed/sample13234_S50_L001_R2_001.trim_fastqc.zip
